task,period,cohort,family,model_id,quantile,reference_kind,population,metric,all_mature_value,reference_value,all_mature_minus_reference,n_orders,n_events,order_id_sha256,difference_aggregation
breach,terminal,2018-07_to_2018-08,logistic_l2,DPB,,promise_only,all_mature_support_ge20,brier,0.0618873707093,0.0467002416802,0.0151871290291,8419,409,d7d7f27475affc960fd8d8ce09afac37ff2c5730ba8e6ba09e30339cc103b58a,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPB,,promise_only,all_mature_support_ge20,log_loss,0.246270840467,0.198462792738,0.0478080477285,8419,409,d7d7f27475affc960fd8d8ce09afac37ff2c5730ba8e6ba09e30339cc103b58a,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPB,,promise_only,all_mature_support_ge20,wace,0.0883820112212,0.0476814940667,0.0407005171544,8419,409,d7d7f27475affc960fd8d8ce09afac37ff2c5730ba8e6ba09e30339cc103b58a,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPB,,promise_only,all_orders,brier,0.0608285623981,0.0462507925329,0.0145777698652,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPB,,promise_only,all_orders,log_loss,0.243409555965,0.197124175549,0.0462853804159,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPB,,promise_only,all_orders,wace,0.0866408446577,0.0475880898335,0.0390527548242,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPB,,selected_90d,all_orders,brier,0.0608285623981,0.0479746880439,0.0128538743542,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPB,,selected_90d,all_orders,log_loss,0.243409555965,0.198263468257,0.0451460877079,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPB,,selected_90d,all_orders,wace,0.0866408446577,0.031055230296,0.0555856143617,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPB,,selected_90d,common_support_ge20,brier,0.0634959923371,0.049025017484,0.0144709748531,6109,302,0ea5ea0309c560d9409e585d43df763e5969050387240f40684a209dd4c2a48f,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPB,,selected_90d,common_support_ge20,log_loss,0.251097767549,0.201440756732,0.0496570108173,6109,302,0ea5ea0309c560d9409e585d43df763e5969050387240f40684a209dd4c2a48f,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPB,,selected_90d,common_support_ge20,wace,0.0918377659611,0.0341355459498,0.0577022200113,6109,302,0ea5ea0309c560d9409e585d43df763e5969050387240f40684a209dd4c2a48f,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPG,,promise_only,all_mature_support_ge20,brier,0.0616382879373,0.0457904536037,0.0158478343336,12231,581,f844484adc6ee85aa6bd78c62daa26cbf367fc48fff4196881b16593342860d7,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPG,,promise_only,all_mature_support_ge20,log_loss,0.247884193212,0.195800207871,0.0520839853401,12231,581,f844484adc6ee85aa6bd78c62daa26cbf367fc48fff4196881b16593342860d7,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPG,,promise_only,all_mature_support_ge20,wace,0.0923856193303,0.0487731894501,0.0436124298802,12231,581,f844484adc6ee85aa6bd78c62daa26cbf367fc48fff4196881b16593342860d7,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPG,,promise_only,all_orders,brier,0.0620685453273,0.0462507925329,0.0158177527944,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPG,,promise_only,all_orders,log_loss,0.249121674514,0.197124175549,0.0519974989652,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPG,,promise_only,all_orders,wace,0.092140517116,0.0475880898335,0.0445524272825,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPG,,selected_90d,all_orders,brier,0.0620685453273,0.0495735196465,0.0124950256808,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPG,,selected_90d,all_orders,log_loss,0.249121674514,0.205974574836,0.0431470996775,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,logistic_l2,DPG,,selected_90d,all_orders,wace,0.092140517116,0.0370212011345,0.0551193159815,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
