profile_code,candidate_id,base_candidate_id,target,target_kind,period,horizon_days,metric,favourable_direction,selected_90d_value,all_mature_value,all_mature_minus_90d,scheduled_anchor_count,paired_nonmissing_count,favourable_anchor_count,aggregate_median_difference,all_mature_minus_90d_aggregation,aggregate_median_difference_aggregation,practical_equivalence_assessment,source
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,7,log_mae,lower_is_favourable,0.480181124924,0.472956987284,0.00164681486019,25,25,12,-0.00722413764071,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,outside_frozen_tolerances_numeric_only,standalone_summary
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,7,top_quintile_lift,higher_is_favourable,2.12957312666,2.12262437696,0.0323549670069,25,25,14,-0.0069487496938,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,outside_frozen_tolerances_numeric_only,standalone_summary
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,7,weighted_spearman,higher_is_favourable,0.896570015033,0.885944749251,0.0156901535736,25,25,13,-0.0106252657824,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,outside_frozen_tolerances_numeric_only,standalone_summary
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,30,log_mae,lower_is_favourable,0.489131629861,0.468144830984,-0.0102579969939,21,21,11,-0.0209867988773,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,outside_frozen_tolerances_numeric_only,standalone_summary
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,30,top_quintile_lift,higher_is_favourable,2.12881925587,2.10229989336,-0.00688601899974,21,21,10,-0.026519362514,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,outside_frozen_tolerances_numeric_only,standalone_summary
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,30,weighted_spearman,higher_is_favourable,0.9146289845,0.924228105311,0.0140518513691,21,21,11,0.00959912081138,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,outside_frozen_tolerances_numeric_only,standalone_summary
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,7,log_mae,lower_is_favourable,0.399603623173,0.398433330155,9.1562259344e-05,39,39,19,-0.001170293018,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,within_frozen_tolerances_descriptive_only,standalone_summary
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,7,top_quintile_lift,higher_is_favourable,1.78980103988,1.84261916047,0.0341703685581,39,39,25,0.0528181205849,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,within_frozen_tolerances_descriptive_only,standalone_summary
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,7,weighted_spearman,higher_is_favourable,0.866470754732,0.865794791276,0.0012951986292,39,39,22,-0.000675963455803,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,within_frozen_tolerances_descriptive_only,standalone_summary
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,30,log_mae,lower_is_favourable,0.398634734945,0.398096581531,-0.00187603440103,36,36,25,-0.000538153413737,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,within_frozen_tolerances_descriptive_only,standalone_summary
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,30,top_quintile_lift,higher_is_favourable,1.80999477955,1.85500779215,0.0355393538953,36,36,28,0.0450130125995,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,within_frozen_tolerances_descriptive_only,standalone_summary
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,30,weighted_spearman,higher_is_favourable,0.883992482437,0.900727709527,0.007791592488,36,36,28,0.0167352270893,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,within_frozen_tolerances_descriptive_only,standalone_summary
R2,transit_tail|state_od|A|w90|l0|P1|parent=global|kappa=10|min_support=5,transit_tail|state_od|A|w90|l0|P1|parent=global|kappa=10,transit_tail,binary,confirmation,7,brier,lower_is_favourable,0.142994598388,0.151546412133,0.00445999382076,25,25,11,0.00855181374515,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,outside_frozen_tolerances_numeric_only,standalone_summary
R2,transit_tail|state_od|A|w90|l0|P1|parent=global|kappa=10|min_support=5,transit_tail|state_od|A|w90|l0|P1|parent=global|kappa=10,transit_tail,binary,confirmation,7,log_loss,lower_is_favourable,0.437652169955,0.457424996268,0.0164448239991,25,25,11,0.0197728263132,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,outside_frozen_tolerances_numeric_only,standalone_summary
R2,transit_tail|state_od|A|w90|l0|P1|parent=global|kappa=10|min_support=5,transit_tail|state_od|A|w90|l0|P1|parent=global|kappa=10,transit_tail,binary,confirmation,7,top_quintile_lift,higher_is_favourable,2.15278501233,2.71216783217,0.561555193923,25,25,23,0.55938281984,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,outside_frozen_tolerances_numeric_only,standalone_summary
R2,transit_tail|state_od|A|w90|l0|P1|parent=global|kappa=10|min_support=5,transit_tail|state_od|A|w90|l0|P1|parent=global|kappa=10,transit_tail,binary,confirmation,7,weighted_spearman,higher_is_favourable,0.674962422168,0.714355831542,0.0170470077392,25,25,18,0.0393934093738,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,outside_frozen_tolerances_numeric_only,standalone_summary
R2,transit_tail|state_od|A|w90|l0|P1|parent=global|kappa=10|min_support=5,transit_tail|state_od|A|w90|l0|P1|parent=global|kappa=10,transit_tail,binary,confirmation,30,brier,lower_is_favourable,0.145401491842,0.139473661117,-0.000146672955564,21,21,11,-0.00592783072514,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,outside_frozen_tolerances_numeric_only,standalone_summary
R2,transit_tail|state_od|A|w90|l0|P1|parent=global|kappa=10|min_support=5,transit_tail|state_od|A|w90|l0|P1|parent=global|kappa=10,transit_tail,binary,confirmation,30,log_loss,lower_is_favourable,0.441542265084,0.431286095162,-0.00218433943279,21,21,11,-0.0102561699228,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,outside_frozen_tolerances_numeric_only,standalone_summary
