profile_code,candidate_id,base_candidate_id,target,target_kind,period,anchor_date,calendar_month,horizon_days,future_rows_90d,future_rows_all_mature,matched_order_rows,unmatched_90d_rows,unmatched_all_mature_rows,entity_mapping_mismatch_rows,target_observed_mismatch_rows,target_value_mismatch_rows,raw_target_value_mismatch_rows,label_available_at_mismatch_rows,valid_future_outcome_id_symmetric_difference,mapping_status_changed_rows_expected_sensitivity,exact_future_evidence_match,unmatched_reason,common_support_ge5_orders,common_support_ge5_order_id_match,persisted_90d_metrics_compared,persisted_90d_max_absolute_difference,persisted_90d_reproduction_pass
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-04-01,2017-04,7,578,578,578,0,0,0,0,0,0,0,0,0,True,exact_match,532,True,13,4.74420502883e-12,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-04-01,2017-04,30,2404,2404,2404,0,0,0,0,0,0,0,0,1,True,exact_match,2156,True,13,4.2019721036e-12,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-04-08,2017-04,7,483,483,483,0,0,0,0,0,0,0,0,0,True,exact_match,430,True,13,4.65094629476e-12,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-04-08,2017-04,30,2614,2614,2614,0,0,0,0,0,0,0,0,0,True,exact_match,2350,True,13,4.82369699739e-12,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-04-15,2017-04,7,500,500,500,0,0,0,0,0,0,0,0,0,True,exact_match,450,True,13,1.15842058168e-12,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-04-15,2017-04,30,2925,2925,2925,0,0,0,0,0,0,0,0,0,True,exact_match,2635,True,13,3.61954910488e-12,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-04-22,2017-04,7,701,701,701,0,0,0,0,0,0,0,0,0,True,exact_match,642,True,13,1.91752516643e-12,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-04-22,2017-04,30,3365,3365,3365,0,0,0,0,0,0,0,0,0,True,exact_match,3086,True,13,2.20645723914e-12,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-04-29,2017-04,7,710,710,710,0,0,0,0,0,0,0,0,0,True,exact_match,642,True,13,1.8216539388e-12,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-04-29,2017-04,30,3448,3448,3448,0,0,0,0,0,0,0,0,0,True,exact_match,3180,True,13,2.57571741713e-12,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-05-06,2017-05,7,829,829,829,0,0,0,0,0,0,0,0,0,True,exact_match,747,True,13,4.20885548635e-13,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-05-06,2017-05,30,3574,3574,3574,0,0,0,0,0,0,0,0,0,True,exact_match,3314,True,13,4.03921340819e-12,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-05-13,2017-05,7,905,905,905,0,0,0,0,0,0,0,0,0,True,exact_match,853,True,13,6.77902178836e-13,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-05-13,2017-05,30,3592,3592,3592,0,0,0,0,0,0,0,0,0,True,exact_match,3363,True,13,7.78710429472e-13,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-05-20,2017-05,7,823,823,823,0,0,0,0,0,0,0,0,1,True,exact_match,778,True,13,4.77817785338e-12,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-05-20,2017-05,30,3440,3440,3440,0,0,0,0,0,0,0,0,2,True,exact_match,3206,True,13,8.84181616811e-13,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-05-27,2017-05,7,826,826,826,0,0,0,0,0,0,0,0,0,True,exact_match,766,True,13,8.24229573482e-13,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-05-27,2017-05,30,3278,3278,3278,0,0,0,0,0,0,0,0,1,True,exact_match,3078,True,13,7.84150522293e-13,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-06-03,2017-06,7,846,846,846,0,0,0,0,0,0,0,0,0,True,exact_match,802,True,13,4.43867165245e-13,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-06-03,2017-06,30,3182,3182,3182,0,0,0,0,0,0,0,0,4,True,exact_match,2999,True,13,3.33466587676e-12,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-06-10,2017-06,7,780,780,780,0,0,0,0,0,0,0,0,1,True,exact_match,727,True,13,7.77822251052e-13,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-06-10,2017-06,30,3177,3177,3177,0,0,0,0,0,0,0,0,9,True,exact_match,2972,True,13,4.90740781345e-12,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-06-17,2017-06,7,645,645,645,0,0,0,0,0,0,0,0,1,True,exact_match,613,True,13,2.70472533259e-12,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-06-17,2017-06,30,3356,3356,3356,0,0,0,0,0,0,0,0,7,True,exact_match,3150,True,13,1.99196215078e-12,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-06-24,2017-06,7,723,723,723,0,0,0,0,0,0,0,0,3,True,exact_match,686,True,13,1.92157401102e-12,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-06-24,2017-06,30,3674,3674,3674,0,0,0,0,0,0,0,0,10,True,exact_match,3446,True,13,1.24278365377e-12,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-07-01,2017-07,7,851,851,851,0,0,0,0,0,0,0,0,4,True,exact_match,775,True,13,3.28825855433e-12,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-07-01,2017-07,30,3878,3878,3878,0,0,0,0,0,0,0,0,8,True,exact_match,3631,True,13,3.27937677014e-12,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-07-08,2017-07,7,925,925,925,0,0,0,0,0,0,0,0,0,True,exact_match,878,True,13,2.80264700336e-12,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-07-08,2017-07,30,4011,4011,4011,0,0,0,0,0,0,0,0,8,True,exact_match,3794,True,13,3.24562599019e-12,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,development,2017-07-15,2017-07,7,982,982,982,0,0,0,0,0,0,0,0,0,True,exact_match,923,True,13,4.48224790617e-13,True
