profile_code,candidate_id,base_candidate_id,target,target_kind,period,anchor_date,calendar_month,horizon_days,metric,selected_90d_value,all_mature_value,all_mature_minus_90d,favourable_direction,all_mature_favourable,n_future_rows,n_valid_future_outcomes_90d,n_valid_future_outcomes_all_mature,anchor_valid_90d,anchor_valid_all_mature
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-06,2018-01,7,future_seen_coverage,0.990820424555,0.993115318417,0.00229489386116,higher_is_favourable,True,1743,1703,1703,True,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-06,2018-01,7,log_mae,0.455088821774,0.458866259388,0.00377743761429,lower_is_favourable,False,1743,1703,1703,True,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-06,2018-01,7,log_rmse,0.573828384004,0.581791831235,0.00796344723079,lower_is_favourable,False,1743,1703,1703,True,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-06,2018-01,7,reference_minus_candidate_log_mae,0.124009041654,0.126005319701,0.00199627804628,higher_is_favourable,True,1743,1703,1703,True,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-06,2018-01,7,support_qualified_coverage,0.969018932874,0.985083189902,0.0160642570281,higher_is_favourable,True,1743,1703,1703,True,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-06,2018-01,7,top_quintile_lift,1.54182586443,1.65251348476,0.110687620321,higher_is_favourable,True,1743,1703,1703,True,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-06,2018-01,7,weighted_spearman,0.849645318806,0.834316957068,-0.0153283617373,higher_is_favourable,False,1743,1703,1703,True,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-13,2018-01,7,future_seen_coverage,0.985722130697,0.988467874794,0.00274574409665,higher_is_favourable,True,1821,1774,1774,True,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-13,2018-01,7,log_mae,0.438245173408,0.439891988269,0.00164681486019,lower_is_favourable,False,1821,1774,1774,True,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-13,2018-01,7,log_rmse,0.550669667314,0.557063638478,0.00639397116334,lower_is_favourable,False,1821,1774,1774,True,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-13,2018-01,7,reference_minus_candidate_log_mae,0.116901929954,0.119048149138,0.00214621918479,higher_is_favourable,True,1821,1774,1774,True,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-13,2018-01,7,support_qualified_coverage,0.968698517298,0.979681493685,0.0109829763866,higher_is_favourable,True,1821,1774,1774,True,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-13,2018-01,7,top_quintile_lift,1.7095902682,1.77723964467,0.0676493764753,higher_is_favourable,True,1821,1774,1774,True,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-13,2018-01,7,weighted_spearman,0.851435771179,0.867125924753,0.0156901535736,higher_is_favourable,True,1821,1774,1774,True,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-20,2018-01,7,future_seen_coverage,0.986786786787,0.988588588589,0.0018018018018,higher_is_favourable,True,1665,1616,1616,True,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-20,2018-01,7,log_mae,0.440664197977,0.451000458651,0.0103362606741,lower_is_favourable,False,1665,1616,1616,True,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-20,2018-01,7,log_rmse,0.564004110013,0.581415067201,0.0174109571881,lower_is_favourable,False,1665,1616,1616,True,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-20,2018-01,7,reference_minus_candidate_log_mae,0.141482262516,0.136498114994,-0.00498414752177,higher_is_favourable,False,1665,1616,1616,True,True
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-20,2018-01,7,support_qualified_coverage,0.971771771772,0.981981981982,0.0102102102102,higher_is_favourable,True,1665,1616,1616,True,True
