profile_code,candidate_id,base_candidate_id,target,target_kind,period,anchor_date,calendar_month,horizon_days,metric,selected_90d_value,all_mature_value,all_mature_minus_90d,favourable_direction,all_mature_favourable,population,n_future_rows
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-06,2018-01,7,cold_start_share_all_placed,0.00344234079174,0.00114744693058,-0.00229489386116,lower_is_favourable,True,future_orders,1743
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-06,2018-01,7,cold_start_share_mapping_valid,0.00346220427005,0.00115406809002,-0.00230813618003,lower_is_favourable,True,future_orders,1743
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-06,2018-01,7,future_seen_coverage,0.990820424555,0.993115318417,0.00229489386116,higher_is_favourable,True,future_orders,1743
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-06,2018-01,7,missing_mapping_share,0.0057372346529,0.0057372346529,0,lower_is_favourable,False,future_orders,1743
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-06,2018-01,7,support_ge5_share,0.97461050202,0.99076745528,0.0161569532602,higher_is_favourable,True,future_orders,1743
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-06,2018-01,7,support_median,586,1677,1091,higher_is_favourable,True,future_orders,1743
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-06,2018-01,7,support_p10,47,138,91,higher_is_favourable,True,future_orders,1743
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-06,2018-01,7,support_p90,5134,12633,7499,higher_is_favourable,True,future_orders,1743
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-06,2018-01,7,support_qualified_coverage,0.969018932874,0.985083189902,0.0160642570281,higher_is_favourable,True,future_orders,1743
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-06,2018-01,7,entity_count,264,335,71,higher_is_favourable,True,profile_entities,1743
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-06,2018-01,7,support_ge5_share,0.503787878788,0.605970149254,0.102182270466,higher_is_favourable,True,profile_entities,1743
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-06,2018-01,7,support_median,5,7,2,higher_is_favourable,True,profile_entities,1743
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-06,2018-01,7,support_p10,1,1,0,higher_is_favourable,False,profile_entities,1743
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-06,2018-01,7,support_p90,83,163,80,higher_is_favourable,True,profile_entities,1743
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-13,2018-01,7,cold_start_share_all_placed,0.00604063701263,0.00329489291598,-0.00274574409665,lower_is_favourable,True,future_orders,1821
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-13,2018-01,7,cold_start_share_mapping_valid,0.00609080841639,0.00332225913621,-0.00276854928018,lower_is_favourable,True,future_orders,1821
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-13,2018-01,7,future_seen_coverage,0.985722130697,0.988467874794,0.00274574409665,higher_is_favourable,True,future_orders,1821
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,continuous,confirmation,2018-01-13,2018-01,7,missing_mapping_share,0.00823723228995,0.00823723228995,0,lower_is_favourable,False,future_orders,1821
