profile_code,candidate_id,base_candidate_id,target,metric,favourable_direction,horizon_days,selected_90d_value,all_mature_value,all_mature_minus_90d,paired_row_count,aggregate_median_difference,all_mature_minus_90d_aggregation,aggregate_median_difference_aggregation,source,population,component,support_stratum
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,future_seen_coverage,higher_is_favourable,7,1,1,0,7,0,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,common_support_ge5_robustness,common_support_ge5,,
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,log_mae,lower_is_favourable,7,0.397335230267,0.457884639451,0.0605494091849,7,0.0605494091849,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,common_support_ge5_robustness,common_support_ge5,,
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,log_rmse,lower_is_favourable,7,0.480055049782,0.539785480255,0.059730430473,7,0.059730430473,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,common_support_ge5_robustness,common_support_ge5,,
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,reference_minus_candidate_log_mae,higher_is_favourable,7,0.0809299744685,0.0764515463689,-0.00314671450682,7,-0.00447842809952,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,common_support_ge5_robustness,common_support_ge5,,
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,support_qualified_coverage,higher_is_favourable,7,1,1,0,7,0,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,common_support_ge5_robustness,common_support_ge5,,
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,top_quintile_lift,higher_is_favourable,7,1.90973607893,1.92825283839,4.4408920985e-16,7,0.0185167594566,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,common_support_ge5_robustness,common_support_ge5,,
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,weighted_spearman,higher_is_favourable,7,0.89906489018,0.897349651585,0.00376811878065,7,-0.00171523859481,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,common_support_ge5_robustness,common_support_ge5,,
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,future_seen_coverage,higher_is_favourable,30,1,1,0,4,0,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,common_support_ge5_robustness,common_support_ge5,,
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,log_mae,lower_is_favourable,30,0.408332370919,0.451740172136,0.0419314017984,4,0.0434078012165,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,common_support_ge5_robustness,common_support_ge5,,
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,log_rmse,lower_is_favourable,30,0.49567858497,0.535767109716,0.0396240086739,4,0.0400885247465,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,common_support_ge5_robustness,common_support_ge5,,
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,reference_minus_candidate_log_mae,higher_is_favourable,30,0.0647629096459,0.0703828928991,0.00325167019929,4,0.0056199832532,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,common_support_ge5_robustness,common_support_ge5,,
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,support_qualified_coverage,higher_is_favourable,30,1,1,0,4,0,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,common_support_ge5_robustness,common_support_ge5,,
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,top_quintile_lift,higher_is_favourable,30,2.00036278245,2.11791550526,0.120199167597,4,0.117552722818,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,common_support_ge5_robustness,common_support_ge5,,
R1,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na|min_support=5,transit_level|state_od|A|w90|l0|P0|parent=global|kappa=na,transit_level,weighted_spearman,higher_is_favourable,30,0.928167872345,0.939568823797,0.0111007570892,4,0.0114009514525,median_of_paired_anchor_differences,difference_of_separately_aggregated_medians,common_support_ge5_robustness,common_support_ge5,,
