row_type,family,family_display,family_status,source_role,comparison,profile_block,model_id,median_log_loss,mean_log_loss,sd_log_loss,median_brier,mean_brier,sd_brier,median_average_precision,median_roc_auc,median_top_10pct_lift,median_wace,median_absolute_calibration_slope_error,pooled_log_loss,pooled_brier,later_month_count,evidence_label,median_delta_log_loss,mean_delta_log_loss,sd_delta_log_loss,median_delta_brier,mean_delta_brier,sd_delta_brier,both_improved_month_count,pooled_delta_log_loss,pooled_delta_brier,calibration_guard_available,calibration_not_systematically_worse,high_support_no_material_reversal,score_contributes,all_guards_pass,evidence_reason,label_type
baseline_absolute,logistic_l2,L2 Logistic Regression,evaluated,protected_pre_existing_direct_extension,DP0_reference,none,DP0,0.232634099666,0.304122323643,0.188923549114,0.0577208601523,0.0793221691589,0.0592240652405,0.0653822962561,0.494200919724,0.616566160347,0.0437118196895,3.97258188414,0.30766408536,0.0804624776157,6,Reference,,,,,,,,,,,,,,,,
profile_increment,logistic_l2,L2 Logistic Regression,evaluated,protected_pre_existing_direct_extension,DPB-DP0,both,DPB,0.22223417733,0.265645441727,0.14907613921,0.0576489570817,0.0738230840466,0.0515073224126,0.150694681312,0.720178637499,2.90516654713,0.0475385065096,0.181999161138,,,6,Supported,-0.0188355042404,-0.0384768819162,0.0435293230561,-0.00146902299902,-0.00549908511225,0.00832296502792,5,-0.0388196570165,-0.00558325051821,True,True,True,True,True,both_medians_improve_at_least_four_months_all_guards_pass,PROTECTED PRE-EXISTING DIRECT-EXTENSION LABEL
profile_increment,logistic_l2,L2 Logistic Regression,evaluated,protected_pre_existing_direct_extension,DPG-DP0,state_od,DPG,0.227342466468,0.272579191127,0.150765762734,0.0585549927078,0.0752971424513,0.0523569583767,0.138840990373,0.719053716686,2.97040608185,0.0539322525519,0.32485861011,,,6,Mixed,-0.0126256584508,-0.0315431325159,0.0412489316602,-0.000678203167734,-0.00402502670761,0.00747436476805,3,-0.0319350451486,-0.00411197316072,True,True,True,True,True,exactly_three_both_improved_months,PROTECTED PRE-EXISTING DIRECT-EXTENSION LABEL
profile_increment,logistic_l2,L2 Logistic Regression,evaluated,protected_pre_existing_direct_extension,DPS-DP0,seller,DPS,0.231047310294,0.299883899558,0.187180653317,0.0575325413784,0.0787627767395,0.0588653453486,0.0781196547104,0.530990188791,1.19774841738,0.0359676518264,0.519389102532,,,6,Supported,-0.00415653020117,-0.00423842408503,0.00337132964772,-0.00047411302235,-0.00055939241937,0.000484240954864,6,-0.00417724557345,-0.000555753603763,True,True,True,True,True,both_medians_improve_at_least_four_months_all_guards_pass,PROTECTED PRE-EXISTING DIRECT-EXTENSION LABEL
baseline_absolute,random_forest,Random Forest,evaluated,subsequent_model_family_robustness,DP0_reference,none,DP0,0.237457941472,0.314605273533,0.217087763302,0.0581476231528,0.080094195546,0.0617506000087,0.0612338994629,0.494967122562,1.04221012374,0.0270101184817,8.89490968581,0.318859802965,0.0813044375123,6,Reference,,,,,,,,,,,,,,,,
profile_increment,random_forest,Random Forest,evaluated,subsequent_model_family_robustness,DPB-DP0,both,DPB,0.229838263174,0.29720930127,0.184851916623,0.0583966928879,0.0777474144005,0.0564281490966,0.120566047144,0.651130884962,2.35445787905,0.0478585815302,0.380334250184,,,6,Not-supported,-0.00761967829778,-0.0173959722628,0.036298309176,5.80000102071e-05,-0.00234678114548,0.00566014681714,3,-0.0181966326597,-0.0024517019013,True,False,True,True,False,nonimproving_median_or_at_most_two_both_improved_months,ROBUSTNESS EVIDENCE LABEL
profile_increment,random_forest,Random Forest,evaluated,subsequent_model_family_robustness,DPG-DP0,state_od,DPG,0.225238600295,0.300927508279,0.201511850295,0.0569956103845,0.0788143413993,0.0603149194708,0.126989938357,0.631659033256,2.54966359271,0.029599900917,0.710076676994,,,6,Supported,-0.0110668832408,-0.0136777652538,0.0172991480872,-0.00105165332621,-0.00127985414675,0.00157507604859,5,-0.0141084284625,-0.0013182007882,True,True,True,True,True,both_medians_improve_at_least_four_months_all_guards_pass,ROBUSTNESS EVIDENCE LABEL
profile_increment,random_forest,Random Forest,evaluated,subsequent_model_family_robustness,DPS-DP0,seller,DPS,0.23939437168,0.314057698308,0.202654074877,0.0585112204184,0.0799225584145,0.0594282877121,0.0693198408875,0.528696813194,1.21501789778,0.0374678788639,0.824278484202,,,6,Not-supported,0.00193643020825,-0.000547575224917,0.0146776279088,0.000363597265665,-0.000171637131562,0.00235166757802,2,-0.000917677591155,-0.000229630844316,True,True,False,True,False,nonimproving_median_or_at_most_two_both_improved_months,ROBUSTNESS EVIDENCE LABEL
profile_increment,spline_logistic,Spline Logistic Regression,blocked,not_evaluated,DPB-DP0,both,,,,,,,,,,,,,,,,Incomplete,,,,,,,,,,,,,,,no_applicable_exact_predictive_direct_feature_spline_specification_or_grid_recovered,ROBUSTNESS EVIDENCE LABEL
profile_increment,spline_logistic,Spline Logistic Regression,blocked,not_evaluated,DPG-DP0,state_od,,,,,,,,,,,,,,,,Incomplete,,,,,,,,,,,,,,,no_applicable_exact_predictive_direct_feature_spline_specification_or_grid_recovered,ROBUSTNESS EVIDENCE LABEL
