period,cohort,cohort_month,origin,family,model_id,model_name,representation,probability_type,probability_variant,calibration_method,n_train,train_order_id_sha256,fitted_model_sha256,model_hash_type,n_orders,n_events,prevalence,log_loss,brier,average_precision,roc_auc,top_5pct_lift,top_10pct_lift,top_10pct_recall,calibration_intercept,calibration_slope,wace,calibration_invalid_reason,order_id_sha256,model_family,specification,n_obs,brier_score,top10_lift,comparison,candidate_model,reference_model,ablation_id,reference_fitted_model_sha256,delta_log_loss,delta_brier,delta_brier_score
later,2018-01,2018-01,2018-01-01,random_forest,DPB,Promise + both profile blocks,full,raw,raw,none,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,3fbd30309f2b094da55dc5f61072afd013c4acc294f71aed3e7c83ec7d401639,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.214358300285,0.0529812820375,0.105514821125,0.664130743099,2.67573705682,2.1585035852,0.2158808933,-0.808185677419,0.613622309204,0.0150293102694,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,random_forest,DPB,7069,0.0529812820375,2.1585035852,DPB-DP0,DPB,DP0,DPB_full,3214b6f8a11296352dd2c3c70595bcce247d37bf5b166d5e8c039034b639dea6,-0.072917066341,-0.00301757842871,-0.00301757842871
later,2018-01,2018-01,2018-01-01,random_forest,DPB,Promise + both profile blocks,metadata_only,raw,raw,,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,101bacd57a9082bd734b87d611e41f3fea063065d21653ef51a4e731bd2aacaa,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.225441926786,0.0535209974445,0.0990184808258,0.64337525564,2.18023019445,2.03445165502,0.203473945409,-1.18529447356,0.449564005119,0.0226376450335,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,random_forest,DPB,7069,0.0535209974445,2.03445165502,DPB-DP0,DPB,DP0,DPB_metadata_only,3214b6f8a11296352dd2c3c70595bcce247d37bf5b166d5e8c039034b639dea6,-0.0618334398403,-0.00247786302162,-0.00247786302162
later,2018-01,2018-01,2018-01-01,random_forest,DPB,Promise + both profile blocks,score_only,raw,raw,,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,8d04e9ba8d251f528feaff57d52f01c20840087e6913d758a8cd42106314a889,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.210091939813,0.0526551283676,0.114613107668,0.678984275599,2.97304117424,2.40660744557,0.240694789082,-0.597867340973,0.705536661322,0.0147788885189,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,random_forest,DPB,7069,0.0526551283676,2.40660744557,DPB-DP0,DPB,DP0,DPB_score_only,3214b6f8a11296352dd2c3c70595bcce247d37bf5b166d5e8c039034b639dea6,-0.0771834268134,-0.00334373209861,-0.00334373209861
later,2018-01,2018-01,2018-01-01,random_forest,DPG,Promise + geographic profiles,full,raw,raw,none,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,f8924da325a349434e52c98876cbd6c67bfb9c31fb23cc9c153cf447342baf84,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.23001205869,0.0535330784214,0.0975115995172,0.652035364827,2.27933156692,2.23293474331,0.223325062035,-1.42262481406,0.369939505887,0.0214792776172,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,random_forest,DPG,7069,0.0535330784214,2.23293474331,DPG-DP0,DPG,DP0,DPG_full,3214b6f8a11296352dd2c3c70595bcce247d37bf5b166d5e8c039034b639dea6,-0.0572633079358,-0.00246578204474,-0.00246578204474
later,2018-01,2018-01,2018-01-01,random_forest,DPG,Promise + geographic profiles,metadata_only,raw,raw,,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,cc8149a0a0b4df41394cc241c3b0268fa537f51d5ecdb4f05dba0e1181139e76,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.231955532427,0.0538741404488,0.0915478169352,0.64496716421,1.88292607702,1.56305432032,0.156327543424,-1.47377486225,0.353641588644,0.0283513617493,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,random_forest,DPG,7069,0.0538741404488,1.56305432032,DPG-DP0,DPG,DP0,DPG_metadata_only,3214b6f8a11296352dd2c3c70595bcce247d37bf5b166d5e8c039034b639dea6,-0.0553198341995,-0.00212472001742,-0.00212472001742
later,2018-01,2018-01,2018-01-01,random_forest,DPG,Promise + geographic profiles,score_only,raw,raw,,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,7c7be3845b0f9fd8fcb3470f0f5d218481ca8d6f68eeef0793e5831c2cd4972b,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.213892300836,0.0528462988872,0.109466751757,0.649111933526,3.02259186048,2.55546976179,0.255583126551,-0.704885261613,0.669045652742,0.0116972565033,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,random_forest,DPG,7069,0.0528462988872,2.55546976179,DPG-DP0,DPG,DP0,DPG_score_only,3214b6f8a11296352dd2c3c70595bcce247d37bf5b166d5e8c039034b639dea6,-0.0733830657903,-0.00315256157895,-0.00315256157895
later,2018-01,2018-01,2018-01-01,random_forest,DPS,Promise + seller profiles,full,raw,raw,none,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,f9d7581aa7428519520404b0181cc80af76c4e2894265ce33422b2469c784ef1,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.226642238971,0.0542959823522,0.0645013263821,0.533645424096,0.991013724748,0.967605055436,0.0967741935484,-2.13933571985,0.204426667846,0.0236217740029,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,random_forest,DPS,7069,0.0542959823522,0.967605055436,DPS-DP0,DPS,DP0,DPS_full,3214b6f8a11296352dd2c3c70595bcce247d37bf5b166d5e8c039034b639dea6,-0.0606331276548,-0.00170287811393,-0.00170287811393
later,2018-01,2018-01,2018-01-01,random_forest,DPS,Promise + seller profiles,metadata_only,raw,raw,,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,8f87eb3657b1104ff15bc16429fda2bdd081193b2e4d8d939b21a77a62d23b69,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.227228212663,0.0542794402508,0.0669895496559,0.531062225329,1.33786852841,1.33976084599,0.133995037221,-2.00367694268,0.241450149245,0.0213677820555,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,random_forest,DPS,7069,0.0542794402508,1.33976084599,DPS-DP0,DPS,DP0,DPS_metadata_only,3214b6f8a11296352dd2c3c70595bcce247d37bf5b166d5e8c039034b639dea6,-0.060047153963,-0.00171942021532,-0.00171942021532
later,2018-01,2018-01,2018-01-01,random_forest,DPS,Promise + seller profiles,score_only,raw,raw,,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,f8a6d3ee4d0a476abd5af5b2eecd821afefb02e4da257e847846c0282159fe67,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.227248849075,0.0542977195221,0.0664176467685,0.535563978234,1.43696990088,1.36457123203,0.136476426799,-2.19537068624,0.18837109537,0.0200253603492,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,random_forest,DPS,7069,0.0542977195221,1.36457123203,DPS-DP0,DPS,DP0,DPS_score_only,3214b6f8a11296352dd2c3c70595bcce247d37bf5b166d5e8c039034b639dea6,-0.060026517551,-0.0017011409441,-0.0017011409441
later,2018-02,2018-02,2018-02-01,random_forest,DPB,Promise + both profile blocks,full,raw,raw,none,42578,a51820ff53f7771f9c44ce45be1dcb2d238a8e28dccc88b566859c028e0e982b,a19fd5d41b737ba80e12c561c3cf2187bd9f1469fd07846b506552e37e71ddd1,sha256_pickle_protocol_5_fitted_wrapper,6555,926,0.141266209001,0.478891182321,0.127063399986,0.219314501191,0.612765407618,2.07185376389,1.99631742875,0.199784017279,-0.462892615081,0.416333268557,0.0921875471799,,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,random_forest,DPB,6555,0.127063399986,1.99631742875,DPB-DP0,DPB,DP0,DPB_full,a1d539998d133f8fe4069ea3094163f35723e61d86c5480f711b77ef6f0d0bad,-0.0914851884026,-0.00394000519991,-0.00394000519991
