task,block,period,cohort,cohort_month,family,model_family,comparison,candidate_model,model_id,specification,reference_model,representation,probability_type,support_stratum,minimum_support_threshold,median_support,cold_start_share,n_orders,n_obs,n_events,order_id_sha256,delta_log_loss,delta_brier,delta_brier_score,candidate_log_loss,reference_log_loss,candidate_brier,reference_brier,task_evidence,model_family_evidence,candidate_specification,reference_specification,representation_evidence,later_month_count,primary_evidence_available,median_delta_log_loss,median_delta_brier,both_improved_month_count,high_support_guard_available,high_support_median_delta_log_loss,high_support_median_delta_brier,high_support_material_reversal,high_support_no_material_reversal,calibration_guard_available,median_delta_wace,median_delta_absolute_calibration_slope_error,calibration_not_systematically_worse,calibration_systematically_worse,score_guard_available,score_only_median_delta_log_loss,full_beats_metadata_log_loss,full_no_metadata_brier_worsening,score_contributes,benefit_not_metadata_only,all_guards_available,all_guards_pass,evidence_status,evidence_label,evidence_reason
breach,combined,later,2018-01,2018-01,logistic_l2,logistic_l2,DPB-DP0,DPB,DPB,DPB,DP0,full,calibrated,0-4,,2,0,829,829,66,843d53ef4cba40af8ce81a3948849bf3caa909afba9485d42e123a1e538e2382,-0.0234763571921,-0.00314018773061,-0.00314018773061,0.269827934462,0.293304291654,0.0716456780048,0.0747858657354,breach,logistic_l2,DPB,DP0,full,6,True,-0.0188355042404,-0.00146902299902,5,True,-0.0178964373712,-0.00140057680524,False,True,True,-0.0166763314017,-3.63404763384,True,False,True,-0.0194931043395,True,False,True,True,True,True,Supported,Supported,both_medians_improve_at_least_four_months_all_guards_pass
breach,combined,later,2018-01,2018-01,logistic_l2,logistic_l2,DPB-DP0,DPB,DPB,DPB,DP0,full,calibrated,10-19,,14,0,892,892,47,1343e99ff96f28cf02ed18a8e5883433988d73af69944709e09cfefcd7257f94,-0.00921062516677,-0.000405417280485,-0.000405417280485,0.203070882246,0.212281507413,0.0499519977391,0.0503574150196,breach,logistic_l2,DPB,DP0,full,6,True,-0.0188355042404,-0.00146902299902,5,True,-0.0178964373712,-0.00140057680524,False,True,True,-0.0166763314017,-3.63404763384,True,False,True,-0.0194931043395,True,False,True,True,True,True,Supported,Supported,both_medians_improve_at_least_four_months_all_guards_pass
breach,combined,later,2018-01,2018-01,logistic_l2,logistic_l2,DPB-DP0,DPB,DPB,DPB,DP0,full,calibrated,20+,20,83,0,4261,4261,221,c3306cb36b0882481e724b819e6b942b80d4fc0cb8fb1250c1c235be938e0805,-0.0159661023068,-0.00188631463596,-0.00188631463596,0.19159949096,0.207565593267,0.0475746681131,0.0494609827491,breach,logistic_l2,DPB,DP0,full,6,True,-0.0188355042404,-0.00146902299902,5,True,-0.0178964373712,-0.00140057680524,False,True,True,-0.0166763314017,-3.63404763384,True,False,True,-0.0194931043395,True,False,True,True,True,True,Supported,Supported,both_medians_improve_at_least_four_months_all_guards_pass
breach,combined,later,2018-01,2018-01,logistic_l2,logistic_l2,DPB-DP0,DPB,DPB,DPB,DP0,full,calibrated,5-9,,7,0,678,678,40,5c41fd782d3650edc47876d6400838616f4a62f4e847bf7cbd5557ca55dc64f0,-0.0203191386328,-0.00266751773312,-0.00266751773312,0.206776861586,0.227096000219,0.0531393715701,0.0558068893033,breach,logistic_l2,DPB,DP0,full,6,True,-0.0188355042404,-0.00146902299902,5,True,-0.0178964373712,-0.00140057680524,False,True,True,-0.0166763314017,-3.63404763384,True,False,True,-0.0194931043395,True,False,True,True,True,True,Supported,Supported,both_medians_improve_at_least_four_months_all_guards_pass
breach,combined,later,2018-01,2018-01,logistic_l2,logistic_l2,DPB-DP0,DPB,DPB,DPB,DP0,full,calibrated,cold_start,,0,1,409,409,29,c65860e70d404930564432b9918d54208bd6493c8406bef03e898d828642f02f,-0.0248493180442,-0.00335612783561,-0.00335612783561,0.237298312731,0.262147630775,0.0631138348128,0.0664699626484,breach,logistic_l2,DPB,DP0,full,6,True,-0.0188355042404,-0.00146902299902,5,True,-0.0178964373712,-0.00140057680524,False,True,True,-0.0166763314017,-3.63404763384,True,False,True,-0.0194931043395,True,False,True,True,True,True,Supported,Supported,both_medians_improve_at_least_four_months_all_guards_pass
breach,geographic,later,2018-01,2018-01,logistic_l2,logistic_l2,DPG-DP0,DPG,DPG,DPG,DP0,full,calibrated,0-4,,2,0,109,109,10,486d45b537df71f2e1d1b62b6efe2a4bcfefd2b02d17f1507f763adbea3dd1e2,-0.0697210268385,-0.00877500369937,-0.00877500369937,0.264344847495,0.334065874333,0.0773353029066,0.086110306606,breach,logistic_l2,DPG,DP0,full,6,True,-0.0126256584508,-0.000678203167734,3,True,-0.0125311675792,-0.000651481391294,False,True,True,-0.0113356271504,-3.47809936608,True,False,True,-0.0132700613425,True,False,True,True,True,True,Mixed,Mixed,exactly_three_both_improved_months
breach,geographic,later,2018-01,2018-01,logistic_l2,logistic_l2,DPG-DP0,DPG,DPG,DPG,DP0,full,calibrated,10-19,,15,0,117,117,6,c2188a4b26af33d977cc752cad5a6dfa275cdd0f8585c6a169cd31db4fa24afe,-0.0143956745017,-0.00189585104296,-0.00189585104296,0.187802611048,0.20219828555,0.0467583495185,0.0486542005614,breach,logistic_l2,DPG,DP0,full,6,True,-0.0126256584508,-0.000678203167734,3,True,-0.0125311675792,-0.000651481391294,False,True,True,-0.0113356271504,-3.47809936608,True,False,True,-0.0132700613425,True,False,True,True,True,True,Mixed,Mixed,exactly_three_both_improved_months
breach,geographic,later,2018-01,2018-01,logistic_l2,logistic_l2,DPG-DP0,DPG,DPG,DPG,DP0,full,calibrated,20+,20,1354,0,6683,6683,376,d944e88f896a259a9f4bf390aab2dacfdedd809348671d0240178db2be712368,-0.0128997431056,-0.00154084566069,-0.00154084566069,0.207921626261,0.220821369367,0.0519047692101,0.0534456148708,breach,logistic_l2,DPG,DP0,full,6,True,-0.0126256584508,-0.000678203167734,3,True,-0.0125311675792,-0.000651481391294,False,True,True,-0.0113356271504,-3.47809936608,True,False,True,-0.0132700613425,True,False,True,True,True,True,Mixed,Mixed,exactly_three_both_improved_months
breach,geographic,later,2018-01,2018-01,logistic_l2,logistic_l2,DPG-DP0,DPG,DPG,DPG,DP0,full,calibrated,5-9,,7,0,119,119,9,3d3ed42566bb50082fe585847b552e63a9318b81e472fc5cce6bc1f6cc349288,-0.0265926321427,-0.00231964268241,-0.00231964268241,0.258140750527,0.28473338267,0.0691605565121,0.0714801991945,breach,logistic_l2,DPG,DP0,full,6,True,-0.0126256584508,-0.000678203167734,3,True,-0.0125311675792,-0.000651481391294,False,True,True,-0.0113356271504,-3.47809936608,True,False,True,-0.0132700613425,True,False,True,True,True,True,Mixed,Mixed,exactly_three_both_improved_months
breach,geographic,later,2018-01,2018-01,logistic_l2,logistic_l2,DPG-DP0,DPG,DPG,DPG,DP0,full,calibrated,cold_start,,0,1,41,41,2,1de910440b837c562ec30c770862d314baa19f4ff11aca9053fac23e789de8b8,0.0326734220334,0.00294168134466,0.00294168134466,0.238233439382,0.205560017349,0.0500411273215,0.0470994459768,breach,logistic_l2,DPG,DP0,full,6,True,-0.0126256584508,-0.000678203167734,3,True,-0.0125311675792,-0.000651481391294,False,True,True,-0.0113356271504,-3.47809936608,True,False,True,-0.0132700613425,True,False,True,True,True,True,Mixed,Mixed,exactly_three_both_improved_months
