record_type,task,family,comparison,quantile,expected_label,reproduced_label,matching_rows,absolute_tolerance,passed,expected_median_delta_log_loss,reproduced_median_delta_log_loss,expected_median_delta_brier,reproduced_median_delta_brier,expected_both_improved_month_count,reproduced_both_improved_month_count,expected_median_skill,reproduced_median_skill,expected_favourable_month_count,reproduced_favourable_month_count,expected_median_absolute_coverage_error_deterioration,reproduced_median_absolute_coverage_error_deterioration,expected_sha256,reproduced_object_sha256,expected_object_sha256,expected_path,schema_equal,expected_rows,actual_rows,row_count_equal,ignored_columns,numeric_differing_cells,nonnumeric_differing_cells,max_absolute_difference,ignored_column_exact_match
artifact_table,primary_artifact,all_primary,breach_calibration,,,,,1e-10,True,,,,,,,,,,,,,d747423b029623d7759e412638d3c90cec4659a04b3af0585653214d9dba8556,,,analysis/direct_promise_profile_extension_v1/DIRECT_BREACH_CALIBRATION.csv,True,128,128,True,"['fitted_model_sha256', 'reference_fitted_model_sha256']",0,0,0,True
artifact_table,primary_artifact,all_primary,breach_monthly,,,,,1e-10,True,,,,,,,,,,,,,2c1b887ccb50092f7c18c299d9781cce5ab6d360ce6ceb00666b494736b42c96,,,analysis/direct_promise_profile_extension_v1/DIRECT_BREACH_MONTHLY.csv,True,96,96,True,"['fitted_model_sha256', 'reference_fitted_model_sha256']",0,0,0,True
artifact_table,primary_artifact,all_primary,breach_pooled,,,,,1e-10,True,,,,,,,,,,,,,76789278b624130a7fdbc07854850640bb37e93b55cff30e7d8646a188465cf2,,,analysis/direct_promise_profile_extension_v1/DIRECT_BREACH_POOLED.csv,True,16,16,True,"['fitted_model_sha256', 'reference_fitted_model_sha256']",0,0,0,True
artifact_table,primary_artifact,all_primary,evidence_labels,,,,,1e-10,True,,,,,,,,,,,,,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,,,analysis/direct_promise_profile_extension_v1/EVIDENCE_LABELS.csv,True,18,18,True,"['fitted_model_sha256', 'reference_fitted_model_sha256']",0,0,0,True
artifact_table,primary_artifact,all_primary,model_selection,,,,,1e-10,True,,,,,,,,,,,,,2a65738a190a2f8d5aea4656c70a23cce0056be601c5d28d1813a888fc3f640b,,,analysis/direct_promise_profile_extension_v1/MODEL_SELECTION.csv,True,14,14,True,"['fitted_model_sha256', 'reference_fitted_model_sha256']",0,0,0,True
artifact_table,primary_artifact,all_primary,severity_coverage,,,,,1e-10,True,,,,,,,,,,,,,ec1cad2c1671e9fd6bdbef81c8d240fb0afc712a09e6d39bd390dd384f157fc8,,,analysis/direct_promise_profile_extension_v1/DIRECT_SEVERITY_COVERAGE.csv,True,128,128,True,"['fitted_model_sha256', 'reference_fitted_model_sha256']",0,0,0,True
artifact_table,primary_artifact,all_primary,severity_monthly,,,,,1e-10,True,,,,,,,,,,,,,8124ea1e565cbcb2bb1d297986054f2c70dcc296cf323133fd9d23f640e751d1,,,analysis/direct_promise_profile_extension_v1/DIRECT_SEVERITY_MONTHLY.csv,True,96,96,True,"['fitted_model_sha256', 'reference_fitted_model_sha256']",0,0,0,True
artifact_table,primary_artifact,all_primary,severity_pooled,,,,,1e-10,True,,,,,,,,,,,,,db54493ee9448b55f9a31f4a1b70a43a30089dd6e48719299c7f8248273f63a7,,,analysis/direct_promise_profile_extension_v1/DIRECT_SEVERITY_POOLED.csv,True,16,16,True,"['fitted_model_sha256', 'reference_fitted_model_sha256']",0,0,0,True
artifact_table,primary_artifact,all_primary,terminal,,,,,1e-10,True,,,,,,,,,,,,,f35b32cbf386b74aa3b8d3a73a6d694fedd5d82313632b6453bee8d31aa93bb4,,,analysis/direct_promise_profile_extension_v1/DIRECT_TERMINAL.csv,True,186,186,True,"['fitted_model_sha256', 'reference_fitted_model_sha256']",0,0,0,True
core_comparison,breach,logistic_l2,DPB-DP0,,Supported,Supported,1,1e-10,True,-0.0188355042404,-0.0188355042404,-0.00146902299902,-0.00146902299902,5,5,,,,,,,,,,,,,,,,,,,
core_comparison,breach,logistic_l2,DPG-DP0,,Mixed,Mixed,1,1e-10,True,-0.0126256584508,-0.0126256584508,-0.000678203167734,-0.000678203167734,3,3,,,,,,,,,,,,,,,,,,,
core_comparison,breach,logistic_l2,DPS-DP0,,Supported,Supported,1,1e-10,True,-0.00415653020117,-0.00415653020117,-0.00047411302235,-0.00047411302235,6,6,,,,,,,,,,,,,,,,,,,
core_comparison,breach,xgboost,DPB-DP0,,Mixed,Mixed,1,1e-10,True,-0.00229967244447,-0.00229967244447,-0.000293696109202,-0.000293696109202,5,5,,,,,,,,,,,,,,,,,,,
core_comparison,breach,xgboost,DPG-DP0,,Mixed,Mixed,1,1e-10,True,-0.00197620878246,-0.00197620878246,-0.00026123594082,-0.00026123594082,5,5,,,,,,,,,,,,,,,,,,,
core_comparison,breach,xgboost,DPS-DP0,,Supported,Supported,1,1e-10,True,-0.000144657998041,-0.000144657998041,-1.96016143433e-05,-1.96016143433e-05,5,5,,,,,,,,,,,,,,,,,,,
core_comparison,severity,linear_quantile,DQB-DQ0,0.5,Not-supported,Not-supported,1,1e-10,True,,,,,,,-0.00174129588923,-0.00174129588923,2,2,0.0119368318344,0.0119368318344,,,,,,,,,,,,,
core_comparison,severity,linear_quantile,DQG-DQ0,0.5,Not-supported,Not-supported,1,1e-10,True,,,,,,,-0.00502930204561,-0.00502930204561,3,3,0.0201086034278,0.0201086034278,,,,,,,,,,,,,
core_comparison,severity,linear_quantile,DQS-DQ0,0.5,Not-supported,Not-supported,1,1e-10,True,,,,,,,0.000519832297006,0.000519832297006,3,3,0.00107991360691,0.00107991360691,,,,,,,,,,,,,
core_comparison,severity,linear_quantile,DQB-DQ0,0.9,Not-supported,Not-supported,1,1e-10,True,,,,,,,-0.00513196219554,-0.00513196219554,1,1,0.00649359815921,0.00649359815921,,,,,,,,,,,,,
core_comparison,severity,linear_quantile,DQG-DQ0,0.9,Not-supported,Not-supported,1,1e-10,True,,,,,,,-0.00250912580818,-0.00250912580818,3,3,0.00439664202777,0.00439664202777,,,,,,,,,,,,,
core_comparison,severity,linear_quantile,DQS-DQ0,0.9,Not-supported,Not-supported,1,1e-10,True,,,,,,,-0.00243285667054,-0.00243285667054,1,1,0,0,,,,,,,,,,,,,
core_comparison,severity,xgboost_quantile,DQB-DQ0,0.5,Not-supported,Not-supported,1,1e-10,True,,,,,,,-0.000152139854368,-0.000152139854368,2,2,-0.000880974879912,-0.000880974879912,,,,,,,,,,,,,
core_comparison,severity,xgboost_quantile,DQG-DQ0,0.5,Not-supported,Not-supported,1,1e-10,True,,,,,,,1.90782815425e-05,1.90782815425e-05,3,3,-0.000218394439115,-0.000218394439115,,,,,,,,,,,,,
core_comparison,severity,xgboost_quantile,DQS-DQ0,0.5,Not-supported,Not-supported,1,1e-10,True,,,,,,,7.76680377993e-05,7.76680377993e-05,4,4,-0.000539956803456,-0.000539956803456,,,,,,,,,,,,,
core_comparison,severity,xgboost_quantile,DQB-DQ0,0.9,Not-supported,Not-supported,1,1e-10,True,,,,,,,-0.00411813543947,-0.00411813543947,2,2,0.00161987041037,0.00161987041037,,,,,,,,,,,,,
core_comparison,severity,xgboost_quantile,DQG-DQ0,0.9,Not-supported,Not-supported,1,1e-10,True,,,,,,,-0.00201792974276,-0.00201792974276,2,2,0.000753012048193,0.000753012048193,,,,,,,,,,,,,
core_comparison,severity,xgboost_quantile,DQS-DQ0,0.9,Not-supported,Not-supported,1,1e-10,True,,,,,,,-0.00466230145562,-0.00466230145562,0,0,0.00248138957816,0.00248138957816,,,,,,,,,,,,,
selection_freeze,all_primary,all_primary,selection_json,,,,,0,True,,,,,,,,,,,,,6acfae6ae4467cfdff4ba2ffe6f375c71b0ea0ad997a0f7bb114ad476c9f28dd,e88da7ebc606c0fced55bfdd84b8b6c96dde1fdb3bc4c5fdee26460ec85b4780,e88da7ebc606c0fced55bfdd84b8b6c96dde1fdb3bc4c5fdee26460ec85b4780,,,,,,,,,,
