period,cohort,cohort_month,origin,family,model_id,model_name,representation,probability_type,probability_variant,calibration_method,n_train,train_order_id_sha256,fitted_model_sha256,model_hash_type,n_orders,n_events,prevalence,log_loss,brier,average_precision,roc_auc,top_5pct_lift,top_10pct_lift,top_10pct_recall,calibration_intercept,calibration_slope,wace,calibration_invalid_reason,order_id_sha256,model_family,specification,n_obs,brier_score,top10_lift,comparison,candidate_model,reference_model,ablation_id,reference_fitted_model_sha256,delta_log_loss,delta_brier,delta_brier_score,both_improved_month_count
later,2018-01,2018-01,2018-01-01,logistic_l2,DPB,Promise + both profile blocks,full,raw,raw,none,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,57943f75a2d0f9777a4efa05946db9096d4f33b3b726106f0f1aee51573a8f05,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.20632080035,0.0521303101206,0.128738075356,0.688136307427,3.27034529167,2.50584898972,0.250620347395,-0.0911194650264,0.933844777076,0.00978790682322,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,logistic_l2,DPB,7069,0.0521303101206,2.50584898972,DPB-DP0,DPB,DP0,DPB_full,46675fb422177ee9b1dd69df4d376e1fe67a3a99808c8cc426182a494de07334,-0.0169258858061,-0.00200646029347,-0.00200646029347,
later,2018-01,2018-01,2018-01-01,logistic_l2,DPB,Promise + both profile blocks,metadata_only,raw,raw,,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,4af0b8a52bf1e1dd77f21dddebffcf03476d733e63456d6224a3bbe9a48b94e0,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.219762416566,0.0536611233573,0.0831552738913,0.576202409323,2.03157813573,1.96002049691,0.196029776675,-0.944998716076,0.588579637819,0.016542210412,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,logistic_l2,DPB,7069,0.0536611233573,1.96002049691,DPB-DP0,DPB,DP0,DPB_metadata_only,46675fb422177ee9b1dd69df4d376e1fe67a3a99808c8cc426182a494de07334,-0.00348426959027,-0.000475647056688,-0.000475647056688,
later,2018-01,2018-01,2018-01-01,logistic_l2,DPB,Promise + both profile blocks,score_only,raw,raw,,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,3f9c2339efc912e7789e10814f3095f83b120bb0fd013df898c2b1444c5656cd,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.206187378118,0.0521273278752,0.129703958535,0.693955996096,3.31989597791,2.53065937576,0.253101736973,0.03814635622,0.957999822406,0.00904590707102,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,logistic_l2,DPB,7069,0.0521273278752,2.53065937576,DPB-DP0,DPB,DP0,DPB_score_only,46675fb422177ee9b1dd69df4d376e1fe67a3a99808c8cc426182a494de07334,-0.0170593080384,-0.00200944253882,-0.00200944253882,
later,2018-01,2018-01,2018-01-01,logistic_l2,DPG,Promise + geographic profiles,full,raw,raw,none,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,d44e1bb6074f7752424e2bf7de4a58936812aed0c1dd7dd20f4361b85d4b3947,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.209479847574,0.0524913905767,0.115881125147,0.670407363317,3.07214254672,2.80357362216,0.280397022333,-0.0743962367278,0.925497119727,0.00935348856106,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,logistic_l2,DPG,7069,0.0524913905767,2.80357362216,DPG-DP0,DPG,DP0,DPG_full,46675fb422177ee9b1dd69df4d376e1fe67a3a99808c8cc426182a494de07334,-0.0137668385824,-0.00164537983728,-0.00164537983728,
later,2018-01,2018-01,2018-01-01,logistic_l2,DPG,Promise + geographic profiles,metadata_only,raw,raw,,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,f73b221e62ff5472ffec71f52db6d1f5cdd04adc082665c3603113c62e6c2640,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.221226316662,0.0538591281369,0.0738959216149,0.558367375199,1.93247676326,1.48862316221,0.14888337469,-1.21179674983,0.50235170753,0.0169075720088,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,logistic_l2,DPG,7069,0.0538591281369,1.48862316221,DPG-DP0,DPG,DP0,DPG_metadata_only,46675fb422177ee9b1dd69df4d376e1fe67a3a99808c8cc426182a494de07334,-0.0020203694946,-0.000277642277167,-0.000277642277167,
later,2018-01,2018-01,2018-01-01,logistic_l2,DPG,Promise + geographic profiles,score_only,raw,raw,,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,625afd81514cf8dec413a323180f9ace7a106a39de27af3bfef8a5026b8c4b4f,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.209786260859,0.0525519159316,0.116860663879,0.67655016122,3.02259186048,2.67952169198,0.267990074442,0.0171670702441,0.932132431542,0.0111700696984,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,logistic_l2,DPG,7069,0.0525519159316,2.67952169198,DPG-DP0,DPG,DP0,DPG_score_only,46675fb422177ee9b1dd69df4d376e1fe67a3a99808c8cc426182a494de07334,-0.0134604252978,-0.00158485448239,-0.00158485448239,
later,2018-01,2018-01,2018-01-01,logistic_l2,DPS,Promise + seller profiles,full,raw,raw,none,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,79caf4f9a33a95b860427a8fede3db8a80fb3b9a6210fa8fcf2b17a79d859d02,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.221389962696,0.0539073402211,0.0708330132595,0.528800274568,1.78382470455,1.43900239014,0.143920595533,-1.5472264393,0.402267019005,0.013950909185,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,logistic_l2,DPS,7069,0.0539073402211,1.43900239014,DPS-DP0,DPS,DP0,DPS_full,46675fb422177ee9b1dd69df4d376e1fe67a3a99808c8cc426182a494de07334,-0.00185672346073,-0.000229430192901,-0.000229430192901,
later,2018-01,2018-01,2018-01-01,logistic_l2,DPS,Promise + seller profiles,metadata_only,raw,raw,,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,0ec71b71841c006cbc4d74f6df9799fc6941c3f184c817577b928a60fad7e106,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.222125858737,0.0539695470691,0.0687705478956,0.516753660478,1.53607127336,1.4141920041,0.141439205955,-1.76282597225,0.330585810532,0.0161559691581,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,logistic_l2,DPS,7069,0.0539695470691,1.4141920041,DPS-DP0,DPS,DP0,DPS_metadata_only,46675fb422177ee9b1dd69df4d376e1fe67a3a99808c8cc426182a494de07334,-0.00112082741996,-0.000167223344892,-0.000167223344892,
later,2018-01,2018-01,2018-01-01,logistic_l2,DPS,Promise + seller profiles,score_only,raw,raw,,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,a4c607731ece6a6d612a8380824a2c0ea1f0ab49514c4215f504be5fd80ea653,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.221601237786,0.0539692471434,0.0668533822162,0.519872334628,1.48652058712,1.43900239014,0.143920595533,-1.70848413073,0.351120795056,0.015462429603,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,logistic_l2,DPS,7069,0.0539692471434,1.43900239014,DPS-DP0,DPS,DP0,DPS_score_only,46675fb422177ee9b1dd69df4d376e1fe67a3a99808c8cc426182a494de07334,-0.00164544837102,-0.000167523270622,-0.000167523270622,
later,2018-01,2018-01,2018-01-01,xgboost,DPB,Promise + both profile blocks,full,raw,raw,none,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,86a7f8d92ace33260a342f47ed7afdd68157dc28f60ecaec98f3704f9f5111e6,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.218902384478,0.0537913581582,0.0923863549809,0.657978452932,1.88292607702,1.8855893388,0.18858560794,8.7723210517,3.78412242688,0.0249893733385,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,xgboost,DPB,7069,0.0537913581582,1.8855893388,DPB-DP0,DPB,DP0,DPB_full,bd2590b6d8f4b87eb5104ed856babb8a2983cfde7a82547f93bd4f7a059f1ab1,-0.00181105865422,-0.00015446444412,-0.00015446444412,
