task,stage,family,model_family,model_id,specification,representation,quantile,parameter_index,parameters_json,fold,n_train,n_validation,train_order_id_sha256,validation_order_id_sha256,ordered_features_json,ordered_feature_sha256,fitted_model_sha256,log_loss,brier,brier_score,pinball_loss,best_iteration,selected,invalid_reason,selected_final_parameters_json
breach,development_tuning,logistic_l2,logistic_l2,DP0,DP0,full,,0,"{""C"":0.01,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}",1,7904,6695,7836169560cf97ecc0364b862f32202640c5159d88f65c8e4152e5724792a6d8,d09128ed98505e62a36afab6ba0be1771d8f9f810e8cd4d77cb32230893faeb6,"[""promised_delivery_days""]",66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,a52494024cef759dc5d8476141577ade769573e4aab871263aafc75ca69ba62b,0.106363817118,0.0168360560463,0.0168360560463,,,False,,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}"
breach,development_tuning,logistic_l2,logistic_l2,DP0,DP0,full,,1,"{""C"":0.1,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}",1,7904,6695,7836169560cf97ecc0364b862f32202640c5159d88f65c8e4152e5724792a6d8,d09128ed98505e62a36afab6ba0be1771d8f9f810e8cd4d77cb32230893faeb6,"[""promised_delivery_days""]",66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,414a8acef95809858575d9a6ef47ba26c21c4eeffb477c85e4afa07f7980aee7,0.0842493248728,0.0146558939977,0.0146558939977,,,False,,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}"
breach,development_tuning,logistic_l2,logistic_l2,DP0,DP0,full,,2,"{""C"":1.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}",1,7904,6695,7836169560cf97ecc0364b862f32202640c5159d88f65c8e4152e5724792a6d8,d09128ed98505e62a36afab6ba0be1771d8f9f810e8cd4d77cb32230893faeb6,"[""promised_delivery_days""]",66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,5e53d262b722979e9dd4185facd60d7e24e2a911df43d958c7a624b25bc76655,0.0820096124874,0.0145036157466,0.0145036157466,,,False,,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}"
breach,development_tuning,logistic_l2,logistic_l2,DP0,DP0,full,,3,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}",1,7904,6695,7836169560cf97ecc0364b862f32202640c5159d88f65c8e4152e5724792a6d8,d09128ed98505e62a36afab6ba0be1771d8f9f810e8cd4d77cb32230893faeb6,"[""promised_delivery_days""]",66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,bd9c89183dc404a26b6d982fade3def65949856481a18a06d7d158d90a50b0d5,0.081789175488,0.0144894093141,0.0144894093141,,,True,,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}"
breach,development_tuning,logistic_l2,logistic_l2,DP0,DP0,full,,0,"{""C"":0.01,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}",2,15659,7062,7a815cb278e9123fd713e5c94e3ee08ad4602f7416e1c478f119b0e7621bdf6f,67c5b1ae5810ebeb89141c8c652aea51e30b40d843c2f57acdc8f2ad51610428,"[""promised_delivery_days""]",66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,e1704aa24f3e7d12ea7e7866e63fb7241aa52b09ac82894a14238b0f1dfa74b4,0.122934337019,0.024776663674,0.024776663674,,,False,,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}"
breach,development_tuning,logistic_l2,logistic_l2,DP0,DP0,full,,1,"{""C"":0.1,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}",2,15659,7062,7a815cb278e9123fd713e5c94e3ee08ad4602f7416e1c478f119b0e7621bdf6f,67c5b1ae5810ebeb89141c8c652aea51e30b40d843c2f57acdc8f2ad51610428,"[""promised_delivery_days""]",66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,a90687f690894b7b659b6f0b0aa3ccb9def5b18681669af84205a31cd7979e5e,0.116424689283,0.024292624258,0.024292624258,,,False,,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}"
breach,development_tuning,logistic_l2,logistic_l2,DP0,DP0,full,,2,"{""C"":1.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}",2,15659,7062,7a815cb278e9123fd713e5c94e3ee08ad4602f7416e1c478f119b0e7621bdf6f,67c5b1ae5810ebeb89141c8c652aea51e30b40d843c2f57acdc8f2ad51610428,"[""promised_delivery_days""]",66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,62fd8d608d6cf872833453daf639a5a428be85fe347d7c1b5bc17be929cbf9aa,0.116045811529,0.0242732309701,0.0242732309701,,,False,,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}"
breach,development_tuning,logistic_l2,logistic_l2,DP0,DP0,full,,3,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}",2,15659,7062,7a815cb278e9123fd713e5c94e3ee08ad4602f7416e1c478f119b0e7621bdf6f,67c5b1ae5810ebeb89141c8c652aea51e30b40d843c2f57acdc8f2ad51610428,"[""promised_delivery_days""]",66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,03396e9191acc74b4265b144544a7b172971d3616cc94b6181c5407537e2474e,0.116013449881,0.02427168772,0.02427168772,,,True,,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}"
breach,development_tuning,logistic_l2,logistic_l2,DP0,DP0,full,,0,"{""C"":0.01,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}",3,24106,10309,e3bfae30130dce93f2dedc1476ea0ccd107cd5fd6d4b61c550fdd0ba849e09ba,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,"[""promised_delivery_days""]",66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,2cc66d4db7c224fda69ea28351efe920f34589634e7694bbd27563eb53e5f5ce,0.231577152622,0.0574134159468,0.0574134159468,,,False,,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}"
breach,development_tuning,logistic_l2,logistic_l2,DP0,DP0,full,,1,"{""C"":0.1,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}",3,24106,10309,e3bfae30130dce93f2dedc1476ea0ccd107cd5fd6d4b61c550fdd0ba849e09ba,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,"[""promised_delivery_days""]",66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,b12ada43e53530b004513d5f927e9df499dd4bb0c2187175a0c058f0bba3af11,0.238262174073,0.0579193374714,0.0579193374714,,,False,,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}"
