analysis_id,task,family,model_family,model_id,specification,quantile,tuning_baseline,selection_metric,parameters_json,development_only,later_or_terminal_outcomes_used,calibration_method
direct_promise_profile_extension_v1,breach,logistic_l2,logistic_l2,DP0,DP0,,DP0,mean_chronological_log_loss,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}",True,False,
direct_promise_profile_extension_v1,breach,xgboost,xgboost,DP0,DP0,,DP0,mean_chronological_log_loss,"{""colsample_bytree"":0.8,""eval_metric"":""logloss"",""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":4,""n_jobs"":4,""objective"":""binary:logistic"",""random_state"":20260823,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}",True,False,
direct_promise_profile_extension_v1,breach_calibration,logistic_l2,logistic_l2,DP0,DP0,,DP0,chronological_development_oof_log_loss_then_brier_then_simplicity,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",True,False,none
direct_promise_profile_extension_v1,breach_calibration,logistic_l2,logistic_l2,DPB,DPB,,DPB,chronological_development_oof_log_loss_then_brier_then_simplicity,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",True,False,none
direct_promise_profile_extension_v1,breach_calibration,logistic_l2,logistic_l2,DPG,DPG,,DPG,chronological_development_oof_log_loss_then_brier_then_simplicity,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",True,False,none
direct_promise_profile_extension_v1,breach_calibration,logistic_l2,logistic_l2,DPS,DPS,,DPS,chronological_development_oof_log_loss_then_brier_then_simplicity,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",True,False,none
direct_promise_profile_extension_v1,breach_calibration,xgboost,xgboost,DP0,DP0,,DP0,chronological_development_oof_log_loss_then_brier_then_simplicity,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",True,False,none
direct_promise_profile_extension_v1,breach_calibration,xgboost,xgboost,DPB,DPB,,DPB,chronological_development_oof_log_loss_then_brier_then_simplicity,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",True,False,none
direct_promise_profile_extension_v1,breach_calibration,xgboost,xgboost,DPG,DPG,,DPG,chronological_development_oof_log_loss_then_brier_then_simplicity,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",True,False,none
direct_promise_profile_extension_v1,breach_calibration,xgboost,xgboost,DPS,DPS,,DPS,chronological_development_oof_log_loss_then_brier_then_simplicity,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",True,False,none
direct_promise_profile_extension_v1,severity,linear_quantile,linear_quantile,DQ0,DQ0,0.5,DQ0,mean_chronological_pinball_loss,"{""alpha"":0.0001,""solver"":""highs""}",True,False,
direct_promise_profile_extension_v1,severity,linear_quantile,linear_quantile,DQ0,DQ0,0.9,DQ0,mean_chronological_pinball_loss,"{""alpha"":0.01,""solver"":""highs""}",True,False,
direct_promise_profile_extension_v1,severity,xgboost_quantile,xgboost_quantile,DQ0,DQ0,0.5,DQ0,mean_chronological_pinball_loss,"{""colsample_bytree"":0.8,""eval_metric"":""quantile"",""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":1,""n_jobs"":4,""objective"":""reg:quantileerror"",""quantile_alpha"":0.5,""random_state"":20260823,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}",True,False,
direct_promise_profile_extension_v1,severity,xgboost_quantile,xgboost_quantile,DQ0,DQ0,0.9,DQ0,mean_chronological_pinball_loss,"{""colsample_bytree"":0.8,""eval_metric"":""quantile"",""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":5,""n_jobs"":4,""objective"":""reg:quantileerror"",""quantile_alpha"":0.9,""random_state"":20260823,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}",True,False,
