task,outcome,period,cohort,cohort_month,family,model_family,model_id,specification,representation,quantile,probability_type,metric,estimate,n_orders,n_obs,n_events,order_id_sha256,fitted_model_sha256,evidence_status,evidence_label,mapping_status,median_support
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DP0,DP0,full,,calibrated,average_precision,0.141620803612,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,fee8ab1ae9a244cb0c525f82ee602b68ef6a3c66de53e3ad47589945ae0f511e,Reference,Reference,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DP0,DP0,full,,calibrated,brier,0.0462507925329,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,fee8ab1ae9a244cb0c525f82ee602b68ef6a3c66de53e3ad47589945ae0f511e,Reference,Reference,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DP0,DP0,full,,calibrated,calibration_intercept,24.8629008328,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,fee8ab1ae9a244cb0c525f82ee602b68ef6a3c66de53e3ad47589945ae0f511e,Reference,Reference,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DP0,DP0,full,,calibrated,calibration_slope,11.4376746418,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,fee8ab1ae9a244cb0c525f82ee602b68ef6a3c66de53e3ad47589945ae0f511e,Reference,Reference,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DP0,DP0,full,,calibrated,log_loss,0.197124175549,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,fee8ab1ae9a244cb0c525f82ee602b68ef6a3c66de53e3ad47589945ae0f511e,Reference,Reference,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DP0,DP0,full,,calibrated,roc_auc,0.725074369304,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,fee8ab1ae9a244cb0c525f82ee602b68ef6a3c66de53e3ad47589945ae0f511e,Reference,Reference,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DP0,DP0,full,,calibrated,top_10pct_lift,3.49333844073,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,fee8ab1ae9a244cb0c525f82ee602b68ef6a3c66de53e3ad47589945ae0f511e,Reference,Reference,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DP0,DP0,full,,calibrated,wace,0.0475880898335,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,fee8ab1ae9a244cb0c525f82ee602b68ef6a3c66de53e3ad47589945ae0f511e,Reference,Reference,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPB,DPB,full,,calibrated,average_precision,0.0716396584706,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,eec7f8ac345c6f37de531c843742bd3932f3ee53b8cbc0c0d410357008699278,Supported,Supported,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPB,DPB,full,,calibrated,brier,0.0479746880439,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,eec7f8ac345c6f37de531c843742bd3932f3ee53b8cbc0c0d410357008699278,Supported,Supported,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPB,DPB,full,,calibrated,calibration_intercept,-1.66017473031,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,eec7f8ac345c6f37de531c843742bd3932f3ee53b8cbc0c0d410357008699278,Supported,Supported,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPB,DPB,full,,calibrated,calibration_slope,0.499103717369,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,eec7f8ac345c6f37de531c843742bd3932f3ee53b8cbc0c0d410357008699278,Supported,Supported,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPB,DPB,full,,calibrated,delta_brier,0.00172389551105,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,eec7f8ac345c6f37de531c843742bd3932f3ee53b8cbc0c0d410357008699278,Supported,Supported,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPB,DPB,full,,calibrated,delta_log_loss,0.001139292708,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,eec7f8ac345c6f37de531c843742bd3932f3ee53b8cbc0c0d410357008699278,Supported,Supported,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPB,DPB,full,,calibrated,log_loss,0.198263468257,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,eec7f8ac345c6f37de531c843742bd3932f3ee53b8cbc0c0d410357008699278,Supported,Supported,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPB,DPB,full,,calibrated,roc_auc,0.618297294419,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,eec7f8ac345c6f37de531c843742bd3932f3ee53b8cbc0c0d410357008699278,Supported,Supported,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPB,DPB,full,,calibrated,top_10pct_lift,1.74666922036,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,eec7f8ac345c6f37de531c843742bd3932f3ee53b8cbc0c0d410357008699278,Supported,Supported,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPB,DPB,full,,calibrated,wace,0.031055230296,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,eec7f8ac345c6f37de531c843742bd3932f3ee53b8cbc0c0d410357008699278,Supported,Supported,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,logistic_l2,logistic_l2,DPG,DPG,full,,calibrated,average_precision,0.064837033395,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,5d387df78245276a64020fb2b4aaf30d27e7c80e6eba1352e3a183644f640f8c,Mixed,Mixed,,
