panel,estimand_role,estimand,outcome,period_summary,model_family,quantile,profile_block,representation,metric,metric_direction,estimate,evidence_label,label_namespace,source_path,source_sha256,note
breach_probability__later_monthly_median,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_monthly_median,logistic_l2,,both,full,delta_brier,negative_is_better,-0.00146902299902,Supported,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/EVIDENCE_LABELS.csv,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_monthly_median,logistic_l2,,both,full,delta_log_loss,negative_is_better,-0.0188355042404,Supported,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/EVIDENCE_LABELS.csv,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_monthly_median,logistic_l2,,both,full,favourable_month_count,larger_is_more_consistent,5,Supported,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/EVIDENCE_LABELS.csv,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_monthly_median,logistic_l2,,seller,full,delta_brier,negative_is_better,-0.00047411302235,Supported,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/EVIDENCE_LABELS.csv,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_monthly_median,logistic_l2,,seller,full,delta_log_loss,negative_is_better,-0.00415653020117,Supported,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/EVIDENCE_LABELS.csv,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_monthly_median,logistic_l2,,seller,full,favourable_month_count,larger_is_more_consistent,6,Supported,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/EVIDENCE_LABELS.csv,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_monthly_median,logistic_l2,,state_od,full,delta_brier,negative_is_better,-0.000678203167734,Mixed,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/EVIDENCE_LABELS.csv,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_monthly_median,logistic_l2,,state_od,full,delta_log_loss,negative_is_better,-0.0126256584508,Mixed,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/EVIDENCE_LABELS.csv,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_monthly_median,logistic_l2,,state_od,full,favourable_month_count,larger_is_more_consistent,3,Mixed,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/EVIDENCE_LABELS.csv,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_monthly_median,xgboost,,both,full,delta_brier,negative_is_better,-0.000293696109202,Mixed,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/EVIDENCE_LABELS.csv,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
