date,order_count,delivered_count,unresolved_or_cancelled_count,active_sellers,active_routes,orders_with_gmv,total_gmv,freight_value,status_approved,status_canceled,status_created,status_delivered,status_invoiced,status_processing,status_shipped,status_unavailable,orders_missing_gmv,gmv_join_coverage,order_top10,order_top5,gmv_top10,gmv_top5,both_top10,both_top5
2016-09-04,1,0,1,1,1,1,72.89,63.34,0,0,0,0,0,0,1,0,0,1.0,False,False,False,False,False,False
2016-09-05,1,0,1,1,1,1,59.5,15.56,0,1,0,0,0,0,0,0,0,1.0,False,False,False,False,False,False
2016-09-06,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-09-07,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-09-08,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-09-09,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-09-10,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-09-11,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-09-12,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-09-13,1,0,1,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,1,0.0,False,False,False,False,False,False
2016-09-14,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-09-15,1,1,0,1,1,1,134.97,8.49,0,0,0,1,0,0,0,0,0,1.0,False,False,False,False,False,False
2016-09-16,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-09-17,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-09-18,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-09-19,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-09-20,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-09-21,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-09-22,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-09-23,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-09-24,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-09-25,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-09-26,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-09-27,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-09-28,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-09-29,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-09-30,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-10-01,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-10-02,1,0,1,1,1,1,100.0,9.34,0,1,0,0,0,0,0,0,0,1.0,False,False,False,False,False,False
2016-10-03,8,7,1,7,6,8,463.48,131.66,0,1,0,7,0,0,0,0,0,1.0,False,False,False,False,False,False
2016-10-04,63,54,9,39,29,60,9940.960000000001,1354.52,0,5,0,54,3,0,1,0,3,0.9523809523809523,False,False,False,False,False,False
2016-10-05,47,35,12,32,28,42,8343.25,1302.69,0,2,0,35,2,1,4,3,5,0.8936170212765957,False,False,False,False,False,False
2016-10-06,51,41,10,40,27,49,7960.51,1170.72,0,3,0,41,5,0,0,2,2,0.9607843137254902,False,False,False,False,False,False
2016-10-07,46,38,8,36,22,45,7228.05,907.92,0,2,0,38,2,0,3,1,1,0.9782608695652174,False,False,False,False,False,False
2016-10-08,42,36,6,32,19,40,8441.85,941.52,0,3,0,36,2,0,0,1,2,0.9523809523809523,False,False,False,False,False,False
2016-10-09,26,20,6,24,20,26,3336.9900000000002,681.99,0,4,0,20,1,1,0,0,0,1.0,False,False,False,False,False,False
2016-10-10,39,34,5,31,27,37,3692.57,800.82,0,2,0,34,3,0,0,0,2,0.9487179487179487,False,False,False,False,False,False
2016-10-11,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-10-12,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-10-13,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-10-14,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-10-15,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-10-16,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-10-17,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-10-18,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-10-19,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-10-20,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-10-21,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-10-22,1,0,1,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,1,0.0,False,False,False,False,False,False
2016-10-23,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-10-24,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-10-25,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-10-26,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-10-27,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-10-28,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-10-29,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-10-30,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-10-31,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-11-01,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-11-02,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-11-03,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-11-04,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-11-05,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-11-06,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-11-07,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-11-08,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-11-09,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-11-10,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
2016-11-11,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False
