definition_a,definition_b,days_intersection,days_union,jaccard
order_top10,order_top10,78,78,1.0
order_top10,order_top5,39,78,0.5
order_top10,gmv_top10,66,90,0.7333333333333333
order_top10,gmv_top5,36,81,0.4444444444444444
order_top10,both_top10,66,78,0.8461538461538461
order_top10,both_top5,27,78,0.34615384615384615
order_top5,order_top10,39,78,0.5
order_top5,order_top5,39,39,1.0
order_top5,gmv_top10,37,80,0.4625
order_top5,gmv_top5,27,51,0.5294117647058824
order_top5,both_top10,37,68,0.5441176470588235
order_top5,both_top5,27,39,0.6923076923076923
gmv_top10,order_top10,66,90,0.7333333333333333
gmv_top10,order_top5,37,80,0.4625
gmv_top10,gmv_top10,78,78,1.0
gmv_top10,gmv_top5,39,78,0.5
gmv_top10,both_top10,66,78,0.8461538461538461
gmv_top10,both_top5,27,78,0.34615384615384615
gmv_top5,order_top10,36,81,0.4444444444444444
gmv_top5,order_top5,27,51,0.5294117647058824
gmv_top5,gmv_top10,39,78,0.5
gmv_top5,gmv_top5,39,39,1.0
gmv_top5,both_top10,36,69,0.5217391304347826
gmv_top5,both_top5,27,39,0.6923076923076923
both_top10,order_top10,66,78,0.8461538461538461
both_top10,order_top5,37,68,0.5441176470588235
both_top10,gmv_top10,66,78,0.8461538461538461
both_top10,gmv_top5,36,69,0.5217391304347826
both_top10,both_top10,66,66,1.0
both_top10,both_top5,27,66,0.4090909090909091
both_top5,order_top10,27,78,0.34615384615384615
both_top5,order_top5,27,39,0.6923076923076923
both_top5,gmv_top10,27,78,0.34615384615384615
both_top5,gmv_top5,27,39,0.6923076923076923
both_top5,both_top10,27,66,0.4090909090909091
both_top5,both_top5,27,27,1.0
