definition,cluster_id,start_date,end_date,duration_days,n_hrd_days
order_top10,1,2017-11-23,2017-12-01,9,9
order_top10,2,2017-12-04,2017-12-06,3,3
order_top10,3,2017-12-11,2017-12-11,1,1
order_top10,4,2018-01-08,2018-01-08,1,1
order_top10,5,2018-01-10,2018-01-11,2,2
order_top10,6,2018-01-15,2018-01-17,3,3
order_top10,7,2018-01-22,2018-01-22,1,1
order_top10,8,2018-02-05,2018-02-06,2,2
order_top10,9,2018-02-14,2018-02-15,2,2
order_top10,10,2018-02-20,2018-02-22,3,3
order_top10,11,2018-02-26,2018-03-02,5,5
order_top10,12,2018-03-05,2018-03-06,2,2
order_top10,13,2018-03-15,2018-03-15,1,1
order_top10,14,2018-03-19,2018-03-21,3,3
order_top10,15,2018-03-26,2018-03-26,1,1
order_top10,16,2018-04-02,2018-04-02,1,1
order_top10,17,2018-04-05,2018-04-05,1,1
order_top10,18,2018-04-11,2018-04-11,1,1
order_top10,19,2018-04-16,2018-04-19,4,4
order_top10,20,2018-04-23,2018-04-25,3,3
order_top10,21,2018-05-02,2018-05-04,3,3
order_top10,22,2018-05-07,2018-05-10,4,4
order_top10,23,2018-05-14,2018-05-16,3,3
order_top10,24,2018-06-11,2018-06-11,1,1
order_top10,25,2018-07-18,2018-07-18,1,1
order_top10,26,2018-07-23,2018-07-25,3,3
order_top10,27,2018-07-30,2018-08-03,5,5
order_top10,28,2018-08-05,2018-08-09,5,5
order_top10,29,2018-08-13,2018-08-16,4,4
order_top5,1,2017-11-24,2017-11-29,6,6
order_top5,2,2017-12-04,2017-12-04,1,1
order_top5,3,2018-01-08,2018-01-08,1,1
order_top5,4,2018-01-15,2018-01-16,2,2
order_top5,5,2018-01-22,2018-01-22,1,1
order_top5,6,2018-02-14,2018-02-14,1,1
order_top5,7,2018-02-26,2018-02-28,3,3
order_top5,8,2018-03-19,2018-03-20,2,2
order_top5,9,2018-04-19,2018-04-19,1,1
order_top5,10,2018-05-02,2018-05-03,2,2
order_top5,11,2018-05-07,2018-05-09,3,3
order_top5,12,2018-05-14,2018-05-16,3,3
order_top5,13,2018-06-11,2018-06-11,1,1
order_top5,14,2018-07-18,2018-07-18,1,1
order_top5,15,2018-07-23,2018-07-23,1,1
order_top5,16,2018-07-31,2018-08-03,4,4
order_top5,17,2018-08-06,2018-08-08,3,3
order_top5,18,2018-08-13,2018-08-14,2,2
order_top5,19,2018-08-16,2018-08-16,1,1
gmv_top10,1,2017-11-20,2017-11-20,1,1
gmv_top10,2,2017-11-23,2017-11-29,7,7
gmv_top10,3,2017-12-01,2017-12-01,1,1
gmv_top10,4,2017-12-04,2017-12-04,1,1
gmv_top10,5,2017-12-06,2017-12-06,1,1
gmv_top10,6,2018-01-08,2018-01-08,1,1
gmv_top10,7,2018-01-10,2018-01-11,2,2
gmv_top10,8,2018-01-15,2018-01-17,3,3
gmv_top10,9,2018-01-22,2018-01-22,1,1
gmv_top10,10,2018-02-05,2018-02-05,1,1
gmv_top10,11,2018-02-14,2018-02-14,1,1
gmv_top10,12,2018-02-20,2018-02-20,1,1
gmv_top10,13,2018-02-26,2018-03-01,4,4
gmv_top10,14,2018-03-05,2018-03-07,3,3
