definition,cluster_id,date,phase,phase_day,date_present_in_marketplace_table
order_top10,1,2017-11-22,pre_event,0,True
order_top10,1,2017-11-23,event,1,True
order_top10,1,2017-11-24,event,2,True
order_top10,1,2017-11-25,event,3,True
order_top10,1,2017-11-26,event,4,True
order_top10,1,2017-11-27,event,5,True
order_top10,1,2017-11-28,event,6,True
order_top10,1,2017-11-29,event,7,True
order_top10,1,2017-11-30,event,8,True
order_top10,1,2017-12-01,event,9,True
order_top10,1,2017-12-02,post_event_day_1,1,True
order_top10,1,2017-12-03,post_event_day_2,2,True
order_top10,1,2017-12-04,post_event_day_3,3,True
order_top10,2,2017-12-03,pre_event,0,True
order_top10,2,2017-12-04,event,1,True
order_top10,2,2017-12-05,event,2,True
order_top10,2,2017-12-06,event,3,True
order_top10,2,2017-12-07,post_event_day_1,1,True
order_top10,2,2017-12-08,post_event_day_2,2,True
order_top10,2,2017-12-09,post_event_day_3,3,True
order_top10,3,2017-12-10,pre_event,0,True
order_top10,3,2017-12-11,event,1,True
order_top10,3,2017-12-12,post_event_day_1,1,True
order_top10,3,2017-12-13,post_event_day_2,2,True
order_top10,3,2017-12-14,post_event_day_3,3,True
order_top10,4,2018-01-07,pre_event,0,True
order_top10,4,2018-01-08,event,1,True
order_top10,4,2018-01-09,post_event_day_1,1,True
order_top10,4,2018-01-10,post_event_day_2,2,True
order_top10,4,2018-01-11,post_event_day_3,3,True
order_top10,5,2018-01-09,pre_event,0,True
order_top10,5,2018-01-10,event,1,True
order_top10,5,2018-01-11,event,2,True
order_top10,5,2018-01-12,post_event_day_1,1,True
order_top10,5,2018-01-13,post_event_day_2,2,True
order_top10,5,2018-01-14,post_event_day_3,3,True
order_top10,6,2018-01-14,pre_event,0,True
order_top10,6,2018-01-15,event,1,True
order_top10,6,2018-01-16,event,2,True
order_top10,6,2018-01-17,event,3,True
order_top10,6,2018-01-18,post_event_day_1,1,True
order_top10,6,2018-01-19,post_event_day_2,2,True
order_top10,6,2018-01-20,post_event_day_3,3,True
order_top10,7,2018-01-21,pre_event,0,True
order_top10,7,2018-01-22,event,1,True
order_top10,7,2018-01-23,post_event_day_1,1,True
order_top10,7,2018-01-24,post_event_day_2,2,True
order_top10,7,2018-01-25,post_event_day_3,3,True
order_top10,8,2018-02-04,pre_event,0,True
order_top10,8,2018-02-05,event,1,True
order_top10,8,2018-02-06,event,2,True
order_top10,8,2018-02-07,post_event_day_1,1,True
order_top10,8,2018-02-08,post_event_day_2,2,True
order_top10,8,2018-02-09,post_event_day_3,3,True
order_top10,9,2018-02-13,pre_event,0,True
order_top10,9,2018-02-14,event,1,True
order_top10,9,2018-02-15,event,2,True
order_top10,9,2018-02-16,post_event_day_1,1,True
order_top10,9,2018-02-17,post_event_day_2,2,True
order_top10,9,2018-02-18,post_event_day_3,3,True
order_top10,10,2018-02-19,pre_event,0,True
order_top10,10,2018-02-20,event,1,True
order_top10,10,2018-02-21,event,2,True
order_top10,10,2018-02-22,event,3,True
order_top10,10,2018-02-23,post_event_day_1,1,True
order_top10,10,2018-02-24,post_event_day_2,2,True
order_top10,10,2018-02-25,post_event_day_3,3,True
order_top10,11,2018-02-25,pre_event,0,True
order_top10,11,2018-02-26,event,1,True
order_top10,11,2018-02-27,event,2,True
order_top10,11,2018-02-28,event,3,True
order_top10,11,2018-03-01,event,4,True
order_top10,11,2018-03-02,event,5,True
order_top10,11,2018-03-03,post_event_day_1,1,True
order_top10,11,2018-03-04,post_event_day_2,2,True
order_top10,11,2018-03-05,post_event_day_3,3,True
order_top10,12,2018-03-04,pre_event,0,True
order_top10,12,2018-03-05,event,1,True
order_top10,12,2018-03-06,event,2,True
order_top10,12,2018-03-07,post_event_day_1,1,True
order_top10,12,2018-03-08,post_event_day_2,2,True
order_top10,12,2018-03-09,post_event_day_3,3,True
order_top10,13,2018-03-14,pre_event,0,True
order_top10,13,2018-03-15,event,1,True
order_top10,13,2018-03-16,post_event_day_1,1,True
order_top10,13,2018-03-17,post_event_day_2,2,True
order_top10,13,2018-03-18,post_event_day_3,3,True
order_top10,14,2018-03-18,pre_event,0,True
order_top10,14,2018-03-19,event,1,True
order_top10,14,2018-03-20,event,2,True
order_top10,14,2018-03-21,event,3,True
order_top10,14,2018-03-22,post_event_day_1,1,True
order_top10,14,2018-03-23,post_event_day_2,2,True
order_top10,14,2018-03-24,post_event_day_3,3,True
order_top10,15,2018-03-25,pre_event,0,True
order_top10,15,2018-03-26,event,1,True
order_top10,15,2018-03-27,post_event_day_1,1,True
order_top10,15,2018-03-28,post_event_day_2,2,True
order_top10,15,2018-03-29,post_event_day_3,3,True
order_top10,16,2018-04-01,pre_event,0,True
order_top10,16,2018-04-02,event,1,True
order_top10,16,2018-04-03,post_event_day_1,1,True
order_top10,16,2018-04-04,post_event_day_2,2,True
order_top10,16,2018-04-05,post_event_day_3,3,True
order_top10,17,2018-04-04,pre_event,0,True
order_top10,17,2018-04-05,event,1,True
order_top10,17,2018-04-06,post_event_day_1,1,True
order_top10,17,2018-04-07,post_event_day_2,2,True
order_top10,17,2018-04-08,post_event_day_3,3,True
order_top10,18,2018-04-10,pre_event,0,True
order_top10,18,2018-04-11,event,1,True
order_top10,18,2018-04-12,post_event_day_1,1,True
order_top10,18,2018-04-13,post_event_day_2,2,True
order_top10,18,2018-04-14,post_event_day_3,3,True
order_top10,19,2018-04-15,pre_event,0,True
order_top10,19,2018-04-16,event,1,True
order_top10,19,2018-04-17,event,2,True
order_top10,19,2018-04-18,event,3,True
order_top10,19,2018-04-19,event,4,True
order_top10,19,2018-04-20,post_event_day_1,1,True
order_top10,19,2018-04-21,post_event_day_2,2,True
order_top10,19,2018-04-22,post_event_day_3,3,True
order_top10,20,2018-04-22,pre_event,0,True
order_top10,20,2018-04-23,event,1,True
order_top10,20,2018-04-24,event,2,True
order_top10,20,2018-04-25,event,3,True
order_top10,20,2018-04-26,post_event_day_1,1,True
order_top10,20,2018-04-27,post_event_day_2,2,True
order_top10,20,2018-04-28,post_event_day_3,3,True
order_top10,21,2018-05-01,pre_event,0,True
order_top10,21,2018-05-02,event,1,True
order_top10,21,2018-05-03,event,2,True
order_top10,21,2018-05-04,event,3,True
order_top10,21,2018-05-05,post_event_day_1,1,True
order_top10,21,2018-05-06,post_event_day_2,2,True
order_top10,21,2018-05-07,post_event_day_3,3,True
order_top10,22,2018-05-06,pre_event,0,True
order_top10,22,2018-05-07,event,1,True
order_top10,22,2018-05-08,event,2,True
order_top10,22,2018-05-09,event,3,True
order_top10,22,2018-05-10,event,4,True
order_top10,22,2018-05-11,post_event_day_1,1,True
order_top10,22,2018-05-12,post_event_day_2,2,True
order_top10,22,2018-05-13,post_event_day_3,3,True
order_top10,23,2018-05-13,pre_event,0,True
order_top10,23,2018-05-14,event,1,True
order_top10,23,2018-05-15,event,2,True
order_top10,23,2018-05-16,event,3,True
order_top10,23,2018-05-17,post_event_day_1,1,True
order_top10,23,2018-05-18,post_event_day_2,2,True
order_top10,23,2018-05-19,post_event_day_3,3,True
order_top10,24,2018-06-10,pre_event,0,True
order_top10,24,2018-06-11,event,1,True
order_top10,24,2018-06-12,post_event_day_1,1,True
order_top10,24,2018-06-13,post_event_day_2,2,True
order_top10,24,2018-06-14,post_event_day_3,3,True
order_top10,25,2018-07-17,pre_event,0,True
order_top10,25,2018-07-18,event,1,True
order_top10,25,2018-07-19,post_event_day_1,1,True
order_top10,25,2018-07-20,post_event_day_2,2,True
order_top10,25,2018-07-21,post_event_day_3,3,True
order_top10,26,2018-07-22,pre_event,0,True
order_top10,26,2018-07-23,event,1,True
order_top10,26,2018-07-24,event,2,True
order_top10,26,2018-07-25,event,3,True
order_top10,26,2018-07-26,post_event_day_1,1,True
order_top10,26,2018-07-27,post_event_day_2,2,True
order_top10,26,2018-07-28,post_event_day_3,3,True
order_top10,27,2018-07-29,pre_event,0,True
order_top10,27,2018-07-30,event,1,True
order_top10,27,2018-07-31,event,2,True
order_top10,27,2018-08-01,event,3,True
order_top10,27,2018-08-02,event,4,True
order_top10,27,2018-08-03,event,5,True
order_top10,27,2018-08-04,post_event_day_1,1,True
order_top10,27,2018-08-05,post_event_day_2,2,True
order_top10,27,2018-08-06,post_event_day_3,3,True
order_top10,28,2018-08-04,pre_event,0,True
order_top10,28,2018-08-05,event,1,True
order_top10,28,2018-08-06,event,2,True
order_top10,28,2018-08-07,event,3,True
order_top10,28,2018-08-08,event,4,True
order_top10,28,2018-08-09,event,5,True
order_top10,28,2018-08-10,post_event_day_1,1,True
order_top10,28,2018-08-11,post_event_day_2,2,True
order_top10,28,2018-08-12,post_event_day_3,3,True
order_top10,29,2018-08-12,pre_event,0,True
order_top10,29,2018-08-13,event,1,True
order_top10,29,2018-08-14,event,2,True
order_top10,29,2018-08-15,event,3,True
order_top10,29,2018-08-16,event,4,True
order_top10,29,2018-08-17,post_event_day_1,1,True
order_top10,29,2018-08-18,post_event_day_2,2,True
order_top10,29,2018-08-19,post_event_day_3,3,True
order_top5,1,2017-11-23,pre_event,0,True
order_top5,1,2017-11-24,event,1,True
order_top5,1,2017-11-25,event,2,True
order_top5,1,2017-11-26,event,3,True
order_top5,1,2017-11-27,event,4,True
order_top5,1,2017-11-28,event,5,True
order_top5,1,2017-11-29,event,6,True
order_top5,1,2017-11-30,post_event_day_1,1,True
order_top5,1,2017-12-01,post_event_day_2,2,True
order_top5,1,2017-12-02,post_event_day_3,3,True
order_top5,2,2017-12-03,pre_event,0,True
order_top5,2,2017-12-04,event,1,True
order_top5,2,2017-12-05,post_event_day_1,1,True
order_top5,2,2017-12-06,post_event_day_2,2,True
order_top5,2,2017-12-07,post_event_day_3,3,True
order_top5,3,2018-01-07,pre_event,0,True
order_top5,3,2018-01-08,event,1,True
order_top5,3,2018-01-09,post_event_day_1,1,True
order_top5,3,2018-01-10,post_event_day_2,2,True
order_top5,3,2018-01-11,post_event_day_3,3,True
order_top5,4,2018-01-14,pre_event,0,True
order_top5,4,2018-01-15,event,1,True
order_top5,4,2018-01-16,event,2,True
order_top5,4,2018-01-17,post_event_day_1,1,True
order_top5,4,2018-01-18,post_event_day_2,2,True
order_top5,4,2018-01-19,post_event_day_3,3,True
order_top5,5,2018-01-21,pre_event,0,True
order_top5,5,2018-01-22,event,1,True
order_top5,5,2018-01-23,post_event_day_1,1,True
order_top5,5,2018-01-24,post_event_day_2,2,True
order_top5,5,2018-01-25,post_event_day_3,3,True
order_top5,6,2018-02-13,pre_event,0,True
order_top5,6,2018-02-14,event,1,True
order_top5,6,2018-02-15,post_event_day_1,1,True
order_top5,6,2018-02-16,post_event_day_2,2,True
order_top5,6,2018-02-17,post_event_day_3,3,True
order_top5,7,2018-02-25,pre_event,0,True
order_top5,7,2018-02-26,event,1,True
order_top5,7,2018-02-27,event,2,True
order_top5,7,2018-02-28,event,3,True
order_top5,7,2018-03-01,post_event_day_1,1,True
order_top5,7,2018-03-02,post_event_day_2,2,True
order_top5,7,2018-03-03,post_event_day_3,3,True
order_top5,8,2018-03-18,pre_event,0,True
order_top5,8,2018-03-19,event,1,True
order_top5,8,2018-03-20,event,2,True
order_top5,8,2018-03-21,post_event_day_1,1,True
order_top5,8,2018-03-22,post_event_day_2,2,True
order_top5,8,2018-03-23,post_event_day_3,3,True
order_top5,9,2018-04-18,pre_event,0,True
order_top5,9,2018-04-19,event,1,True
order_top5,9,2018-04-20,post_event_day_1,1,True
order_top5,9,2018-04-21,post_event_day_2,2,True
order_top5,9,2018-04-22,post_event_day_3,3,True
order_top5,10,2018-05-01,pre_event,0,True
order_top5,10,2018-05-02,event,1,True
order_top5,10,2018-05-03,event,2,True
order_top5,10,2018-05-04,post_event_day_1,1,True
order_top5,10,2018-05-05,post_event_day_2,2,True
order_top5,10,2018-05-06,post_event_day_3,3,True
order_top5,11,2018-05-06,pre_event,0,True
order_top5,11,2018-05-07,event,1,True
order_top5,11,2018-05-08,event,2,True
order_top5,11,2018-05-09,event,3,True
order_top5,11,2018-05-10,post_event_day_1,1,True
order_top5,11,2018-05-11,post_event_day_2,2,True
order_top5,11,2018-05-12,post_event_day_3,3,True
order_top5,12,2018-05-13,pre_event,0,True
order_top5,12,2018-05-14,event,1,True
order_top5,12,2018-05-15,event,2,True
order_top5,12,2018-05-16,event,3,True
order_top5,12,2018-05-17,post_event_day_1,1,True
order_top5,12,2018-05-18,post_event_day_2,2,True
order_top5,12,2018-05-19,post_event_day_3,3,True
order_top5,13,2018-06-10,pre_event,0,True
order_top5,13,2018-06-11,event,1,True
order_top5,13,2018-06-12,post_event_day_1,1,True
order_top5,13,2018-06-13,post_event_day_2,2,True
order_top5,13,2018-06-14,post_event_day_3,3,True
order_top5,14,2018-07-17,pre_event,0,True
order_top5,14,2018-07-18,event,1,True
order_top5,14,2018-07-19,post_event_day_1,1,True
order_top5,14,2018-07-20,post_event_day_2,2,True
order_top5,14,2018-07-21,post_event_day_3,3,True
order_top5,15,2018-07-22,pre_event,0,True
order_top5,15,2018-07-23,event,1,True
order_top5,15,2018-07-24,post_event_day_1,1,True
order_top5,15,2018-07-25,post_event_day_2,2,True
order_top5,15,2018-07-26,post_event_day_3,3,True
order_top5,16,2018-07-30,pre_event,0,True
order_top5,16,2018-07-31,event,1,True
order_top5,16,2018-08-01,event,2,True
order_top5,16,2018-08-02,event,3,True
order_top5,16,2018-08-03,event,4,True
order_top5,16,2018-08-04,post_event_day_1,1,True
order_top5,16,2018-08-05,post_event_day_2,2,True
order_top5,16,2018-08-06,post_event_day_3,3,True
order_top5,17,2018-08-05,pre_event,0,True
order_top5,17,2018-08-06,event,1,True
order_top5,17,2018-08-07,event,2,True
order_top5,17,2018-08-08,event,3,True
order_top5,17,2018-08-09,post_event_day_1,1,True
order_top5,17,2018-08-10,post_event_day_2,2,True
order_top5,17,2018-08-11,post_event_day_3,3,True
order_top5,18,2018-08-12,pre_event,0,True
order_top5,18,2018-08-13,event,1,True
order_top5,18,2018-08-14,event,2,True
order_top5,18,2018-08-15,post_event_day_1,1,True
order_top5,18,2018-08-16,post_event_day_2,2,True
order_top5,18,2018-08-17,post_event_day_3,3,True
order_top5,19,2018-08-15,pre_event,0,True
order_top5,19,2018-08-16,event,1,True
order_top5,19,2018-08-17,post_event_day_1,1,True
order_top5,19,2018-08-18,post_event_day_2,2,True
order_top5,19,2018-08-19,post_event_day_3,3,True
gmv_top10,1,2017-11-19,pre_event,0,True
gmv_top10,1,2017-11-20,event,1,True
gmv_top10,1,2017-11-21,post_event_day_1,1,True
gmv_top10,1,2017-11-22,post_event_day_2,2,True
gmv_top10,1,2017-11-23,post_event_day_3,3,True
gmv_top10,2,2017-11-22,pre_event,0,True
gmv_top10,2,2017-11-23,event,1,True
gmv_top10,2,2017-11-24,event,2,True
gmv_top10,2,2017-11-25,event,3,True
gmv_top10,2,2017-11-26,event,4,True
gmv_top10,2,2017-11-27,event,5,True
gmv_top10,2,2017-11-28,event,6,True
gmv_top10,2,2017-11-29,event,7,True
gmv_top10,2,2017-11-30,post_event_day_1,1,True
gmv_top10,2,2017-12-01,post_event_day_2,2,True
gmv_top10,2,2017-12-02,post_event_day_3,3,True
gmv_top10,3,2017-11-30,pre_event,0,True
gmv_top10,3,2017-12-01,event,1,True
gmv_top10,3,2017-12-02,post_event_day_1,1,True
gmv_top10,3,2017-12-03,post_event_day_2,2,True
gmv_top10,3,2017-12-04,post_event_day_3,3,True
gmv_top10,4,2017-12-03,pre_event,0,True
gmv_top10,4,2017-12-04,event,1,True
gmv_top10,4,2017-12-05,post_event_day_1,1,True
