definition,granularity,n_hrd_days,n_event_clusters,n_orders,pct_all_placed_orders,active_entities,entity_id_nonmissing_rate,historical_hrd_clusters_available,entities_support_ge_1,pct_entities_support_ge_1,order_weighted_support_ge_1_rate,entities_support_ge_5,pct_entities_support_ge_5,order_weighted_support_ge_5_rate,entities_support_ge_10,pct_entities_support_ge_10,order_weighted_support_ge_10_rate,entities_support_ge_20,pct_entities_support_ge_20,order_weighted_support_ge_20_rate,entities_support_ge_50,pct_entities_support_ge_50,order_weighted_support_ge_50_rate
order_top10,seller_id,78,29,24460,0.24597500025140537,2037,0.9944399018806214,29,2037,1.0,0.9944399018806214,864,0.42415316642120765,0.9002452984464432,523,0.25675012272950415,0.8081766148814391,282,0.13843888070692195,0.675306623058054,88,0.043200785468826705,0.43977923139820113
order_top10,seller_x_customer_region,78,29,24460,0.24597500025140537,4338,0.9944399018806214,29,4338,1.0,0.9944399018806214,1035,0.23858921161825727,0.7647179067865904,503,0.11595205163669894,0.6235895339329518,232,0.053480866758875055,0.4722812755519215,61,0.014061779621945597,0.26569910057236307
order_top10,seller_x_customer_state,78,29,24460,0.24597500025140537,7755,0.9944399018806214,29,7755,1.0,0.9944399018806214,1076,0.13874919406834302,0.585159443990188,427,0.055061250805931654,0.4160670482420278,150,0.019342359767891684,0.2662714636140638,33,0.00425531914893617,0.12510220768601799
order_top10,seller_x_state_od,78,29,24460,0.24597500025140537,7755,0.9944399018806214,29,7755,1.0,0.9944399018806214,1076,0.13874919406834302,0.585159443990188,427,0.055061250805931654,0.4160670482420278,150,0.019342359767891684,0.2662714636140638,33,0.00425531914893617,0.12510220768601799
order_top10,region_od,78,29,24460,0.24597500025140537,21,0.9944399018806214,29,21,1.0,0.9944399018806214,20,0.9523809523809523,0.9942763695829926,19,0.9047619047619048,0.9939084219133278,18,0.8571428571428571,0.9934587080948487,13,0.6190476190476191,0.9856909239574816
order_top10,state_od,78,29,24460,0.24597500025140537,305,0.9944399018806214,29,305,1.0,0.9944399018806214,153,0.5016393442622951,0.9811529026982829,109,0.35737704918032787,0.9692559280457891,80,0.26229508196721313,0.9545380212591987,47,0.1540983606557377,0.9116516762060507
order_top10,zip2_od,78,29,24460,0.24597500025140537,3946,0.9944399018806214,29,3946,1.0,0.9944399018806214,1323,0.3352762290927522,0.7875715453802126,622,0.15762797769893563,0.5993867538838921,222,0.05625950329447542,0.3796811120196239,57,0.01444500760263558,0.17874080130825837
order_top5,seller_id,39,19,13687,0.13763940426986856,1748,0.9943742237159349,19,1748,1.0,0.9943742237159349,586,0.3352402745995423,0.8345145028128882,318,0.18192219679633867,0.7033681595674728,138,0.07894736842105263,0.5205669613501863,39,0.02231121281464531,0.31160955651347994
order_top5,seller_x_customer_region,39,19,13687,0.13763940426986856,3302,0.9943742237159349,19,3302,1.0,0.9943742237159349,626,0.18958207147183526,0.6770658288887266,283,0.08570563294972744,0.5147219989771316,106,0.03210175651120533,0.34156498867538543,27,0.00817686250757117,0.17841747643749542
order_top5,seller_x_customer_state,39,19,13687,0.13763940426986856,5424,0.9943742237159349,19,5424,1.0,0.9943742237159349,557,0.10269174041297935,0.473588076276759,204,0.03761061946902655,0.3102213779498795,56,0.01032448377581121,0.16475487689048002,12,0.0022123893805309734,0.06875136991305618
order_top5,seller_x_state_od,39,19,13687,0.13763940426986856,5424,0.9943742237159349,19,5424,1.0,0.9943742237159349,557,0.10269174041297935,0.473588076276759,204,0.03761061946902655,0.3102213779498795,56,0.01032448377581121,0.16475487689048002,12,0.0022123893805309734,0.06875136991305618
order_top5,region_od,39,19,13687,0.13763940426986856,21,0.9943742237159349,19,21,1.0,0.9943742237159349,20,0.9523809523809523,0.9941550376269452,18,0.8571428571428571,0.9931321692116607,15,0.7142857142857143,0.9896982538174911,12,0.5714285714285714,0.9834149192664572
order_top5,state_od,39,19,13687,0.13763940426986856,268,0.9943742237159349,19,268,1.0,0.9943742237159349,118,0.44029850746268656,0.9736246072915906,82,0.30597014925373134,0.9565280923504055,59,0.22014925373134328,0.9341711112734712,33,0.12313432835820895,0.8757214875429239
order_top5,zip2_od,39,19,13687,0.13763940426986856,3206,0.9943742237159349,19,3206,1.0,0.9943742237159349,781,0.243605739238927,0.6713669905749982,291,0.09076731129132876,0.43888361218674654,102,0.031815346225826574,0.2591510192153138,12,0.0037429819089207735,0.0636370278366333
gmv_top10,seller_id,78,35,24042,0.2417715027000935,2037,0.9948007653273438,35,2037,1.0,0.9948007653273438,875,0.42955326460481097,0.9001746942850013,526,0.25822287677957784,0.806089343648615,283,0.13892979872361316,0.6715331503202728,83,0.040746195385370644,0.4277098411113884
gmv_top10,seller_x_customer_region,78,35,24042,0.2417715027000935,4345,0.9948007653273438,35,4345,1.0,0.9948007653273438,1026,0.23613348676639817,0.7603776724066218,504,0.11599539700805524,0.6216204974627735,226,0.05201380897583429,0.4641044838199817,56,0.012888377445339471,0.25497046834705933
gmv_top10,seller_x_customer_state,78,35,24042,0.2417715027000935,7738,0.9948007653273438,35,7738,1.0,0.9948007653273438,1051,0.135823210131817,0.5789035853922303,419,0.054148358749030755,0.41219532484818233,148,0.019126389247867664,0.2648282172864154,35,0.004523132592401137,0.12993927293902338
gmv_top10,seller_x_state_od,78,35,24042,0.2417715027000935,7738,0.9948007653273438,35,7738,1.0,0.9948007653273438,1051,0.135823210131817,0.5789035853922303,419,0.054148358749030755,0.41219532484818233,148,0.019126389247867664,0.2648282172864154,35,0.004523132592401137,0.12993927293902338
gmv_top10,region_od,78,35,24042,0.2417715027000935,21,0.9948007653273438,35,21,1.0,0.9948007653273438,20,0.9523809523809523,0.9946343898178188,19,0.9047619047619048,0.9943016387987689,18,0.8571428571428571,0.9938025122701938,13,0.6190476190476191,0.9858580816903751
gmv_top10,state_od,78,35,24042,0.2417715027000935,304,0.9948007653273438,35,304,1.0,0.9948007653273438,155,0.5098684210526315,0.981657100074869,110,0.3618421052631579,0.9694285001247817,80,0.2631578947368421,0.9539139838615756,45,0.14802631578947367,0.9072872473171949
gmv_top10,zip2_od,78,35,24042,0.2417715027000935,3934,0.9948007653273438,35,3934,1.0,0.9948007653273438,1301,0.33070665988815456,0.7837118376175027,621,0.15785460091509915,0.5989518342899925,222,0.05643111337061515,0.3792113800848515,53,0.013472292831723437,0.17053489726312288
gmv_top5,seller_id,39,23,13276,0.13350630021821985,1717,0.9946520036155468,23,1717,1.0,0.9946520036155468,590,0.34362259755387303,0.8363211810786382,313,0.1822947000582411,0.7005122024706237,137,0.07979033197437391,0.5205634227176861,38,0.0221316249271986,0.3110876770111479
