target,conditioning,age_days,denominator_orders,available_by_age_orders,unconditional_cumulative_availability,eventual_observation_plateau
final_breach,all_placed_orders,0,99441,0,0.0,0.9701833247855512
final_breach,all_placed_orders,3,99441,4753,0.04779718627125632,0.9701833247855512
final_breach,all_placed_orders,7,99441,26046,0.26192415603222013,0.9701833247855512
final_breach,all_placed_orders,14,99441,66261,0.6663348115968263,0.9701833247855512
final_breach,all_placed_orders,21,99441,83974,0.8444605343872246,0.9701833247855512
final_breach,all_placed_orders,30,99441,91923,0.9243973813618125,0.9701833247855512
final_breach,all_placed_orders,45,99441,95384,0.959201938838105,0.9701833247855512
final_breach,all_placed_orders,60,99441,96170,0.9671061232288493,0.9701833247855512
final_breach,all_placed_orders,90,99441,96399,0.9694089962892569,0.9701833247855512
positive_late_days,all_placed_orders,0,99441,0,0.0,0.9701833247855512
positive_late_days,all_placed_orders,3,99441,4753,0.04779718627125632,0.9701833247855512
positive_late_days,all_placed_orders,7,99441,26046,0.26192415603222013,0.9701833247855512
positive_late_days,all_placed_orders,14,99441,66261,0.6663348115968263,0.9701833247855512
positive_late_days,all_placed_orders,21,99441,83974,0.8444605343872246,0.9701833247855512
positive_late_days,all_placed_orders,30,99441,91923,0.9243973813618125,0.9701833247855512
positive_late_days,all_placed_orders,45,99441,95384,0.959201938838105,0.9701833247855512
positive_late_days,all_placed_orders,60,99441,96170,0.9671061232288493,0.9701833247855512
positive_late_days,all_placed_orders,90,99441,96399,0.9694089962892569,0.9701833247855512
handling,all_placed_orders,0,99441,0,0.0,0.9819289830150542
handling,all_placed_orders,3,99441,59916,0.6025281322593297,0.9819289830150542
handling,all_placed_orders,7,99441,89533,0.9003630293339769,0.9819289830150542
handling,all_placed_orders,14,99441,95837,0.9637574038877325,0.9819289830150542
handling,all_placed_orders,21,99441,97049,0.9759455355436892,0.9819289830150542
handling,all_placed_orders,30,99441,97448,0.9799579650244868,0.9819289830150542
handling,all_placed_orders,45,99441,97617,0.9816574652306392,0.9819289830150542
handling,all_placed_orders,60,99441,97638,0.9818686457296286,0.9819289830150542
handling,all_placed_orders,90,99441,97641,0.9818988143723414,0.9819289830150542
transit,all_placed_orders,0,99441,0,0.0,0.9701732685713137
transit,all_placed_orders,3,99441,4751,0.04777707384278115,0.9701732685713137
transit,all_placed_orders,7,99441,26039,0.261853762532557,0.9701732685713137
transit,all_placed_orders,14,99441,66257,0.666294586739876,0.9701732685713137
transit,all_placed_orders,21,99441,83973,0.844450478172987,0.9701732685713137
transit,all_placed_orders,30,99441,91923,0.9243973813618125,0.9701732685713137
transit,all_placed_orders,45,99441,95384,0.959201938838105,0.9701732685713137
transit,all_placed_orders,60,99441,96169,0.9670960670146117,0.9701732685713137
transit,all_placed_orders,90,99441,96398,0.9693989400750194,0.9701732685713137
