task,family,comparison,probability_variant,quantile,n_months,median_delta_log_loss,median_delta_brier,months_log_loss_improved,months_brier_improved,months_both_improved,median_pinball_skill,months_nonnegative_skill,high_support_guard,calibration_guard,score_not_metadata_only_guard,coverage_guard,evidence_status,evidence_reason,source_file
breach,logistic_l2,M1-M0,,,6,-0.00267638014736,-0.000573686504362,3,3,3,,,,False,,,,baseline_or_secondary_comparison_not_assigned_a_profile_block_label,ORDER_BREACH_PAIRED_DIFFERENCES.csv
breach,logistic_l2,M2-M1,,,6,-0.00362976512882,-0.000409649138751,6,6,6,,,True,True,True,,Supported,all_frozen_breach_rules_passed,ORDER_BREACH_PAIRED_DIFFERENCES.csv
breach,logistic_l2,M3-M1,,,6,-0.00934112747353,-0.000967202240254,3,3,3,,,True,True,True,,Mixed,proper_score_gain_concentrated_in_fewer_than_four_months,ORDER_BREACH_PAIRED_DIFFERENCES.csv
breach,logistic_l2,M4-M1,,,6,-0.0118082057867,-0.00124549078367,4,4,4,,,True,True,True,,Supported,all_frozen_breach_rules_passed,ORDER_BREACH_PAIRED_DIFFERENCES.csv
breach,logistic_l2,M4-M2,,,6,-0.0084167786159,-0.000891145477407,3,3,3,,,,False,,,,baseline_or_secondary_comparison_not_assigned_a_profile_block_label,ORDER_BREACH_PAIRED_DIFFERENCES.csv
breach,logistic_l2,M4-M3,,,6,-0.00404197984118,-0.000673188718625,6,6,6,,,,False,,,,baseline_or_secondary_comparison_not_assigned_a_profile_block_label,ORDER_BREACH_PAIRED_DIFFERENCES.csv
breach,logistic_l2,M4E-M4,,,6,0.000430091272584,0.000140450468282,1,2,1,,,,False,,,,baseline_or_secondary_comparison_not_assigned_a_profile_block_label,ORDER_BREACH_PAIRED_DIFFERENCES.csv
breach,logistic_l2,M5-M4,,,6,0.00133914624624,0.000176576347788,2,2,2,,,,False,,,,baseline_or_secondary_comparison_not_assigned_a_profile_block_label,ORDER_BREACH_PAIRED_DIFFERENCES.csv
breach,xgboost,M1-M0,,,6,-0.000880446430516,-0.000122820343423,4,4,4,,,,False,,,,baseline_or_secondary_comparison_not_assigned_a_profile_block_label,ORDER_BREACH_PAIRED_DIFFERENCES.csv
breach,xgboost,M2-M1,,,6,-0.000140511705397,-1.21099138891e-05,3,3,3,,,True,True,True,,Mixed,proper_score_gain_concentrated_in_fewer_than_four_months,ORDER_BREACH_PAIRED_DIFFERENCES.csv
