analysis,period,cohort,family,model_id,probability_type,comparison,quantile,n_orders,metric,estimate,interpretation,terminal_estimate,later_pooled_estimate,later_pooled_n_orders
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M0,raw,,,12507,log_loss,0.198633474128,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M0,raw,,,12507,brier,0.0464584601625,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M0,raw,,,12507,average_precision,0.141620803612,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M0,raw,,,12507,roc_auc,0.725074369304,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M0,raw,,,12507,wace,0.0495432374366,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M0,raw,,,12507,calibration_intercept,26.0995340962,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M0,raw,,,12507,calibration_slope,12.1493106547,terminal_stress_not_model_selection,,,
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M0,raw,terminal_minus_later_pooled,,12507,terminal_minus_later_calibration_intercept,32.1368840028,terminal_minus_january_june_pooled_calibration_shift,26.0995340962,-6.03734990662,40270
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M0,raw,terminal_minus_later_pooled,,12507,terminal_minus_later_calibration_slope,13.5049617147,terminal_minus_january_june_pooled_calibration_shift,12.1493106547,-1.35565106003,40270
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M0,raw,terminal_minus_later_pooled,,12507,terminal_minus_later_wace,-0.0051523565669,terminal_minus_january_june_pooled_calibration_shift,0.0495432374366,0.0546955940035,40270
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M0,calibrated,,,12507,log_loss,0.198633474128,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M0,calibrated,,,12507,brier,0.0464584601625,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M0,calibrated,,,12507,average_precision,0.141620803612,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M0,calibrated,,,12507,roc_auc,0.725074369304,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M0,calibrated,,,12507,wace,0.0495432374366,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M0,calibrated,,,12507,calibration_intercept,26.0995340962,terminal_stress_not_model_selection,,,
