period,cohort,family,model_id,quantile,n_orders,empirical_coverage,coverage_error,median_prediction,mean_prediction,comparison,coverage_not_materially_worse,coverage_materially_worse,support_ge20_gain_present,gain_only_low_support,cohort_month
later,2018-01,linear_quantile,Q1,0.5,403,0.461538461538,-0.0384615384615,6.63280174383,6.48991857397,Q1-unconditional,False,True,False,True,2018-01
later,2018-01,linear_quantile,Q2,0.5,403,0.461538461538,-0.0384615384615,6.56717230457,6.46622687834,Q2-Q1,True,False,False,True,2018-01
later,2018-01,linear_quantile,Q3,0.5,403,0.48635235732,-0.0136476426799,6.92447603331,6.81249690629,Q3-Q1,True,False,True,False,2018-01
later,2018-01,linear_quantile,Q4,0.5,403,0.476426799007,-0.0235732009926,6.67173971377,6.61016890947,Q4-Q1,True,False,True,False,2018-01
later,2018-01,xgboost_quantile,Q1,0.5,403,0.409429280397,-0.090570719603,5.57575416565,5.60477887549,Q1-unconditional,False,True,False,True,2018-01
later,2018-01,xgboost_quantile,Q2,0.5,403,0.401985111663,-0.0980148883375,5.50890731812,5.52508739561,Q2-Q1,True,False,False,True,2018-01
later,2018-01,xgboost_quantile,Q3,0.5,403,0.414392059553,-0.0856079404467,5.71145868301,5.68355872672,Q3-Q1,True,False,False,True,2018-01
later,2018-01,xgboost_quantile,Q4,0.5,403,0.416873449132,-0.0831265508685,5.62440919876,5.61267958445,Q4-Q1,True,False,False,True,2018-01
later,2018-01,linear_quantile,Q1,0.9,403,0.890818858561,-0.00918114143921,25.0039324433,24.7131384234,Q1-unconditional,False,True,False,True,2018-01
later,2018-01,linear_quantile,Q2,0.9,403,0.895781637717,-0.00421836228288,25.1026142108,24.9328019056,Q2-Q1,True,False,False,True,2018-01
later,2018-01,linear_quantile,Q3,0.9,403,0.893300248139,-0.00669975186104,25.4743154427,25.1502206728,Q3-Q1,True,False,False,True,2018-01
later,2018-01,linear_quantile,Q4,0.9,403,0.898263027295,-0.00173697270471,25.4139465761,25.1848142457,Q4-Q1,True,False,False,True,2018-01
later,2018-01,xgboost_quantile,Q1,0.9,403,0.893300248139,-0.00669975186104,24.1136856079,24.5649972163,Q1-unconditional,False,True,False,True,2018-01
later,2018-01,xgboost_quantile,Q2,0.9,403,0.880893300248,-0.0191066997519,23.6696414948,23.9718611436,Q2-Q1,True,False,True,False,2018-01
later,2018-01,xgboost_quantile,Q3,0.9,403,0.863523573201,-0.036476426799,22.0421237946,22.5626063832,Q3-Q1,True,False,True,False,2018-01
later,2018-01,xgboost_quantile,Q4,0.9,403,0.875930521092,-0.0240694789082,22.3099937439,23.4736605613,Q4-Q1,True,False,True,False,2018-01
later,2018-02,linear_quantile,Q1,0.5,926,0.413606911447,-0.0863930885529,6.55734373117,6.48327638035,Q1-unconditional,False,True,False,True,2018-02
later,2018-02,linear_quantile,Q2,0.5,926,0.414686825054,-0.085313174946,6.57044509632,6.51316620053,Q2-Q1,True,False,False,True,2018-02
