variant,model_id,outcome,contrast,contrast_id,contrast_family,high_setting,low_setting,estimate,standard_error,ci_lower,ci_upper,ci_method,continuous_variable,low_value,high_value,reference_value,error_group,reference_error_group,standardization_population,n_standardization,support_rule,support_lower,support_upper,support_n,available,blocker
primary,A,low_review_2,model_a_full_sample_p75_minus_p25,model_a_full_sample_p75_minus_p25,absolute_speed,"{""actual_delivery_days"": 16.0}","{""actual_delivery_days"": 7.0}",0.0585253818591,0.0016480156367,0.0552953305652,0.0617554331529,HC1 delta-Wald,actual_delivery_days,7,16,,,,primary,95824,full-sample empirical p25/p75,3,29,95824,True,
primary,B,low_review_2,error_group_rd::very early: <= -14 days,error_group_rd::very early: <= -14 days,error_group_vs_on_date,"{""actual_delivery_days"": 9.0, ""promise_error_group_label"": ""very early: <= -14 days""}","{""actual_delivery_days"": 9.0, ""promise_error_group_label"": ""on promised date""}",-0.00195365742967,0.00730536300615,-0.0162719058157,0.0123645909564,HC1 delta-Wald,actual_delivery_days,9,9,9,very early: <= -14 days,on promised date,primary,95824,intersection of group-specific p05-p95; pooled median inside intersection,5,19,36216,True,
primary,B,low_review_2,error_group_rd::early: -13 to -7 days,error_group_rd::early: -13 to -7 days,error_group_vs_on_date,"{""actual_delivery_days"": 11.0, ""promise_error_group_label"": ""early: -13 to -7 days""}","{""actual_delivery_days"": 11.0, ""promise_error_group_label"": ""on promised date""}",-0.00594683489584,0.00770312593369,-0.0210446842942,0.00915101450257,HC1 delta-Wald,actual_delivery_days,11,11,11,early: -13 to -7 days,on promised date,primary,95824,intersection of group-specific p05-p95; pooled median inside intersection,5,22,27713,True,
primary,B,low_review_2,error_group_rd::slightly early: -6 to -1 days,error_group_rd::slightly early: -6 to -1 days,error_group_vs_on_date,"{""actual_delivery_days"": 15.0, ""promise_error_group_label"": ""slightly early: -6 to -1 days""}","{""actual_delivery_days"": 15.0, ""promise_error_group_label"": ""on promised date""}",-0.000623156239567,0.00876554543371,-0.0178033095945,0.0165569971153,HC1 delta-Wald,actual_delivery_days,15,15,15,slightly early: -6 to -1 days,on promised date,primary,95824,intersection of group-specific p05-p95; pooled median inside intersection,5,28,11273,True,
primary,B,low_review_2,error_group_rd::on promised date,error_group_rd::on promised date,error_group_vs_on_date,"{""actual_delivery_days"": 20.0, ""promise_error_group_label"": ""on promised date""}","{""actual_delivery_days"": 20.0, ""promise_error_group_label"": ""on promised date""}",0,0,0,0,HC1 delta-Wald,actual_delivery_days,20,20,20,on promised date,on promised date,primary,95824,intersection of group-specific p05-p95; pooled median inside intersection,5,33,1178,True,
primary,B,low_review_2,error_group_rd::1 day late,error_group_rd::1 day late,error_group_vs_on_date,"{""actual_delivery_days"": 22.0, ""promise_error_group_label"": ""1 day late""}","{""actual_delivery_days"": 22.0, ""promise_error_group_label"": ""on promised date""}",0.0595161644876,0.0168571727464,0.0264767130235,0.0925556159517,HC1 delta-Wald,actual_delivery_days,22,22,22,1 day late,on promised date,primary,95824,intersection of group-specific p05-p95; pooled median inside intersection,7,33,1816,True,
primary,B,low_review_2,error_group_rd::2-3 days late,error_group_rd::2-3 days late,error_group_vs_on_date,"{""actual_delivery_days"": 23.0, ""promise_error_group_label"": ""2-3 days late""}","{""actual_delivery_days"": 23.0, ""promise_error_group_label"": ""on promised date""}",0.27535751023,0.018443326308,0.239209254911,0.311505765549,HC1 delta-Wald,actual_delivery_days,23,23,23,2-3 days late,on promised date,primary,95824,intersection of group-specific p05-p95; pooled median inside intersection,10,33,1864,True,
primary,B,low_review_2,error_group_rd::4-7 days late,error_group_rd::4-7 days late,error_group_vs_on_date,"{""actual_delivery_days"": 25.0, ""promise_error_group_label"": ""4-7 days late""}","{""actual_delivery_days"": 25.0, ""promise_error_group_label"": ""on promised date""}",0.515754593419,0.0157977431235,0.48479158586,0.546717600978,HC1 delta-Wald,actual_delivery_days,25,25,25,4-7 days late,on promised date,primary,95824,intersection of group-specific p05-p95; pooled median inside intersection,14,33,2115,True,
primary,B,low_review_2,error_group_rd::>=8 days late,error_group_rd::>=8 days late,error_group_vs_on_date,"{""actual_delivery_days"": 30.0, ""promise_error_group_label"": "">=8 days late""}","{""actual_delivery_days"": 30.0, ""promise_error_group_label"": ""on promised date""}",0.609841261952,0.0162936252634,0.577906343258,0.641776180646,HC1 delta-Wald,actual_delivery_days,30,30,30,>=8 days late,on promised date,primary,95824,intersection of group-specific p05-p95; pooled median inside intersection,26,33,800,True,
primary,C,low_review_2,error_group_rd::very early: <= -14 days,error_group_rd::very early: <= -14 days,error_group_vs_on_date,"{""promise_error_group_label"": ""very early: <= -14 days"", ""promised_lead_days"": 26.0}","{""promise_error_group_label"": ""on promised date"", ""promised_lead_days"": 26.0}",-0.0607255135404,0.0107520480874,-0.0817991405517,-0.0396518865292,HC1 delta-Wald,promised_lead_days,26,26,26,very early: <= -14 days,on promised date,primary,95824,intersection of group-specific p05-p95; pooled median inside intersection,19,33,31188,True,
