variant,model_id,outcome,estimand_id,estimand_type,continuous_variable,continuous_value,error_group,reference_error_group,reference_estimate,standardization_population,n_standardization,month_levels,estimate,standard_error,ci_lower,ci_upper,ci_method,support_rule,support_lower,support_upper,support_n
primary,A,low_review_2,duration_curve_000,duration_curve,actual_delivery_days,3,,,,primary,95824,21,0.0583914317662,0.00130392659638,0.0558357825989,0.0609470809336,HC1 delta-Wald,inclusive integer days from ceil(p5) to floor(p95),3,29,87725
primary,A,low_review_2,duration_curve_001,duration_curve,actual_delivery_days,4,,,,primary,95824,21,0.0621665675651,0.00125844009054,0.0597000703109,0.0646330648192,HC1 delta-Wald,inclusive integer days from ceil(p5) to floor(p95),3,29,87725
primary,A,low_review_2,duration_curve_002,duration_curve,actual_delivery_days,5,,,,primary,95824,21,0.0661867273004,0.00120902866589,0.063817074659,0.0685563799419,HC1 delta-Wald,inclusive integer days from ceil(p5) to floor(p95),3,29,87725
primary,A,low_review_2,duration_curve_003,duration_curve,actual_delivery_days,6,,,,primary,95824,21,0.0704713657972,0.00115774221762,0.0682022327473,0.0727404988471,HC1 delta-Wald,inclusive integer days from ceil(p5) to floor(p95),3,29,87725
primary,A,low_review_2,duration_curve_004,duration_curve,actual_delivery_days,7,,,,primary,95824,21,0.0750416907434,0.00110752697223,0.0728709777659,0.0772124037208,HC1 delta-Wald,inclusive integer days from ceil(p5) to floor(p95),3,29,87725
primary,A,low_review_2,duration_curve_005,duration_curve,actual_delivery_days,8,,,,primary,95824,21,0.0799207951771,0.00106245043602,0.0778384305872,0.0820031597671,HC1 delta-Wald,inclusive integer days from ceil(p5) to floor(p95),3,29,87725
primary,A,low_review_2,duration_curve_006,duration_curve,actual_delivery_days,9,,,,primary,95824,21,0.0851337925474,0.00102782205462,0.0831192983378,0.0871482867569,HC1 delta-Wald,inclusive integer days from ceil(p5) to floor(p95),3,29,87725
primary,A,low_review_2,duration_curve_007,duration_curve,actual_delivery_days,10,,,,primary,95824,21,0.0907079519916,0.00100999557202,0.0887283970459,0.0926875069373,HC1 delta-Wald,inclusive integer days from ceil(p5) to floor(p95),3,29,87725
primary,A,low_review_2,duration_curve_008,duration_curve,actual_delivery_days,11,,,,primary,95824,21,0.0966728306233,0.00101560004024,0.0946822911217,0.0986633701248,HC1 delta-Wald,inclusive integer days from ceil(p5) to floor(p95),3,29,87725
primary,A,low_review_2,duration_curve_009,duration_curve,actual_delivery_days,12,,,,primary,95824,21,0.103060398562,0.00105019035073,0.101002063297,0.105118733826,HC1 delta-Wald,inclusive integer days from ceil(p5) to floor(p95),3,29,87725
primary,A,low_review_2,duration_curve_010,duration_curve,actual_delivery_days,13,,,,primary,95824,21,0.109905151147,0.00111687032732,0.10771612553,0.112094176764,HC1 delta-Wald,inclusive integer days from ceil(p5) to floor(p95),3,29,87725
primary,A,low_review_2,duration_curve_011,duration_curve,actual_delivery_days,14,,,,primary,95824,21,0.117244201212,0.00121573633951,0.114861401772,0.119627000652,HC1 delta-Wald,inclusive integer days from ceil(p5) to floor(p95),3,29,87725
primary,A,low_review_2,duration_curve_012,duration_curve,actual_delivery_days,15,,,,primary,95824,21,0.125117342436,0.00134442196101,0.122482323812,0.127752361059,HC1 delta-Wald,inclusive integer days from ceil(p5) to floor(p95),3,29,87725
primary,A,low_review_2,duration_curve_013,duration_curve,actual_delivery_days,16,,,,primary,95824,21,0.133567072602,0.0014991871046,0.130628719871,0.136505425334,HC1 delta-Wald,inclusive integer days from ceil(p5) to floor(p95),3,29,87725
primary,A,low_review_2,duration_curve_014,duration_curve,actual_delivery_days,17,,,,primary,95824,21,0.142638563106,0.0016758571865,0.139353943377,0.145923182835,HC1 delta-Wald,inclusive integer days from ceil(p5) to floor(p95),3,29,87725
primary,A,low_review_2,duration_curve_015,duration_curve,actual_delivery_days,18,,,,primary,95824,21,0.152379558223,0.00187034526027,0.148713748875,0.156045367572,HC1 delta-Wald,inclusive integer days from ceil(p5) to floor(p95),3,29,87725
primary,A,low_review_2,duration_curve_016,duration_curve,actual_delivery_days,19,,,,primary,95824,21,0.162840184626,0.00207884099063,0.158765731154,0.166914638097,HC1 delta-Wald,inclusive integer days from ceil(p5) to floor(p95),3,29,87725
primary,A,low_review_2,duration_curve_017,duration_curve,actual_delivery_days,20,,,,primary,95824,21,0.174072648428,0.00229783529179,0.169568974014,0.178576322843,HC1 delta-Wald,inclusive integer days from ceil(p5) to floor(p95),3,29,87725
primary,A,low_review_2,duration_curve_018,duration_curve,actual_delivery_days,21,,,,primary,95824,21,0.186130793948,0.00252410489345,0.181183639264,0.191077948633,HC1 delta-Wald,inclusive integer days from ceil(p5) to floor(p95),3,29,87725
primary,A,low_review_2,duration_curve_019,duration_curve,actual_delivery_days,22,,,,primary,95824,21,0.199069495587,0.00275472485354,0.193670334086,0.204468657087,HC1 delta-Wald,inclusive integer days from ceil(p5) to floor(p95),3,29,87725
primary,A,low_review_2,duration_curve_020,duration_curve,actual_delivery_days,23,,,,primary,95824,21,0.212943852258,0.00298714268855,0.207089160172,0.218798544344,HC1 delta-Wald,inclusive integer days from ceil(p5) to floor(p95),3,29,87725
primary,A,low_review_2,duration_curve_021,duration_curve,actual_delivery_days,24,,,,primary,95824,21,0.227808153145,0.00321933138782,0.221498379571,0.234117926719,HC1 delta-Wald,inclusive integer days from ceil(p5) to floor(p95),3,29,87725
primary,A,low_review_2,duration_curve_022,duration_curve,actual_delivery_days,25,,,,primary,95824,21,0.243714584983,0.00345002994985,0.236952650536,0.250476519431,HC1 delta-Wald,inclusive integer days from ceil(p5) to floor(p95),3,29,87725
primary,A,low_review_2,duration_curve_023,duration_curve,actual_delivery_days,26,,,,primary,95824,21,0.260711655489,0.00367907099532,0.253500808842,0.267922502137,HC1 delta-Wald,inclusive integer days from ceil(p5) to floor(p95),3,29,87725
primary,A,low_review_2,duration_curve_024,duration_curve,actual_delivery_days,27,,,,primary,95824,21,0.278842315931,0.00390777906567,0.271183209702,0.286501422159,HC1 delta-Wald,inclusive integer days from ceil(p5) to floor(p95),3,29,87725
primary,A,low_review_2,duration_curve_025,duration_curve,actual_delivery_days,28,,,,primary,95824,21,0.298141779328,0.00413939511734,0.29002871398,0.306254844675,HC1 delta-Wald,inclusive integer days from ceil(p5) to floor(p95),3,29,87725
primary,A,low_review_2,duration_curve_026,duration_curve,actual_delivery_days,29,,,,primary,95824,21,0.318635050284,0.00437943979862,0.310051506006,0.327218594562,HC1 delta-Wald,inclusive integer days from ceil(p5) to floor(p95),3,29,87725
primary,A,low_review_2,duration_p10,duration_percentile,actual_delivery_days,4,,,,primary,95824,21,0.0621665675651,0.00125844009054,0.0597000703109,0.0646330648192,HC1 delta-Wald,full-sample empirical percentile,3,29,95824
primary,A,low_review_2,duration_p25,duration_percentile,actual_delivery_days,7,,,,primary,95824,21,0.0750416907434,0.00110752697223,0.0728709777659,0.0772124037208,HC1 delta-Wald,full-sample empirical percentile,3,29,95824
primary,A,low_review_2,duration_p50,duration_percentile,actual_delivery_days,10,,,,primary,95824,21,0.0907079519916,0.00100999557202,0.0887283970459,0.0926875069373,HC1 delta-Wald,full-sample empirical percentile,3,29,95824
primary,A,low_review_2,duration_p75,duration_percentile,actual_delivery_days,16,,,,primary,95824,21,0.133567072602,0.0014991871046,0.130628719871,0.136505425334,HC1 delta-Wald,full-sample empirical percentile,3,29,95824
primary,A,low_review_2,duration_p90,duration_percentile,actual_delivery_days,23,,,,primary,95824,21,0.212943852258,0.00298714268855,0.207089160172,0.218798544344,HC1 delta-Wald,full-sample empirical percentile,3,29,95824
primary,B,low_review_2,error_group_probability::very early: <= -14 days,supported_error_group_probability,actual_delivery_days,9,very early: <= -14 days,on promised date,0.0888471761337,primary,95824,21,0.0868935187041,0.00141666363113,0.0841169090088,0.0896701283993,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,5,19,36216
primary,B,low_review_2,error_group_probability::early: -13 to -7 days,supported_error_group_probability,actual_delivery_days,11,early: -13 to -7 days,on promised date,0.0950771117796,primary,95824,21,0.0891302768838,0.00157179281614,0.086049619573,0.0922109341946,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,5,22,27713
primary,B,low_review_2,error_group_probability::slightly early: -6 to -1 days,supported_error_group_probability,actual_delivery_days,15,slightly early: -6 to -1 days,on promised date,0.108309012807,primary,95824,21,0.107685856568,0.00290623569444,0.101989739276,0.113381973859,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,5,28,11273
primary,B,low_review_2,error_group_probability::on promised date,supported_error_group_probability,actual_delivery_days,20,on promised date,on promised date,0.125948392832,primary,95824,21,0.125948392832,0.00945772954544,0.107411583547,0.144485202116,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,5,33,1178
primary,B,low_review_2,error_group_probability::1 day late,supported_error_group_probability,actual_delivery_days,22,1 day late,on promised date,0.133202131593,primary,95824,21,0.192718296081,0.013737135498,0.165794005254,0.219642586908,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,7,33,1816
primary,B,low_review_2,error_group_probability::2-3 days late,supported_error_group_probability,actual_delivery_days,23,2-3 days late,on promised date,0.136843901359,primary,95824,21,0.412201411589,0.0155377607789,0.381747960062,0.442654863116,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,10,33,1864
primary,B,low_review_2,error_group_probability::4-7 days late,supported_error_group_probability,actual_delivery_days,25,4-7 days late,on promised date,0.144117895393,primary,95824,21,0.659872488812,0.0118644525643,0.63661858909,0.683126388535,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,14,33,2115
primary,B,low_review_2,error_group_probability::>=8 days late,supported_error_group_probability,actual_delivery_days,30,>=8 days late,on promised date,0.161840407198,primary,95824,21,0.771681669149,0.0109215036781,0.750275915283,0.793087423016,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,26,33,800
primary,C,low_review_2,error_group_probability::very early: <= -14 days,supported_error_group_probability,promised_lead_days,26,very early: <= -14 days,on promised date,0.144059573774,primary,95824,21,0.0833340602331,0.0015702915639,0.0802563453226,0.0864117751435,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,19,33,31188
primary,C,low_review_2,error_group_probability::early: -13 to -7 days,supported_error_group_probability,promised_lead_days,20,early: -13 to -7 days,on promised date,0.123621335469,primary,95824,21,0.0860868613603,0.00156323127717,0.0830229843576,0.0891507383631,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,12,32,31871
primary,C,low_review_2,error_group_probability::slightly early: -6 to -1 days,supported_error_group_probability,promised_lead_days,18,slightly early: -6 to -1 days,on promised date,0.117223069395,primary,95824,21,0.103671905882,0.00283163281161,0.0981220075537,0.10922180421,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,6,32,12546
primary,C,low_review_2,error_group_probability::on promised date,supported_error_group_probability,promised_lead_days,20,on promised date,on promised date,0.123621335469,primary,95824,21,0.123621335469,0.00930524606307,0.105383388318,0.14185928262,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,5,33,1178
