variant,analysis_sample,record_type,model_id,outcome,record_id,term,group,n_orders,estimate,standard_error,ci_lower,ci_upper,p_value,odds_ratio,odds_ratio_ci_lower,odds_ratio_ci_upper,direction_positive,support_rule,support_lower,support_upper,support_n,notes
fixed_duration_bins,fixed_duration_bins,coefficient,B,low_review_2,Intercept,Intercept,,95824,-2.42368457859,0.108368630015,-2.63608319047,-2.2112859667,8.59245318692e-111,0.0885945816364,0.0716413261632,0.109559667802,False,,,,,Fixed pre-specified actual-duration bins replace the spline.
fixed_duration_bins,fixed_duration_bins,coefficient,B,low_review_2,"C(actual_duration_group, Treatment(reference=""0-3 days""))[T.4-7 days]","C(actual_duration_group, Treatment(reference=""0-3 days""))[T.4-7 days]",,95824,0.0874455782095,0.0533500414138,-0.0171185815352,0.192009737954,0.101194287758,1.09138286782,0.983027108859,1.21168231621,True,,,,,Fixed pre-specified actual-duration bins replace the spline.
fixed_duration_bins,fixed_duration_bins,coefficient,B,low_review_2,"C(actual_duration_group, Treatment(reference=""0-3 days""))[T.8-14 days]","C(actual_duration_group, Treatment(reference=""0-3 days""))[T.8-14 days]",,95824,0.233733509886,0.0510719451139,0.133634336842,0.333832682929,4.72697946594e-06,1.26330778831,1.14297479945,1.39630949761,True,,,,,Fixed pre-specified actual-duration bins replace the spline.
fixed_duration_bins,fixed_duration_bins,coefficient,B,low_review_2,"C(actual_duration_group, Treatment(reference=""0-3 days""))[T.15-21 days]","C(actual_duration_group, Treatment(reference=""0-3 days""))[T.15-21 days]",,95824,0.468354661303,0.0539723155352,0.362570866692,0.574138455914,4.03911902965e-18,1.59736382537,1.43701905416,1.77560010997,True,,,,,Fixed pre-specified actual-duration bins replace the spline.
fixed_duration_bins,fixed_duration_bins,coefficient,B,low_review_2,"C(actual_duration_group, Treatment(reference=""0-3 days""))[T.22+ days]","C(actual_duration_group, Treatment(reference=""0-3 days""))[T.22+ days]",,95824,0.828744289894,0.0602124578178,0.710730041151,0.946758538638,4.21581738922e-43,2.29044080405,2.03547669812,2.57734175081,True,,,,,Fixed pre-specified actual-duration bins replace the spline.
fixed_duration_bins,fixed_duration_bins,coefficient,B,low_review_2,"C(promise_error_group_label, Treatment(reference=""on promised date""))[T.very early: <= -14 days]","C(promise_error_group_label, Treatment(reference=""on promised date""))[T.very early: <= -14 days]",,95824,-0.023945988209,0.0914264027872,-0.203138444908,0.15524646849,0.793386621347,0.976338442122,0.816165239682,1.16794578747,False,,,,,Fixed pre-specified actual-duration bins replace the spline.
fixed_duration_bins,fixed_duration_bins,coefficient,B,low_review_2,"C(promise_error_group_label, Treatment(reference=""on promised date""))[T.early: -13 to -7 days]","C(promise_error_group_label, Treatment(reference=""on promised date""))[T.early: -13 to -7 days]",,95824,-0.0701669659951,0.0905585072225,-0.247658378645,0.107324446655,0.438443266204,0.93223815484,0.780626576441,1.11329540086,False,,,,,Fixed pre-specified actual-duration bins replace the spline.
fixed_duration_bins,fixed_duration_bins,coefficient,B,low_review_2,"C(promise_error_group_label, Treatment(reference=""on promised date""))[T.slightly early: -6 to -1 days]","C(promise_error_group_label, Treatment(reference=""on promised date""))[T.slightly early: -6 to -1 days]",,95824,-0.0065379714722,0.0912672348774,-0.1854184648,0.172342521856,0.9428920098,0.993483354562,0.830756568722,1.18808470851,False,,,,,Fixed pre-specified actual-duration bins replace the spline.
fixed_duration_bins,fixed_duration_bins,coefficient,B,low_review_2,"C(promise_error_group_label, Treatment(reference=""on promised date""))[T.1 day late]","C(promise_error_group_label, Treatment(reference=""on promised date""))[T.1 day late]",,95824,0.435623660641,0.122965140338,0.194616414225,0.676630907058,0.000396113333772,1.54592689212,1.21484489988,1.96723874466,True,,,,,Fixed pre-specified actual-duration bins replace the spline.
fixed_duration_bins,fixed_duration_bins,coefficient,B,low_review_2,"C(promise_error_group_label, Treatment(reference=""on promised date""))[T.2-3 days late]","C(promise_error_group_label, Treatment(reference=""on promised date""))[T.2-3 days late]",,95824,1.49464168864,0.106779273963,1.28535815738,1.7039252199,1.61476344641e-44,4.45773900813,3.61596280908,5.49547606372,True,,,,,Fixed pre-specified actual-duration bins replace the spline.
