actual_duration_group,promise_error_group,reviewed_orders,low_review_2_orders,low_review_2_rate,low_review_2_ci_lower,low_review_2_ci_upper,mean_review_score,median_review_score,one_star_orders,one_star_share,low_support_cell
0-3 days,very early: <= -14 days,2360,209,0.0885593220339,0.0777552370044,0.100700713682,4.398728813559322,5.0,149,0.0631355932203,False
0-3 days,early: -13 to -7 days,3471,225,0.0648228176318,0.0571032789019,0.0735045738417,4.477960242005186,5.0,161,0.0463843272832,False
0-3 days,slightly early: -6 to -1 days,1053,50,0.0474833808167,0.0362011208434,0.0620554201557,4.556505223171889,5.0,36,0.034188034188,False
0-3 days,on promised date,42,3,0.0714285714286,0.0245899635512,0.190097132885,4.428571428571429,5.0,2,0.047619047619,True
0-3 days,1 day late,0,0,,,,,,0,,True
0-3 days,2-3 days late,0,0,,,,,,0,,True
0-3 days,4-7 days late,0,0,,,,,,0,,True
0-3 days,>=8 days late,0,0,,,,,,0,,True
4-7 days,very early: <= -14 days,12615,1026,0.0813317479191,0.0766881898316,0.0862302194144,4.39889021006738,5.0,735,0.0582639714625,False
4-7 days,early: -13 to -7 days,8476,611,0.0720858895706,0.0667715380791,0.0777879546359,4.402430391694195,5.0,441,0.0520292590845,False
4-7 days,slightly early: -6 to -1 days,2320,164,0.0706896551724,0.0609541786679,0.0818445387662,4.3887931034482754,5.0,112,0.048275862069,False
4-7 days,on promised date,139,9,0.0647482014388,0.03443462432,0.118473212053,4.374100719424461,5.0,9,0.0647482014388,False
4-7 days,1 day late,42,2,0.047619047619,0.0131572486392,0.157901353155,4.428571428571429,5.0,2,0.047619047619,True
4-7 days,2-3 days late,25,6,0.24,0.114961577303,0.434300599552,3.44,4.0,5,0.2,True
4-7 days,4-7 days late,7,3,0.428571428571,0.158216922263,0.749545769591,3.142857142857143,3.0,2,0.285714285714,True
4-7 days,>=8 days late,0,0,,,,,,0,,True
8-14 days,very early: <= -14 days,20561,1820,0.088517095472,0.084710971634,0.0924769528283,4.325081464909294,5.0,1323,0.0643451194008,False
8-14 days,early: -13 to -7 days,13610,1184,0.086994856723,0.0823757381346,0.0918470616958,4.301249081557678,5.0,868,0.0637766348273,False
8-14 days,slightly early: -6 to -1 days,3065,289,0.0942903752039,0.0844463401919,0.105150151201,4.233278955954323,5.0,197,0.0642740619902,False
8-14 days,on promised date,205,27,0.131707317073,0.0921189104601,0.184845066066,4.121951219512195,5.0,18,0.0878048780488,False
8-14 days,1 day late,107,14,0.130841121495,0.0795643970178,0.207706808017,4.074766355140187,5.0,10,0.0934579439252,False
8-14 days,2-3 days late,114,32,0.280701754386,0.206406000677,0.369295619124,3.3859649122807016,4.0,25,0.219298245614,False
8-14 days,4-7 days late,102,59,0.578431372549,0.481463617853,0.66970567664,2.450980392156863,2.0,47,0.460784313725,False
8-14 days,>=8 days late,11,9,0.818181818182,0.523013862422,0.948633399329,1.8181818181818181,1.0,8,0.727272727273,True
15-21 days,very early: <= -14 days,5198,539,0.103693728357,0.0956964366378,0.112276370531,4.207964601769912,5.0,399,0.0767602924202,False
15-21 days,early: -13 to -7 days,6377,711,0.111494433119,0.104002010808,0.119454656727,4.164967853222518,5.0,496,0.0777795201505,False
15-21 days,slightly early: -6 to -1 days,3562,419,0.117630544638,0.107459951304,0.128625016688,4.093486805165638,5.0,288,0.0808534531162,False
15-21 days,on promised date,336,40,0.119047619048,0.0886543132993,0.158053564724,4.0625,5.0,26,0.077380952381,False
15-21 days,1 day late,175,29,0.165714285714,0.11792853762,0.227861256253,3.8057142857142856,4.0,18,0.102857142857,False
15-21 days,2-3 days late,179,70,0.391061452514,0.322579354887,0.464121264665,3.0670391061452515,3.0,55,0.307262569832,False
15-21 days,4-7 days late,185,123,0.664864864865,0.594101369474,0.728920676516,2.1621621621621623,1.0,108,0.583783783784,False
15-21 days,>=8 days late,42,27,0.642857142857,0.491660892871,0.770110074984,2.2142857142857144,1.0,22,0.52380952381,True
22+ days,very early: <= -14 days,1127,198,0.175687666371,0.154581528156,0.198997257768,3.8518189884649514,4.0,142,0.125998225377,False
22+ days,early: -13 to -7 days,1949,292,0.149820420729,0.134664944794,0.166353632443,3.9553617239610057,4.0,200,0.102616726526,False
22+ days,slightly early: -6 to -1 days,2419,393,0.162463828028,0.148300897601,0.177697137103,3.8710210830921867,4.0,264,0.109136006614,False
22+ days,on promised date,558,80,0.143369175627,0.116726864671,0.174888423339,3.869175627240143,4.0,54,0.0967741935484,False
22+ days,1 day late,496,116,0.233870967742,0.198751035165,0.273081641427,3.5725806451612905,4.0,77,0.155241935484,False
22+ days,2-3 days late,714,326,0.456582633053,0.420375096831,0.493254873904,2.820728291316527,3.0,273,0.382352941176,False
22+ days,4-7 days late,1454,998,0.686382393398,0.66206934566,0.709713158008,2.0660247592847316,1.0,867,0.59628610729,False
22+ days,>=8 days late,2728,2169,0.79508797654,0.779531031127,0.809814998306,1.687683284457478,1.0,1912,0.700879765396,False
