variant,analysis_sample,record_type,model_id,outcome,record_id,term,group,n_orders,estimate,standard_error,ci_lower,ci_upper,p_value,odds_ratio,odds_ratio_ci_lower,odds_ratio_ci_upper,direction_positive,support_rule,support_lower,support_upper,support_n,notes
low_review_3,low_review_3,coefficient,A,low_review_3,Intercept,Intercept,,95824,-1.39313982249,0.0307353009565,-1.45337990542,-1.33289973957,0,0.248294478856,0.233778801034,0.263711456974,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,A,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]",,95824,-0.0335818534176,0.102292014967,-0.234070518658,0.166906811823,0.742689390258,0.966975757721,0.79130601209,1.18164414491,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,A,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]",,95824,-0.032858820508,0.0715068677731,-0.173009705991,0.107292064975,0.645860947535,0.967675165834,0.84112945081,1.11325935107,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,A,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]",,95824,-0.0333227627068,0.0608678798232,-0.152621614976,0.0859760895619,0.5840623691,0.967226324616,0.858454486686,1.08978027087,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,A,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]",,95824,-0.0993411565737,0.061861383027,-0.22058723934,0.021904926193,0.108303124956,0.905433760647,0.8020476657,1.02214660048,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,A,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]",,95824,0.00272217315396,0.0538896574119,-0.102899614513,0.108343960821,0.959712926352,1.00272588163,0.902217538483,1.11443100007,True,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,A,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]",,95824,-0.0234545303407,0.056418655157,-0.134033062505,0.0871240018232,0.677612738053,0.976818389258,0.874561148943,1.09103196128,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,A,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-07]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-07]",,95824,-0.0635156212402,0.0529696067665,-0.167334142778,0.0403029002974,0.230490783367,0.938459459286,0.845916907083,1.04112608384,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,A,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-08]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-08]",,95824,-0.203946239365,0.0530926431706,-0.308005907824,-0.099886570907,0.000122370632071,0.81550621214,0.734910976272,0.904940058745,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,A,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-09]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-09]",,95824,-0.134814146367,0.0522554951805,-0.237233034915,-0.0323952578188,0.00988278647122,0.873878310055,0.788807446921,0.968123847924,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,A,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-10]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-10]",,95824,-0.0222719672305,0.0496626666363,-0.119609005214,0.0750650707529,0.653817648445,0.977974221939,0.887267285787,1.0779542919,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,A,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-11]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-11]",,95824,0.0881239593261,0.0414998673472,0.00678571396236,0.16946220469,0.0337140107468,1.09212349253,1.00680878908,1.18466757131,True,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,A,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-12]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-12]",,95824,-0.136730639169,0.0462456473971,-0.227370442509,-0.046090835829,0.0031103481504,0.872205132393,0.796625623629,0.954955214102,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,A,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-02]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-02]",,95824,0.0965249053925,0.0421538780954,0.0139048225168,0.179144988268,0.022031598847,1.10133701003,1.01400194419,1.19619416572,True,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,A,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-03]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-03]",,95824,0.206010039,0.0410895313546,0.125476037403,0.286544040596,5.33968914137e-07,1.22876553951,1.13368800253,1.33181682061,True,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,A,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-04]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-04]",,95824,-0.0398193056657,0.0444559849069,-0.12695143498,0.047312823649,0.370412049235,0.960963064046,0.880776446484,1.04844993772,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,A,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-05]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-05]",,95824,-0.0592005342991,0.0443333310068,-0.146092266387,0.0276911977889,0.181761668126,0.94251774307,0.864077974154,1.02807816259,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,A,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-06]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-06]",,95824,-0.0358418250287,0.0472207241297,-0.128392743647,0.0567090935895,0.447836146463,0.964792887502,0.879507890169,1.05834788542,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,A,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-07]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-07]",,95824,-0.0266600667496,0.0469301987895,-0.118641566164,0.0653214326651,0.569981234595,0.97369217562,0.888126078155,1.06750209929,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,A,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-08]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-08]",,95824,0.078600016886,0.0463943219879,-0.0123311832973,0.169531217069,0.0902323761005,1.08177154517,0.987744534195,1.18474933086,True,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,A,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.pooled sparse purchase months (<500 orders each)]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.pooled sparse purchase months (<500 orders each)]",,95824,-0.423843852525,0.186169967579,-0.788730283983,-0.0589574210667,0.0228071358749,0.654526076524,0.454421415282,0.94274690946,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,A,low_review_3,"cr(actual_delivery_days, df=4, constraints=""center"")[0]","cr(actual_delivery_days, df=4, constraints=""center"")[0]",,95824,2.13230346204,0.0304354935193,2.07265099089,2.19195593319,0,8.43427247926,7.94585962323,8.95270689737,True,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,A,low_review_3,"cr(actual_delivery_days, df=4, constraints=""center"")[1]","cr(actual_delivery_days, df=4, constraints=""center"")[1]",,95824,5.39430673775,0.218415541775,4.96622014221,5.82239333329,1.13914841048e-134,220.149472862,143.483513802,337.77950593,True,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,A,low_review_3,"cr(actual_delivery_days, df=4, constraints=""center"")[2]","cr(actual_delivery_days, df=4, constraints=""center"")[2]",,95824,0.418055395237,0.564741348082,-0.688817307584,1.52492809806,0.459142284779,1.5190048177,0.50216963021,4.59481318143,True,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,A,low_review_3,"cr(actual_delivery_days, df=4, constraints=""center"")[3]","cr(actual_delivery_days, df=4, constraints=""center"")[3]",,95824,4.92525864742,1.09041325432,2.78808794069,7.06242935416,6.27593945117e-06,137.724959242,16.2499192688,1167.2774544,True,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,Intercept,Intercept,,95824,-1.19168519854,0.072666224027,-1.33410838052,-1.04926201655,1.93016959113e-60,0.303709022573,0.263392917045,0.350196092692,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,"C(promise_error_group_label, Treatment(reference=""on promised date""))[T.very early: <= -14 days]","C(promise_error_group_label, Treatment(reference=""on promised date""))[T.very early: <= -14 days]",,95824,-0.268154296109,0.0678427729406,-0.401123687684,-0.135184904534,7.73115986382e-05,0.764789767913,0.669567238695,0.87355437259,False,,,,,Alternative observed low-review threshold: selected score <=3.
