dimension,actual_duration_group,promise_error_group,purchase_month,review_status,analytical_orders,reviewed_orders,missing_review_orders,review_coverage,mean_actual_delivery_days,median_actual_delivery_days,mean_promised_lead_days,median_promised_lead_days,mean_promise_error_days,median_promise_error_days
overall,,,,all,96470,95824,646,0.993303617705,12.496848761272934,10.0,24.37273763864414,24.0,-11.875888877371203,-12.0
actual_duration_group,0-3 days,,,all,6952,6926,26,0.996260069045,2.4052071346375143,2.0,14.504315304948216,14.0,-12.099108170310702,-12.0
actual_duration_group,4-7 days,,,all,23742,23624,118,0.99502990481,5.7147670794372845,6.0,20.190674753601215,20.0,-14.47590767416393,-14.0
actual_duration_group,8-14 days,,,all,37979,37775,204,0.994628610548,10.646752152505332,10.0,25.336238447563126,24.0,-14.689486295057796,-14.0
actual_duration_group,15-21 days,,,all,16170,16054,116,0.992826221398,17.50309214594929,17.0,28.384415584415585,27.0,-10.881323438466296,-10.0
actual_duration_group,22+ days,,,all,11627,11445,182,0.984346779049,31.460565924142085,28.0,30.086522748774403,29.0,1.3740431753676787,0.0
promise_error_group,,very early: <= -14 days,,all,42065,41861,204,0.995150362534,9.867348151670035,9.0,29.38984904314751,28.0,-19.522500891477474,-18.0
promise_error_group,,early: -13 to -7 days,,all,34075,33883,192,0.994365370506,10.762347762289068,10.0,20.845311812179016,20.0,-10.082964049889949,-10.0
promise_error_group,,slightly early: -6 to -1 days,,all,12504,12419,85,0.993202175304,14.190339091490722,14.0,18.210492642354446,18.0,-4.020153550863723,-4.0
promise_error_group,,on promised date,,all,1292,1280,12,0.990712074303,19.16950464396285,20.0,19.16950464396285,20.0,0.0,0.0
promise_error_group,,1 day late,,all,825,820,5,0.993939393939,22.195151515151515,23.0,21.195151515151515,22.0,1.0,1.0
promise_error_group,,2-3 days late,,all,1045,1032,13,0.987559808612,24.133014354066987,25.0,21.654545454545456,22.0,2.478468899521531,2.0
promise_error_group,,4-7 days late,,all,1802,1748,54,0.970033296337,28.184794672586015,28.0,22.667591564927857,23.0,5.517203107658157,6.0
promise_error_group,,>=8 days late,,all,2862,2781,81,0.971698113208,44.46261355695318,41.0,24.88364779874214,24.0,19.57896575821104,14.0
duration_x_error,0-3 days,very early: <= -14 days,,all,2366,2360,6,0.997464074387,2.4615384615384617,3.0,21.073119188503803,20.0,-18.611580726965343,-17.0
duration_x_error,0-3 days,early: -13 to -7 days,,all,3485,3471,14,0.995982783357,2.37532281205165,2.0,12.609756097560975,13.0,-10.234433285509326,-10.0
duration_x_error,0-3 days,slightly early: -6 to -1 days,,all,1059,1053,6,0.99433427762,2.3541076487252126,2.0,6.519357884796978,7.0,-4.165250236071766,-5.0
duration_x_error,0-3 days,on promised date,,all,42,42,0,1,3.0,3.0,3.0,3.0,0.0,0.0
duration_x_error,0-3 days,1 day late,,all,0,0,0,,,,,,,
duration_x_error,0-3 days,2-3 days late,,all,0,0,0,,,,,,,
duration_x_error,0-3 days,4-7 days late,,all,0,0,0,,,,,,,
duration_x_error,0-3 days,>=8 days late,,all,0,0,0,,,,,,,
duration_x_error,4-7 days,very early: <= -14 days,,all,12677,12615,62,0.995109252978,5.830480397570403,6.0,25.42210302121953,24.0,-19.59162262364913,-18.0
duration_x_error,4-7 days,early: -13 to -7 days,,all,8515,8476,39,0.995419847328,5.583206106870229,6.0,15.600822078684674,16.0,-10.017615971814445,-10.0
duration_x_error,4-7 days,slightly early: -6 to -1 days,,all,2331,2320,11,0.995280995281,5.57057057057057,6.0,9.932646932646932,10.0,-4.362076362076362,-5.0
duration_x_error,4-7 days,on promised date,,all,140,139,1,0.992857142857,5.492857142857143,5.0,5.492857142857143,5.0,0.0,0.0
duration_x_error,4-7 days,1 day late,,all,45,42,3,0.933333333333,5.5777777777777775,6.0,4.5777777777777775,5.0,1.0,1.0
duration_x_error,4-7 days,2-3 days late,,all,25,25,0,1,6.32,6.0,3.8,4.0,2.52,3.0
duration_x_error,4-7 days,4-7 days late,,all,9,7,2,0.777777777778,7.0,7.0,3.0,3.0,4.0,4.0
duration_x_error,4-7 days,>=8 days late,,all,0,0,0,,,,,,,
duration_x_error,8-14 days,very early: <= -14 days,,all,20657,20561,96,0.995352664956,10.442271385002662,10.0,29.990802149392458,29.0,-19.548530764389795,-18.0
duration_x_error,8-14 days,early: -13 to -7 days,,all,13690,13610,80,0.994156318481,10.882103725346969,11.0,21.25200876552228,21.0,-10.369905040175311,-10.0
duration_x_error,8-14 days,slightly early: -6 to -1 days,,all,3089,3065,24,0.992230495306,10.872450631272256,11.0,15.114600194237617,15.0,-4.242149562965361,-5.0
duration_x_error,8-14 days,on promised date,,all,207,205,2,0.990338164251,11.08695652173913,11.0,11.08695652173913,11.0,0.0,0.0
duration_x_error,8-14 days,1 day late,,all,107,107,0,1,10.97196261682243,11.0,9.97196261682243,10.0,1.0,1.0
duration_x_error,8-14 days,2-3 days late,,all,115,114,1,0.991304347826,11.208695652173914,11.0,8.782608695652174,9.0,2.4260869565217393,2.0
duration_x_error,8-14 days,4-7 days late,,all,103,102,1,0.990291262136,11.553398058252426,12.0,6.553398058252427,7.0,5.0,5.0
duration_x_error,8-14 days,>=8 days late,,all,11,11,0,1,12.545454545454545,13.0,4.454545454545454,5.0,8.090909090909092,8.0
duration_x_error,15-21 days,very early: <= -14 days,,all,5228,5198,30,0.994261667942,17.13829380260138,17.0,36.5721117061974,35.0,-19.433817903596022,-17.0
duration_x_error,15-21 days,early: -13 to -7 days,,all,6427,6377,50,0.992220320523,17.378559203360822,17.0,27.047456044810954,27.0,-9.668896841450133,-9.0
duration_x_error,15-21 days,slightly early: -6 to -1 days,,all,3586,3562,24,0.993307306191,17.97378694924707,18.0,21.945064138315672,22.0,-3.9712771890686,-4.0
duration_x_error,15-21 days,on promised date,,all,340,336,4,0.988235294118,18.676470588235293,19.0,18.676470588235293,19.0,0.0,0.0
duration_x_error,15-21 days,1 day late,,all,176,175,1,0.994318181818,18.698863636363637,19.0,17.698863636363637,18.0,1.0,1.0
