variant,analysis_sample,record_type,model_id,outcome,record_id,term,group,n_orders,estimate,standard_error,ci_lower,ci_upper,p_value,odds_ratio,odds_ratio_ci_lower,odds_ratio_ci_upper,direction_positive,support_rule,support_lower,support_upper,support_n,notes
post_delivery_reviews,post_delivery_reviews,coefficient,A,low_review_2,Intercept,Intercept,,91171,-2.24085097739,0.0405629259719,-2.3203528514,-2.16134910338,0,0.106367949135,0.0982389157488,0.115169640431,False,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,A,low_review_2,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]",,91171,0.0600504340218,0.128132725556,-0.191085093309,0.311185961352,0.639314072717,1.06189010058,0.826062292787,1.36504304284,True,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,A,low_review_2,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]",,91171,-0.0382929057238,0.0931943456645,-0.220950466789,0.144364655341,0.681150984074,0.962430998054,0.801756392875,1.15530531998,False,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,A,low_review_2,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]",,91171,-0.0802400720993,0.0812198951146,-0.239428141352,0.0789479971536,0.323183909877,0.922894758507,0.787077829659,1.08214804583,False,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,A,low_review_2,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]",,91171,-0.0523948309883,0.0815273293849,-0.212185460338,0.107395798362,0.520440940225,0.948954116375,0.808814680611,1.11337483922,False,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,A,low_review_2,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]",,91171,-0.0691439549119,0.0718572842818,-0.209981644131,0.0716937343074,0.33592904873,0.933192332788,0.810599125085,1.0743262644,False,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,A,low_review_2,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]",,91171,-0.0431589486775,0.0742533187325,-0.188692779126,0.102374881771,0.561079168892,0.957759143418,0.828040859058,1.10779868743,False,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,A,low_review_2,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-07]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-07]",,91171,-0.141233963927,0.0713504331099,-0.281078243103,-0.00138968475017,0.0477663899836,0.868286140296,0.754969262031,0.998611280415,False,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,A,low_review_2,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-08]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-08]",,91171,-0.157782970915,0.0699956909768,-0.294972004302,-0.0205939375269,0.024184770792,0.854035112316,0.744552431439,0.979616669385,False,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,A,low_review_2,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-09]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-09]",,91171,-0.152128853196,0.0699551326194,-0.289238393664,-0.0150193127286,0.0296553638216,0.858877604486,0.748833666921,0.985092914587,False,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,A,low_review_2,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-10]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-10]",,91171,-0.056243521672,0.0664774396124,-0.186536909097,0.0740498657528,0.397522469723,0.945308904653,0.829827933187,1.07686050262,False,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,A,low_review_2,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-11]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-11]",,91171,-0.0298078568961,0.0576081516133,-0.142717759274,0.0831020454819,0.604860007796,0.970632015881,0.866998736719,1.08665269089,False,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,A,low_review_2,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-12]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-12]",,91171,-0.02817748895,0.0606308981289,-0.147011865633,0.090656887733,0.642119014006,0.972215793926,0.863283733948,1.09489326949,False,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,A,low_review_2,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-02]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-02]",,91171,0.0313893786928,0.0581808827063,-0.0826430560002,0.145421813386,0.589532501047,1.03188722057,0.920679719677,1.15652730609,True,,,,,Selected reviews at or after recorded customer-delivery timestamp.
