variant,model_id,row_term,column_term,covariance_hc1
primary,A,Intercept,Intercept,0.00146951878223
primary,A,Intercept,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]",-0.00144408592166
primary,A,Intercept,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]",-0.00142183861544
primary,A,Intercept,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]",-0.00143771176799
primary,A,Intercept,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]",-0.00140385255462
primary,A,Intercept,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]",-0.00144541398612
primary,A,Intercept,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]",-0.0014359158891
primary,A,Intercept,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-07]",-0.0014410610665
primary,A,Intercept,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-08]",-0.00144044034234
primary,A,Intercept,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-09]",-0.00143684780531
primary,A,Intercept,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-10]",-0.00143448341331
primary,A,Intercept,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-11]",-0.00141060991359
primary,A,Intercept,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-12]",-0.00139335320425
primary,A,Intercept,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-02]",-0.00139719935447
primary,A,Intercept,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-03]",-0.00140606224279
primary,A,Intercept,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-04]",-0.00143910748857
primary,A,Intercept,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-05]",-0.00143700556236
primary,A,Intercept,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-06]",-0.00147152042974
primary,A,Intercept,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-07]",-0.00148060588651
primary,A,Intercept,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-08]",-0.00151046557537
primary,A,Intercept,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.pooled sparse purchase months (<500 orders each)]",-0.00135596941227
primary,A,Intercept,"cr(actual_delivery_days, df=4, constraints=""center"")[0]",-0.000230124609771
primary,A,Intercept,"cr(actual_delivery_days, df=4, constraints=""center"")[1]",0.000193179994806
primary,A,Intercept,"cr(actual_delivery_days, df=4, constraints=""center"")[2]",-0.000166086243135
primary,A,Intercept,"cr(actual_delivery_days, df=4, constraints=""center"")[3]",8.72424909674e-05
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]",Intercept,-0.00144408592166
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]",0.0167622551743
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]",0.00142412330239
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]",0.00142676792232
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]",0.00140640071059
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]",0.00142614556243
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]",0.00142760924504
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-07]",0.00142724966465
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-08]",0.00142958555317
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-09]",0.0014245568892
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-10]",0.00142482290133
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-11]",0.00141227359995
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-12]",0.00140052432469
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-02]",0.00140246598976
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-03]",0.00140623010357
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-04]",0.0014269920529
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-05]",0.00142669725608
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-06]",0.00144387929433
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-07]",0.00144877778273
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-08]",0.00146470755885
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.pooled sparse purchase months (<500 orders each)]",0.00137166805171
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]","cr(actual_delivery_days, df=4, constraints=""center"")[0]",0.000139328243309
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]","cr(actual_delivery_days, df=4, constraints=""center"")[1]",-0.000224438323525
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]","cr(actual_delivery_days, df=4, constraints=""center"")[2]",-0.00171701446812
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]","cr(actual_delivery_days, df=4, constraints=""center"")[3]",0.00118368881504
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]",Intercept,-0.00142183861544
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]",0.00142412330239
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]",0.00839903602484
