panel,x_numeric,x_label,estimate,ci_lower,ci_upper,model_id,estimand_id,contrast_id,error_group,reference_duration_days,support_rule,support_note,support_lower,support_upper,support_n,fixed_settings_json
model_a_duration_curve,3,3.0,0.0583914317662,0.0558357825989,0.0609470809336,A,duration_curve_000,,,3,inclusive integer days from ceil(p5) to floor(p95),inclusive integer days from ceil(p5) to floor(p95),3,29,87725,
model_a_duration_curve,4,4.0,0.0621665675651,0.0597000703109,0.0646330648192,A,duration_curve_001,,,4,inclusive integer days from ceil(p5) to floor(p95),inclusive integer days from ceil(p5) to floor(p95),3,29,87725,
model_a_duration_curve,5,5.0,0.0661867273004,0.063817074659,0.0685563799419,A,duration_curve_002,,,5,inclusive integer days from ceil(p5) to floor(p95),inclusive integer days from ceil(p5) to floor(p95),3,29,87725,
model_a_duration_curve,6,6.0,0.0704713657972,0.0682022327473,0.0727404988471,A,duration_curve_003,,,6,inclusive integer days from ceil(p5) to floor(p95),inclusive integer days from ceil(p5) to floor(p95),3,29,87725,
model_a_duration_curve,7,7.0,0.0750416907434,0.0728709777659,0.0772124037208,A,duration_curve_004,,,7,inclusive integer days from ceil(p5) to floor(p95),inclusive integer days from ceil(p5) to floor(p95),3,29,87725,
model_a_duration_curve,8,8.0,0.0799207951771,0.0778384305872,0.0820031597671,A,duration_curve_005,,,8,inclusive integer days from ceil(p5) to floor(p95),inclusive integer days from ceil(p5) to floor(p95),3,29,87725,
model_a_duration_curve,9,9.0,0.0851337925474,0.0831192983378,0.0871482867569,A,duration_curve_006,,,9,inclusive integer days from ceil(p5) to floor(p95),inclusive integer days from ceil(p5) to floor(p95),3,29,87725,
model_a_duration_curve,10,10.0,0.0907079519916,0.0887283970459,0.0926875069373,A,duration_curve_007,,,10,inclusive integer days from ceil(p5) to floor(p95),inclusive integer days from ceil(p5) to floor(p95),3,29,87725,
model_a_duration_curve,11,11.0,0.0966728306233,0.0946822911217,0.0986633701248,A,duration_curve_008,,,11,inclusive integer days from ceil(p5) to floor(p95),inclusive integer days from ceil(p5) to floor(p95),3,29,87725,
model_a_duration_curve,12,12.0,0.103060398562,0.101002063297,0.105118733826,A,duration_curve_009,,,12,inclusive integer days from ceil(p5) to floor(p95),inclusive integer days from ceil(p5) to floor(p95),3,29,87725,
model_a_duration_curve,13,13.0,0.109905151147,0.10771612553,0.112094176764,A,duration_curve_010,,,13,inclusive integer days from ceil(p5) to floor(p95),inclusive integer days from ceil(p5) to floor(p95),3,29,87725,
model_a_duration_curve,14,14.0,0.117244201212,0.114861401772,0.119627000652,A,duration_curve_011,,,14,inclusive integer days from ceil(p5) to floor(p95),inclusive integer days from ceil(p5) to floor(p95),3,29,87725,
model_a_duration_curve,15,15.0,0.125117342436,0.122482323812,0.127752361059,A,duration_curve_012,,,15,inclusive integer days from ceil(p5) to floor(p95),inclusive integer days from ceil(p5) to floor(p95),3,29,87725,
model_a_duration_curve,16,16.0,0.133567072602,0.130628719871,0.136505425334,A,duration_curve_013,,,16,inclusive integer days from ceil(p5) to floor(p95),inclusive integer days from ceil(p5) to floor(p95),3,29,87725,
model_a_duration_curve,17,17.0,0.142638563106,0.139353943377,0.145923182835,A,duration_curve_014,,,17,inclusive integer days from ceil(p5) to floor(p95),inclusive integer days from ceil(p5) to floor(p95),3,29,87725,
model_a_duration_curve,18,18.0,0.152379558223,0.148713748875,0.156045367572,A,duration_curve_015,,,18,inclusive integer days from ceil(p5) to floor(p95),inclusive integer days from ceil(p5) to floor(p95),3,29,87725,
model_a_duration_curve,19,19.0,0.162840184626,0.158765731154,0.166914638097,A,duration_curve_016,,,19,inclusive integer days from ceil(p5) to floor(p95),inclusive integer days from ceil(p5) to floor(p95),3,29,87725,
model_a_duration_curve,20,20.0,0.174072648428,0.169568974014,0.178576322843,A,duration_curve_017,,,20,inclusive integer days from ceil(p5) to floor(p95),inclusive integer days from ceil(p5) to floor(p95),3,29,87725,
model_a_duration_curve,21,21.0,0.186130793948,0.181183639264,0.191077948633,A,duration_curve_018,,,21,inclusive integer days from ceil(p5) to floor(p95),inclusive integer days from ceil(p5) to floor(p95),3,29,87725,
model_a_duration_curve,22,22.0,0.199069495587,0.193670334086,0.204468657087,A,duration_curve_019,,,22,inclusive integer days from ceil(p5) to floor(p95),inclusive integer days from ceil(p5) to floor(p95),3,29,87725,
model_a_duration_curve,23,23.0,0.212943852258,0.207089160172,0.218798544344,A,duration_curve_020,,,23,inclusive integer days from ceil(p5) to floor(p95),inclusive integer days from ceil(p5) to floor(p95),3,29,87725,
model_a_duration_curve,24,24.0,0.227808153145,0.221498379571,0.234117926719,A,duration_curve_021,,,24,inclusive integer days from ceil(p5) to floor(p95),inclusive integer days from ceil(p5) to floor(p95),3,29,87725,
model_a_duration_curve,25,25.0,0.243714584983,0.236952650536,0.250476519431,A,duration_curve_022,,,25,inclusive integer days from ceil(p5) to floor(p95),inclusive integer days from ceil(p5) to floor(p95),3,29,87725,
model_a_duration_curve,26,26.0,0.260711655489,0.253500808842,0.267922502137,A,duration_curve_023,,,26,inclusive integer days from ceil(p5) to floor(p95),inclusive integer days from ceil(p5) to floor(p95),3,29,87725,
model_a_duration_curve,27,27.0,0.278842315931,0.271183209702,0.286501422159,A,duration_curve_024,,,27,inclusive integer days from ceil(p5) to floor(p95),inclusive integer days from ceil(p5) to floor(p95),3,29,87725,
model_a_duration_curve,28,28.0,0.298141779328,0.29002871398,0.306254844675,A,duration_curve_025,,,28,inclusive integer days from ceil(p5) to floor(p95),inclusive integer days from ceil(p5) to floor(p95),3,29,87725,
model_a_duration_curve,29,29.0,0.318635050284,0.310051506006,0.327218594562,A,duration_curve_026,,,29,inclusive integer days from ceil(p5) to floor(p95),inclusive integer days from ceil(p5) to floor(p95),3,29,87725,
model_b_error_groups,0,very early: <= -14 days,0.0868935187041,0.0841169090088,0.0896701283993,B,error_group_probability::very early: <= -14 days,,very early: <= -14 days,9,intersection of group-specific p05-p95; pooled median inside intersection,intersection of group-specific p05-p95; pooled median inside intersection,5,19,36216,
model_b_error_groups,1,early: -13 to -7 days,0.0891302768838,0.086049619573,0.0922109341946,B,error_group_probability::early: -13 to -7 days,,early: -13 to -7 days,11,intersection of group-specific p05-p95; pooled median inside intersection,intersection of group-specific p05-p95; pooled median inside intersection,5,22,27713,
model_b_error_groups,2,slightly early: -6 to -1 days,0.107685856568,0.101989739276,0.113381973859,B,error_group_probability::slightly early: -6 to -1 days,,slightly early: -6 to -1 days,15,intersection of group-specific p05-p95; pooled median inside intersection,intersection of group-specific p05-p95; pooled median inside intersection,5,28,11273,
model_b_error_groups,3,on promised date,0.125948392832,0.107411583547,0.144485202116,B,error_group_probability::on promised date,,on promised date,20,intersection of group-specific p05-p95; pooled median inside intersection,intersection of group-specific p05-p95; pooled median inside intersection,5,33,1178,
model_b_error_groups,4,1 day late,0.192718296081,0.165794005254,0.219642586908,B,error_group_probability::1 day late,,1 day late,22,intersection of group-specific p05-p95; pooled median inside intersection,intersection of group-specific p05-p95; pooled median inside intersection,7,33,1816,
model_b_error_groups,5,2-3 days late,0.412201411589,0.381747960062,0.442654863116,B,error_group_probability::2-3 days late,,2-3 days late,23,intersection of group-specific p05-p95; pooled median inside intersection,intersection of group-specific p05-p95; pooled median inside intersection,10,33,1864,
model_b_error_groups,6,4-7 days late,0.659872488812,0.63661858909,0.683126388535,B,error_group_probability::4-7 days late,,4-7 days late,25,intersection of group-specific p05-p95; pooled median inside intersection,intersection of group-specific p05-p95; pooled median inside intersection,14,33,2115,
model_b_error_groups,7,>=8 days late,0.771681669149,0.750275915283,0.793087423016,B,error_group_probability::>=8 days late,,>=8 days late,30,intersection of group-specific p05-p95; pooled median inside intersection,intersection of group-specific p05-p95; pooled median inside intersection,26,33,800,
primary_contrasts,0,C_speed,0.0458242560963,0.0389622771602,0.0536412944915,B,,C_speed,,,fixed settings and pair-specific support recorded in fixed_settings_json,fixed settings and pair-specific support recorded in fixed_settings_json,,,,"{""D_high"": 25.0, ""D_low"": 12.0, ""group"": ""on promised date""}"
primary_contrasts,1,C_late_4_7,0.515754593419,0.483586796797,0.546058243796,B,,C_late_4_7,,25,fixed settings and pair-specific support recorded in fixed_settings_json,fixed settings and pair-specific support recorded in fixed_settings_json,14,33,2115,"{""D_reference"": 25.0, ""group"": ""4-7 days late"", ""reference_group"": ""on promised date"", ""support_lower"": 14.0, ""support_n"": 2115, ""support_upper"": 33.0}"
primary_contrasts,2,C_difference_4_7_minus_speed,0.469930337323,0.432389572981,0.504535014919,B,,C_difference_4_7_minus_speed,,,fixed settings and pair-specific support recorded in fixed_settings_json,fixed settings and pair-specific support recorded in fixed_settings_json,,,,"{""minuend"": ""C_late_4_7"", ""subtrahend"": ""C_speed""}"
