family,family_display,family_status,quantile,profile_block,comparison,median_skill,favourable_month_count,median_empirical_coverage,coverage_not_materially_worse,evidence_label,label_type,family_label,block_label,quantile_label,skill_pct,pattern
linear_quantile,Linear Quantile Regression,evaluated,0.5,both,DQB-DQ0,-0.00174129588923,2,0.439692148572,TRUE,Not-supported,PROTECTED PRE-EXISTING DIRECT-EXTENSION LABEL,Linear Quantile,Both,A  Q50 median skill,-0.174129588923,Other result
linear_quantile,Linear Quantile Regression,evaluated,0.5,state_od,DQG-DQ0,-0.00502930204561,3,0.432748909499,TRUE,Not-supported,PROTECTED PRE-EXISTING DIRECT-EXTENSION LABEL,Linear Quantile,State-OD,A  Q50 median skill,-0.502930204561,Other result
linear_quantile,Linear Quantile Regression,evaluated,0.5,seller,DQS-DQ0,5.19832297006e-4,3,0.430468668088,TRUE,Not-supported,PROTECTED PRE-EXISTING DIRECT-EXTENSION LABEL,Linear Quantile,Seller,A  Q50 median skill,0.0519832297006,Other result
linear_quantile,Linear Quantile Regression,evaluated,0.9,both,DQB-DQ0,-0.00513196219554,1,0.856669428335,TRUE,Not-supported,PROTECTED PRE-EXISTING DIRECT-EXTENSION LABEL,Linear Quantile,Both,B  Q90 median skill,-0.5131962195540001,Other result
linear_quantile,Linear Quantile Regression,evaluated,0.9,state_od,DQG-DQ0,-0.00250912580818,3,0.859088919945,TRUE,Not-supported,PROTECTED PRE-EXISTING DIRECT-EXTENSION LABEL,Linear Quantile,State-OD,B  Q90 median skill,-0.250912580818,Other result
linear_quantile,Linear Quantile Regression,evaluated,0.9,seller,DQS-DQ0,-0.00243285667054,1,0.856758017987,TRUE,Not-supported,PROTECTED PRE-EXISTING DIRECT-EXTENSION LABEL,Linear Quantile,Seller,B  Q90 median skill,-0.243285667054,Other result
lognormal_ridge,Lognormal Ridge,evaluated,0.5,both,DQB-DQ0,-0.00310524681375,3,0.401972947988,TRUE,Not-supported,ROBUSTNESS EVIDENCE LABEL,Lognormal Ridge,Both,A  Q50 median skill,-0.310524681375,Other result
lognormal_ridge,Lognormal Ridge,evaluated,0.5,state_od,DQG-DQ0,-0.00515987974753,1,0.395364841401,TRUE,Not-supported,ROBUSTNESS EVIDENCE LABEL,Lognormal Ridge,State-OD,A  Q50 median skill,-0.515987974753,Other result
lognormal_ridge,Lognormal Ridge,evaluated,0.5,seller,DQS-DQ0,0.00136094074254,3,0.40605668752,TRUE,Not-supported,ROBUSTNESS EVIDENCE LABEL,Lognormal Ridge,Seller,A  Q50 median skill,0.136094074254,Other result
lognormal_ridge,Lognormal Ridge,evaluated,0.9,both,DQB-DQ0,-0.00285088634486,3,0.872894228114,TRUE,Not-supported,ROBUSTNESS EVIDENCE LABEL,Lognormal Ridge,Both,B  Q90 median skill,-0.28508863448599997,Other result
