period,cohort,cohort_month,origin,family,model_id,model_name,quantile,representation,n_train_breaches,train_order_id_sha256,fitted_model_sha256,model_hash_type,constituent_fitted_model_count,unconditional_training_quantile,unconditional_reference_loss,baseline_pinball_loss,dq0_reference_loss,skill,skill_vs_dq0,skill_vs_unconditional,nominal_coverage,order_id_sha256,n_orders,pinball_loss,empirical_coverage,coverage_error,median_prediction,mean_prediction,median_actual,mean_actual,mean_exceedance,p90_absolute_error,model_family,specification,n_obs,coverage,comparison,reference_model,reference_specification,later_month_count,primary_evidence_available,median_skill,favourable_month_count,high_support_guard_available,high_support_median_skill,high_support_favourable_month_count,support_ge20_gain_present,high_support_guard,gain_only_low_support,coverage_guard_available,median_absolute_coverage_error_deterioration,coverage_not_materially_worse,coverage_materially_worse,all_guards_available,all_guards_pass,evidence_status,evidence_label,evidence_reason,family_label,block_label
aggregate,later_pooled,later_pooled,,linear_quantile,DQ0,Direct promise severity baseline,0.9,full,,multiple_expanding_training_sets,234d27fe6eb3efe8be6b8c592f6d5e5557e378e7f36a911231f720de508cd3fb,composite_fitted_models,6,,2.76583261432,2.7434877727,2.7434877727,0,0,0.00807888427847,0.9,118782cfc610a9028878d750598e5fe92f9ee67f521716c506bc37135f89b805,3477,2.7434877727,0.880356629278,-0.0196433707219,21,20.6421837913,7,10.6450963474,14.5748069265,20,linear_quantile,DQ0,3477,0.880356629278,DQ0_reference,,,,,,,,,,,,,,,,,,,Reference,Reference,,Linear Quantile,Promise only
aggregate,later_pooled,later_pooled,,linear_quantile,DQB,Promise + both profile blocks,0.9,full,,multiple_expanding_training_sets,208190dc3effda69473b3df1a6167014b87d7b82f9373af139c34c37eb8f628f,composite_fitted_models,6,,2.76583261432,2.7434877727,2.7434877727,-0.0049864029185,-0.0049864029185,0.00313276593211,0.9,118782cfc610a9028878d750598e5fe92f9ee67f521716c506bc37135f89b805,3477,2.75716790813,0.870865688812,-0.0291343111878,20.7131578614,20.3721768057,7,10.6450963474,13.818634613,19.4604791906,linear_quantile,DQB,3477,0.870865688812,DQB-DQ0,DQ0,DQ0,6,TRUE,-0.00513196219554,1,TRUE,-0.00467413404641,2,FALSE,FALSE,TRUE,TRUE,0.00649359815921,TRUE,FALSE,TRUE,FALSE,Not-supported,Not-supported,nonpositive_median_skill_or_fewer_than_four_favourable_months,Linear Quantile,Both
aggregate,later_pooled,later_pooled,,linear_quantile,DQG,Promise + state-OD profiles,0.9,full,,multiple_expanding_training_sets,9de260b4d7ad064788b1c6177e760bb98d6da7bbdfd300e8b74fa18286e1d8df,composite_fitted_models,6,,2.76583261432,2.7434877727,2.7434877727,-0.00414122253007,-0.00414122253007,0.00397111820599,0.9,118782cfc610a9028878d750598e5fe92f9ee67f521716c506bc37135f89b805,3477,2.75484916607,0.87517975266,-0.0248202473397,21,20.4826848758,7,10.6450963474,14.1891267722,20,linear_quantile,DQG,3477,0.87517975266,DQG-DQ0,DQ0,DQ0,6,TRUE,-0.00250912580818,3,TRUE,-0.00192141993833,3,FALSE,FALSE,TRUE,TRUE,0.00439664202777,TRUE,FALSE,TRUE,FALSE,Not-supported,Not-supported,nonpositive_median_skill_or_fewer_than_four_favourable_months,Linear Quantile,State-OD
aggregate,later_pooled,later_pooled,,linear_quantile,DQS,Promise + seller profiles,0.9,full,,multiple_expanding_training_sets,59f52570d11ac0d68b753bb8ebf065d4c876cd2a7a6fb16e671e5deb3785d353,composite_fitted_models,6,,2.76583261432,2.7434877727,2.7434877727,-0.00147458207781,-0.00147458207781,0.00661621517862,0.9,118782cfc610a9028878d750598e5fe92f9ee67f521716c506bc37135f89b805,3477,2.7475332706,0.872878918608,-0.027121081392,20.8063164838,20.5261276581,7,10.6450963474,13.8405850569,19.514558344,linear_quantile,DQS,3477,0.872878918608,DQS-DQ0,DQ0,DQ0,6,TRUE,-0.00243285667054,1,TRUE,-0.00562775234751,1,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,TRUE,FALSE,Not-supported,Not-supported,nonpositive_median_skill_or_fewer_than_four_favourable_months,Linear Quantile,Seller
aggregate,later_pooled,later_pooled,,lognormal_ridge,DQ0,Direct promise severity baseline,0.9,full,,multiple_expanding_training_sets,d36e4e5dc533f79cb1e514f6ae9987238ec51c7ed4e88b8f9065d0698ebcec4b,composite_fitted_models,6,,2.76583261432,2.71371702906,2.71371702906,0,0,0.0188426389178,0.9,118782cfc610a9028878d750598e5fe92f9ee67f521716c506bc37135f89b805,3477,2.71371702906,0.885821110152,-0.0141788898476,21.0565212728,21.3784688067,7,10.6450963474,14.3667519042,20.5605219516,lognormal_ridge,DQ0,3477,0.885821110152,DQ0_reference,,,,,,,,,,,,,,,,,,,Reference,Reference,,Lognormal Ridge,Promise only
aggregate,later_pooled,later_pooled,,lognormal_ridge,DQB,Promise + both profile blocks,0.9,full,,multiple_expanding_training_sets,c9a348c6e5217bac453147ae7fd1791756b2a70450875902792f4b92b936d600,composite_fitted_models,6,,2.76583261432,2.71371702906,2.71371702906,0.00660525765199,0.00660525765199,0.0253234360849,0.9,118782cfc610a9028878d750598e5fe92f9ee67f521716c506bc37135f89b805,3477,2.69579222889,0.884670693126,-0.0153293068737,21.3305692236,21.602095173,7,10.6450963474,13.8741174269,21.7098775398,lognormal_ridge,DQB,3477,0.884670693126,DQB-DQ0,DQ0,DQ0,6,TRUE,-0.00285088634486,3,TRUE,-0.00534709363048,2,FALSE,FALSE,TRUE,TRUE,-0.00236936296064,TRUE,FALSE,TRUE,FALSE,Not-supported,Not-supported,nonpositive_median_skill_or_fewer_than_four_favourable_months,Lognormal Ridge,Both
aggregate,later_pooled,later_pooled,,lognormal_ridge,DQG,Promise + state-OD profiles,0.9,full,,multiple_expanding_training_sets,95414babceb0d5bb54b4d8800832ca30244c5c7ccd9b87c079bdbceb5704e85f,composite_fitted_models,6,,2.76583261432,2.71371702906,2.71371702906,0.00899335195592,0.00899335195592,0.0276665323902,0.9,118782cfc610a9028878d750598e5fe92f9ee67f521716c506bc37135f89b805,3477,2.68931161671,0.885245901639,-0.0147540983607,21.4163189524,21.6005975285,7,10.6450963474,13.8884930593,21.4587261991,lognormal_ridge,DQG,3477,0.885245901639,DQG-DQ0,DQ0,DQ0,6,TRUE,0.00197958322708,4,TRUE,0.00419513964845,4,TRUE,TRUE,FALSE,TRUE,-0.00112866817156,TRUE,FALSE,TRUE,TRUE,Supported,Supported,positive_median_four_months_support_and_coverage_guards_pass,Lognormal Ridge,State-OD
aggregate,later_pooled,later_pooled,,lognormal_ridge,DQS,Promise + seller profiles,0.9,full,,multiple_expanding_training_sets,668943387fc8301f0e58723841bddbb7016d2c345ef6c6ee88b5824fd5747850,composite_fitted_models,6,,2.76583261432,2.71371702906,2.71371702906,-0.00127942477897,-0.00127942477897,0.017587321878,0.9,118782cfc610a9028878d750598e5fe92f9ee67f521716c506bc37135f89b805,3477,2.71718902587,0.881219442048,-0.0187805579523,20.9293899321,21.2279264638,7,10.6450963474,13.9661409479,20.5672959907,lognormal_ridge,DQS,3477,0.881219442048,DQS-DQ0,DQ0,DQ0,6,TRUE,-0.00290758792723,2,TRUE,-0.00390278023085,2,FALSE,FALSE,TRUE,TRUE,0.00312589450675,TRUE,FALSE,TRUE,FALSE,Not-supported,Not-supported,nonpositive_median_skill_or_fewer_than_four_favourable_months,Lognormal Ridge,Seller
aggregate,later_pooled,later_pooled,,random_forest_leaf_weighted_quantile,DQ0,Direct promise severity baseline,0.9,full,,multiple_expanding_training_sets,318c8bc34d70ae9fb95747bb67a48305e56425245357d3be885a7268aacfd058,composite_fitted_models,6,,2.76583261432,2.97172850158,2.97172850158,0,0,-0.0744426420431,0.9,118782cfc610a9028878d750598e5fe92f9ee67f521716c506bc37135f89b805,3477,2.97172850158,0.857635893011,-0.0423641069888,20,20.8829450676,7,10.6450963474,13.6828282828,24,random_forest_leaf_weighted_quantile,DQ0,3477,0.857635893011,DQ0_reference,,,,,,,,,,,,,,,,,,,Reference,Reference,,Quantile Random Forest,Promise only
aggregate,later_pooled,later_pooled,,random_forest_leaf_weighted_quantile,DQB,Promise + both profile blocks,0.9,full,,multiple_expanding_training_sets,bc30829adb8806a781912959b8a8a3bac29167ef0af328aba5a4ceb0df10aca9,composite_fitted_models,6,,2.76583261432,2.97172850158,2.97172850158,0.0490481674683,0.0490481674683,-0.021743199401,0.9,118782cfc610a9028878d750598e5fe92f9ee67f521716c506bc37135f89b805,3477,2.82597066437,0.845556514236,-0.0544434857636,18,18.6775956284,7,10.6450963474,13.0968342644,20,random_forest_leaf_weighted_quantile,DQB,3477,0.845556514236,DQB-DQ0,DQ0,DQ0,6,TRUE,0.0482986236869,5,TRUE,0.025024656592,4,TRUE,TRUE,FALSE,TRUE,0.0172347055609,TRUE,FALSE,TRUE,TRUE,Supported,Supported,positive_median_four_months_support_and_coverage_guards_pass,Quantile Random Forest,Both
aggregate,later_pooled,later_pooled,,random_forest_leaf_weighted_quantile,DQG,Promise + state-OD profiles,0.9,full,,multiple_expanding_training_sets,a61eb8936bd74b7949996c8ea87b49f154117663f388e0cf9750e090a2d3ab60,composite_fitted_models,6,,2.76583261432,2.97172850158,2.97172850158,0.0221239366284,0.0221239366284,-0.0506717411197,0.9,118782cfc610a9028878d750598e5fe92f9ee67f521716c506bc37135f89b805,3477,2.90598216854,0.830601092896,-0.0693989071038,18,18.3186655162,7,10.6450963474,12.6247877759,22,random_forest_leaf_weighted_quantile,DQG,3477,0.830601092896,DQG-DQ0,DQ0,DQ0,6,TRUE,0.0115657390639,4,TRUE,-0.00106974430355,3,FALSE,FALSE,TRUE,TRUE,0.0312415009927,FALSE,TRUE,TRUE,FALSE,Not-supported,Not-supported,gain_confined_to_lower_support_orders,Quantile Random Forest,State-OD
