task,outcome,period,cohort,cohort_month,family,model_family,model_id,specification,representation,quantile,probability_type,metric,estimate,n_orders,n_obs,n_events,order_id_sha256,fitted_model_sha256,evidence_status,evidence_label,mapping_status,median_support,label_type,family_label,profile_block,skill_pct
severity,conditional_positive_lateness,terminal,2018-07_to_2018-08,2018-07_to_2018-08,linear_quantile,linear_quantile,DQB,DQB,full,0.9,,pinball_skill,0.0275826136427,601,601,601,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,7a7d05d79de055267a3f48c9d20d60801b0ca799b67b0c77a7be941186e963ef,Terminal stress only,,,,none_terminal_stress,Linear,Both,2.75826136427
severity,conditional_positive_lateness,terminal,2018-07_to_2018-08,2018-07_to_2018-08,linear_quantile,linear_quantile,DQG,DQG,full,0.9,,pinball_skill,0.0369415735021,601,601,601,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,3c07ce2c93b702361b57ceeaeca5509e47962beb982d4ece0263ad9125d4ff94,Terminal stress only,,,,none_terminal_stress,Linear,State-OD,3.69415735021
severity,conditional_positive_lateness,terminal,2018-07_to_2018-08,2018-07_to_2018-08,linear_quantile,linear_quantile,DQS,DQS,full,0.9,,pinball_skill,-0.00250784662868,601,601,601,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,9cf855b6e05f60442a8143ae082abf16c1e30f66122351fc6cab23aa23fd30f1,Terminal stress only,,,,none_terminal_stress,Linear,Seller,-0.250784662868
severity,conditional_positive_lateness,terminal,2018-07_to_2018-08,2018-07_to_2018-08,lognormal_ridge,lognormal_ridge,DQB,DQB,full,0.9,,pinball_skill,0.0278793127787,601,601,601,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,a5ae1656607fcd89f284785e9ecfb63c1ad6c2195efab25e09ce15fb9aa4e67b,Terminal stress only,,,,none_terminal_stress,Lognormal,Both,2.78793127787
severity,conditional_positive_lateness,terminal,2018-07_to_2018-08,2018-07_to_2018-08,lognormal_ridge,lognormal_ridge,DQG,DQG,full,0.9,,pinball_skill,0.0379049443615,601,601,601,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,4f3750724365388e61fb6477a8db9fe7e6eb797da6bea80035d2818f7a596aaa,Terminal stress only,,,,none_terminal_stress,Lognormal,State-OD,3.79049443615
severity,conditional_positive_lateness,terminal,2018-07_to_2018-08,2018-07_to_2018-08,lognormal_ridge,lognormal_ridge,DQS,DQS,full,0.9,,pinball_skill,-0.00888171968826,601,601,601,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,b4be33462e1815fccaa3eeeb2a153ca41b80307b3b9fc38353660f3f306eaec7,Terminal stress only,,,,none_terminal_stress,Lognormal,Seller,-0.8881719688260001
severity,conditional_positive_lateness,terminal,2018-07_to_2018-08,2018-07_to_2018-08,random_forest_leaf_weighted_quantile,random_forest_leaf_weighted_quantile,DQB,DQB,full,0.9,,pinball_skill,0.0184031438704,601,601,601,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,dd627162087fcc8f54abf6c369f41708c349d3accc9534d9277b33cd504f33f1,Terminal stress only,,,,none_terminal_stress,QRF,Both,1.8403143870399998
severity,conditional_positive_lateness,terminal,2018-07_to_2018-08,2018-07_to_2018-08,random_forest_leaf_weighted_quantile,random_forest_leaf_weighted_quantile,DQG,DQG,full,0.9,,pinball_skill,1.91699415317e-4,601,601,601,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,563d3a72970b303fda35af9b5fbd20debac7a8d4f94903bc1bbbb92072c26e75,Terminal stress only,,,,none_terminal_stress,QRF,State-OD,0.0191699415317
severity,conditional_positive_lateness,terminal,2018-07_to_2018-08,2018-07_to_2018-08,random_forest_leaf_weighted_quantile,random_forest_leaf_weighted_quantile,DQS,DQS,full,0.9,,pinball_skill,0.0809930029713,601,601,601,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,997548b1113e2175b852b60c4c4515a471f8c4317fd8c9f3331f5ec958977433,Terminal stress only,,,,none_terminal_stress,QRF,Seller,8.09930029713
severity,conditional_positive_lateness,terminal,2018-07_to_2018-08,2018-07_to_2018-08,xgboost_quantile,xgboost_quantile,DQB,DQB,full,0.9,,pinball_skill,-0.0334498341338,601,601,601,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,e592691b4f6b0a81f9dc15df7a2ed444a9e577f79d614c911079976e25a59dfa,Terminal stress only,,,,none_terminal_stress,XGBQ,Both,-3.3449834133799996
severity,conditional_positive_lateness,terminal,2018-07_to_2018-08,2018-07_to_2018-08,xgboost_quantile,xgboost_quantile,DQG,DQG,full,0.9,,pinball_skill,-0.0295372832558,601,601,601,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,0b8a8ca658daa10068bde23cfc7f8f8a21095b01497dc9be0df87a6b5a0c2309,Terminal stress only,,,,none_terminal_stress,XGBQ,State-OD,-2.95372832558
severity,conditional_positive_lateness,terminal,2018-07_to_2018-08,2018-07_to_2018-08,xgboost_quantile,xgboost_quantile,DQS,DQS,full,0.9,,pinball_skill,-0.0454226588737,601,601,601,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,9ce70faf9341539ffd747f5ecb69e809b7c94d9dc95b1f8c824ded5df4913819,Terminal stress only,,,,none_terminal_stress,XGBQ,Seller,-4.54226588737
